Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,华威大学The University of Warwick,5.2,430.0,0.85,0.58,免费评估
2,谢菲尔德大学The University of Sheffield,2.0,404.0,0.87,0.81,免费评估
3,卡迪夫大学Cardiff University,4.3,391.0,0.78,0.67,免费评估
4,拉夫堡大学Loughborough University,2.7,374.0,0.82,0.69,免费评估
5,伦敦大学玛丽女王学院Queen Mary University of London,3.3,337.0,0.75,0.75,免费评估
6,利兹都会大学Leeds Metropolitan University,2.6,374.0,0.74,0.72,免费评估
7,莱斯特大学University of Leicester,3.8,312.0,,0.64,免费评估
8,伦敦大学金史密斯学院Goldsmiths University of London,4.4,349.0,0.71,0.61,免费评估
9,伯恩茅斯大学Bournemouth University,2.5,355.0,0.73,0.74,免费评估
10,东英吉利大学University of East Anglia,4.8,339.0,0.78,0.42,免费评估
11,思克莱德大学University of Strathclyde,,401.0,,0.68,免费评估
12,南安普顿索伦特大学Southampton Solent University,3.2,398.0,,0.45,免费评估
13,兰卡斯特大学Lancaster University,3.5,339.0,0.82,0.43,免费评估
14,布鲁内尔大学Brunel University,2.1,303.0,0.76,0.74,免费评估
15,诺丁汉特伦特大学Nottingham Trent University,3.3,307.0,0.72,0.66,免费评估
16,伦敦大学皇家霍洛威学院Royal Holloway University of London,3.3,368.0,0.71,0.56,免费评估
17,伦敦大学学院University College London,2.0,316.0,0.71,0.76,免费评估
18,斯特林大学University of Stirling,2.8,302.0,,0.6,免费评估
18,威斯敏斯特大学University of Westminster,5.2,338.0,0.66,0.44,免费评估
20,萨塞克斯大学University of Sussex,3.1,353.0,0.71,0.52,免费评估
21,伯明翰城市大学Birmingham City University,3.2,311.0,0.71,0.57,免费评估
22,林肯大学University of Lincoln,3.0,283.0,0.77,0.51,免费评估
23,利物浦大学The University of Liverpool,,387.0,0.8,0.54,免费评估
24,曼彻斯特大学The University of Manchester,,410.0,,0.49,免费评估
25,萨里大学University of Surrey,1.6,321.0,0.68,0.67,免费评估
26,基尔大学Keele University,,309.0,0.75,0.74,免费评估
26,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,1.9,351.0,0.74,0.48,免费评估
28,罗汉普顿大学Roehampton University,1.9,262.0,0.82,0.5,免费评估
29,德蒙福特大学De Montfort University,3.1,250.0,0.77,0.47,免费评估
30,罗伯特高登大学The Robert Gordon University,,321.0,,0.63,免费评估
31,诺丁汉大学University of Nottingham,1.9,,,0.57,免费评估
32,伯明翰大学University of Birmingham,,363.0,0.76,0.53,免费评估
