Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,87%,4.2/9,510.0,82.00%,100.0,免费评估
2,布里斯托大学University of Bristol,82%,4.2/9,473.0,79.00%,95.3,免费评估
3,牛津大学University of Oxford,80%,4.2/9,509.0,75.00%,94.4,免费评估
4,杜伦大学Durham University,83%,4.2/9,456.0,70.00%,93.1,免费评估
5,圣安德鲁斯大学University of St Andrews,83%,3.4/9,433.0,79.00%,92.0,免费评估
6,南安普顿大学University of Southampton,83%,3.4/9,406.0,73.00%,89.9,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,70%,3.6/9,480.0,88.00%,89.4,免费评估
8,兰卡斯特大学Lancaster University,84%,3.3/9,384.0,72.00%,89.3,免费评估
9,利兹大学University of Leeds,81%,3.9/9,398.0,67.00%,88.3,免费评估
10,东英吉利大学University of East Anglia,82%,3.8/9,401.0,63.00%,87.8,免费评估
11,伦敦大学学院University College London,75%,3.8/9,424.0,76.00%,87.5,免费评估
12,亚伯大学Aberystwyth University,88%,3.5/9,312.0,64.00%,87.4,免费评估
12,埃克塞特大学University of Exeter,84%,3.4/9,385.0,64.00%,87.4,免费评估
14,拉夫堡大学Loughborough University,87%,2.5/9,362.0,68.00%,87.3,免费评估
15,伯明翰大学University of Birmingham,83%,3.0/9,384.0,69.00%,87.2,免费评估
15,卡迪夫大学Cardiff University,83%,3.7/9,322.0,71.00%,87.2,免费评估
17,伦敦国王学院King's College London,78%,3.6/9,391.0,73.00%,86.8,免费评估
18,莱斯特大学University of Leicester,88%,2.3/9,343.0,68.00%,86.6,免费评估
19,雷丁大学University of Reading,81%,3.6/9,356.0,67.00%,86.0,免费评估
20,诺丁汉大学University of Nottingham,80%,3.4/9,411.0,64.00%,85.5,免费评估
21,伦敦大学皇家霍洛威学院Royal Holloway University of London,85%,3.5/9,366.0,56.00%,85.4,免费评估
22,爱丁堡大学The University of Edinburgh,76%,3.2/9,426.0,71.00%,85.2,免费评估
23,谢菲尔德大学The University of Sheffield,78%,3.6/9,405.0,63.00%,85.0,免费评估
24,格拉斯哥大学University of Glasgow,85%,2.4/9,368.0,63.00%,84.6,免费评估
25,萨塞克斯大学University of Sussex,80%,3.2/9,366.0,66.00%,84.5,免费评估
26,伦敦大学玛丽女王学院Queen Mary University of London,79%,4.0/9,320.0,64.00%,83.6,免费评估
27,赫尔大学The University of Hull,85%,2.9/9,301.0,62.00%,83.4,免费评估
28,纽卡斯尔大学Newcastle University,80%,2.6/9,374.0,67.00%,83.2,免费评估
29,邓迪大学University of Dundee,83%,3.1/9,317.0,61.00%,82.7,免费评估
30,威斯敏斯特大学University of Westminster,,2.5/9,,65.00%,82.4,免费评估
31,阿伯丁大学University of Aberdeen,82%,2.5/9,334.0,64.00%,82.2,免费评估
32,The Queen's,82%,2.6/9,320.0,65.00%,82.0,免费评估
33,曼彻斯特大学The University of Manchester,76%,3.2/9,392.0,61.00%,81.8,免费评估
34,利物浦大学The University of Liverpool,81%,2.6/9,356.0,59.00%,81.5,免费评估
35,谢菲尔德哈莱姆大学Sheffield Hallam University,81%,3.1/9,279.0,64.00%,81.0,免费评估
36,思克莱德大学University of Strathclyde,82%,1.2/9,336.0,67.00%,79.7,免费评估
37,考文垂大学Coventry University,84%,0.9/9,279.0,72.00%,79.5,免费评估
38,斯旺西大学Swansea University,82%,3.1/9,296.0,51.00%,78.7,免费评估
39,切斯特大学University of Chester,84%,0.8/9,280.0,68.00%,78.1,免费评估
40,布拉德福德大学University of Bradford,,3.1/9,244.0,58.00%,78.0,免费评估
