Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,85%,5.2/9,578.0,82.00%,100.0,免费评估
2,牛津大学University of Oxford,82%,4.8/9,538.0,78.00%,94.5,免费评估
3,圣安德鲁斯大学University of St Andrews,84%,3.4/9,437.0,100.00%,91.7,免费评估
4,帝国理工学院Imperial College London,78%,3.9/9,496.0,87.00%,90.0,免费评估
5,布里斯托大学University of Bristol,78%,4.0/9,440.0,84.00%,87.7,免费评估
6,南安普顿大学University of Southampton,88%,3.6/9,372.0,76.00%,87.2,免费评估
7,莱斯特大学University of Leicester,94%,2.9/9,383.0,66.00%,86.2,免费评估
8,杜伦大学Durham University,86%,3.3/9,390.0,77.00%,86.1,免费评估
9,格拉斯哥大学University of Glasgow,91%,2.3/9,335.0,90.00%,86.0,免费评估
10,东英吉利大学University of East Anglia,84%,3.9/9,364.0,76.00%,85.8,免费评估
11,伦敦大学皇家霍洛威学院Royal Holloway University of London,85%,3.6/9,320.0,74.00%,83.6,免费评估
12,利物浦大学The University of Liverpool,82%,3.4/9,385.0,72.00%,83.3,免费评估
13,伦敦大学学院University College London,71%,4.1/9,,88.00%,82.8,免费评估
14,爱丁堡大学The University of Edinburgh,77%,3.3/9,434.0,78.00%,82.7,免费评估
15,埃克塞特大学University of Exeter,87%,1.7/9,373.0,84.00%,81.9,免费评估
16,利兹大学University of Leeds,78%,3.3/9,363.0,80.00%,81.7,免费评估
17,伯明翰大学University of Birmingham,84%,3.2/9,359.0,68.00%,81.5,免费评估
18,卡迪夫大学Cardiff University,82%,3.3/9,355.0,68.00%,80.8,免费评估
19,曼彻斯特大学The University of Manchester,80%,3.6/9,365.0,64.00%,80.1,免费评估
20,阿伯丁大学University of Aberdeen,80%,2.8/9,322.0,83.00%,80.0,免费评估
21,普利茅斯大学University of Plymouth,87%,2.4/9,241.0,68.00%,76.5,免费评估
22,布莱顿大学University of Brighton,79%,1.7/9,,64.00%,69.9,免费评估
23,基尔大学Keele University,85%,,276.0,75.00%,69.8,免费评估
24,亚伯大学Aberystwyth University,87%,,304.0,63.00%,69.2,免费评估
25,朴茨茅斯大学University of Portsmouth,79%,2.1/9,264.0,51.00%,68.4,免费评估
26,班戈大学Bangor University,74%,2.7/9,,30.00%,62.0,免费评估
27,金斯顿大学Kingston University,70%,,233.0,74.00%,60.1,免费评估
28,利物浦约翰摩尔斯大学Liverpool John Moores University,72%,,251.0,62.00%,59.3,免费评估
29,德比大学University of Derby,75%,,239.0,41.00%,55.8,免费评估
