Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,88%,5.3/9,538.0,82.00%,100.0,免费评估
2,牛津大学University of Oxford,87%,3.8/9,501.0,78.00%,94.1,免费评估
3,利兹大学University of Leeds,85%,4.0/9,371.0,60.00%,85.7,免费评估
4,杜伦大学Durham University,81%,1.7/9,491.0,75.00%,85.4,免费评估
5,布里斯托大学University of Bristol,79%,3.3/9,457.0,71.00%,85.3,免费评估
6,伦敦大学学院University College London,79%,3.0/9,429.0,75.00%,84.4,免费评估
7,巴斯大学University of Bath,81%,2.4/9,430.0,69.00%,83.4,免费评估
7,伯明翰大学University of Birmingham,83%,2.8/9,,62.00%,83.4,免费评估
9,华威大学The University of Warwick,77%,4.0/9,418.0,64.00%,83.1,免费评估
10,曼彻斯特大学The University of Manchester,81%,3.3/9,380.0,63.00%,82.7,免费评估
11,圣安德鲁斯大学University of St Andrews,85%,1.7/9,443.0,56.00%,82.0,免费评估
12,格拉斯哥大学University of Glasgow,82%,1.5/9,456.0,,81.2,免费评估
13,埃克塞特大学University of Exeter,79%,2.1/9,424.0,68.00%,81.1,免费评估
14,朴茨茅斯大学University of Portsmouth,86%,2.6/9,273.0,60.00%,80.6,免费评估
15,卡迪夫大学Cardiff University,84%,2.6/9,306.0,58.00%,80.0,免费评估
16,雷丁大学University of Reading,80%,3.7/9,333.0,47.00%,77.9,免费评估
17,伦敦大学皇家霍洛威学院Royal Holloway University of London,81%,1.8/9,368.0,56.00%,77.2,免费评估
18,爱丁堡大学The University of Edinburgh,70%,1.1/9,462.0,78.00%,76.5,免费评估
19,斯旺西大学Swansea University,80%,1.6/9,291.0,,74.4,免费评估
20,诺丁汉特伦特大学Nottingham Trent University,84%,,244.0,60.00%,72.8,免费评估
21,曼彻斯特城市大学Manchester Metropolitan University,79%,1.1/9,254.0,53.00%,71.0,免费评估
22,思克莱德大学University of Strathclyde,80%,1.2/9,,39.00%,69.4,免费评估
