Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,85%,4.0/9,522,81.00%,100.0,免费评估
2,剑桥大学University of Cambridge,88%,3.2/9,538,82.00%,99.3,免费评估
3,南安普顿大学University of Southampton,89%,3.8/9,420,65.00%,92.7,免费评估
4,杜伦大学Durham University,81%,2.8/9,491,76.00%,90.8,免费评估
4,谢菲尔德大学The University of Sheffield,83%,3.4/9,417,75.00%,90.8,免费评估
6,圣安德鲁斯大学University of St Andrews,85%,2.8/9,443,76.00%,90.7,免费评估
7,利兹大学University of Leeds,85%,2.9/9,415,75.00%,90.4,免费评估
7,华威大学The University of Warwick,84%,3.5/9,443,67.00%,90.4,免费评估
9,伦敦国王学院King's College London,78%,3.7/9,458,70.00%,89.5,免费评估
10,兰卡斯特大学Lancaster University,83%,1.9/9,381,94.00%,89.4,免费评估
11,巴斯大学University of Bath,84%,2.4/9,446,77.00%,89.3,免费评估
12,埃克塞特大学University of Exeter,83%,2.8/9,437,70.00%,88.2,免费评估
13,诺丁汉大学University of Nottingham,79%,3.2/9,400,73.00%,87.1,免费评估
14,阿伯丁大学University of Aberdeen,84%,3.2/9,366,68.00%,86.9,免费评估
15,格拉斯哥大学University of Glasgow,82%,2.7/9,404,72.00%,86.5,免费评估
16,赫尔大学The University of Hull,87%,2.6/9,331,73.00%,86.2,免费评估
17,肯特大学University of Kent,87%,2.9/9,321,69.00%,85.5,免费评估
18,纽卡斯尔大学Newcastle University,80%,2.8/9,427,66.00%,85.1,免费评估
19,伯明翰大学University of Birmingham,86%,2.3/9,378,67.00%,85.0,免费评估
20,伦敦大学学院University College London,75%,2.6/9,446,71.00%,84.1,免费评估
21,阿斯顿大学Aston University,85%,1.4/9,387,76.00%,83.8,免费评估
22,The Queen's,81%,2.1/9,386,73.00%,83.6,免费评估
23,爱丁堡大学The University of Edinburgh,68%,2.6/9,481,76.00%,83.1,免费评估
24,曼彻斯特大学The University of Manchester,75%,2.8/9,427,67.00%,82.8,免费评估
25,卡迪夫大学Cardiff University,84%,2.6/9,398,56.00%,82.6,免费评估
26,朴茨茅斯大学University of Portsmouth,86%,2.6/9,270,,82.1,免费评估
27,莱斯特大学University of Leicester,92%,1.4/9,350,61.00%,81.9,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,80%,2.6/9,367,63.00%,81.4,免费评估
29,伦敦大学玛丽女王学院Queen Mary University of London,76%,2.6/9,329,74.00%,81.0,免费评估
30,布里斯托大学University of Bristol,71%,1.8/9,444,77.00%,80.6,免费评估
31,利物浦大学The University of Liverpool,78%,2.6/9,364,64.00%,80.5,免费评估
32,赫瑞瓦特大学Heriot Watt University,82%,1.9/9,367,63.00%,80.0,免费评估
33,东英吉利大学University of East Anglia,86%,,356,80.00%,79.3,免费评估
34,雷丁大学University of Reading,80%,3.0/9,342,47.00%,77.3,免费评估
35,索尔福德大学University of Salford,78%,1.6/9,341,68.00%,77.2,免费评估
36,斯特林大学University of Stirling,79%,1.7/9,312,69.00%,77.0,免费评估
37,阿尔斯特大学University of Ulster,90%,1.4/9,280,52.00%,76.1,免费评估
38,亚伯大学Aberystwyth University,86%,,336,68.00%,75.4,免费评估
39,思克莱德大学University of Strathclyde,82%,,361,67.00%,73.9,免费评估
40,诺丁汉特伦特大学Nottingham Trent University,84%,1.4/9,244,60.00%,73.4,免费评估
41,斯旺西大学Swansea University,80%,1.9/9,295,52.00%,72.9,免费评估
42,牛津布鲁克斯大学Oxford Brookes University,75%,1.8/9,312,57.00%,72.2,免费评估
43,萨塞克斯大学University of Sussex,73%,,392,72.00%,71.7,免费评估
44,诺桑比亚大学Northumbria University,83%,,287,61.00%,70.3,免费评估
45,曼彻斯特城市大学Manchester Metropolitan University,79%,1.1/9,257,54.00%,69.1,免费评估
46,约克大学The University of York,77%,,410,49.00%,68.2,免费评估
47,切斯特大学University of Chester,78%,,298,61.00%,68.1,免费评估
48,班戈大学Bangor University,77%,,307,55.00%,66.4,免费评估
48,利物浦约翰摩尔斯大学Liverpool John Moores University,76%,,246,66.00%,66.4,免费评估
50,西英格兰大学University of the West of England,77%,,272,57.00%,65.7,免费评估
51,威斯敏斯特大学University of Westminster,67%,1.0/9,230,,59.7,免费评估
