Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,曼彻斯特大学The University of Manchester,90%,4.3/9,444,100.00%,100.0,免费评估
2,谢菲尔德大学The University of Sheffield,89%,3.3/9,467,100.00%,98.8,免费评估
3,格拉斯哥大学University of Glasgow,87%,3.0/9,477,99.00%,98.7,免费评估
4,伯明翰大学University of Birmingham,92%,2.7/9,468,100.00%,98.1,免费评估
5,纽卡斯尔大学Newcastle University,89%,3.1/9,458,100.00%,97.1,免费评估
6,邓迪大学University of Dundee,79%,2.5/9,489,99.00%,96.3,免费评估
7,伦敦国王学院King's College London,70%,4.2/9,459,98.00%,95.5,免费评估
8,伦敦大学玛丽女王学院Queen Mary University of London,72%,4.0/9,451,98.00%,94.6,免费评估
9,The Queen's,87%,2.6/9,450,99.00%,93.8,免费评估
10,利物浦大学The University of Liverpool,76%,2.4/9,476,100.00%,92.9,免费评估
11,布里斯托大学University of Bristol,82%,3.4/9,428,100.00%,92.2,免费评估
11,利兹大学University of Leeds,78%,3.3/9,439,98.00%,92.2,免费评估
13,卡迪夫大学Cardiff University,73%,3.2/9,446,99.00%,91.2,免费评估
