Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,伦敦政治经济学院The London School of Economics and Political Science,70%,5.6/9,418.0,94.00%,100.0,免费评估
2,波尔顿大学University of Bolton,85%,2.0/9,,83.00%,90.4,免费评估
3,南安普顿大学University of Southampton,79%,4.5/9,,60.00%,90.3,免费评估
4,格拉斯哥大学University of Glasgow,85%,2.8/9,390.0,53.00%,89.1,免费评估
5,拉夫堡大学Loughborough University,88%,3.2/9,356.0,49.00%,88.7,免费评估
6,巴斯大学University of Bath,76%,4.6/9,356.0,50.00%,87.7,免费评估
7,爱丁堡大学The University of Edinburgh,71%,4.0/9,,75.00%,86.8,免费评估
8,利兹大学University of Leeds,75%,4.4/9,308.0,66.00%,86.4,免费评估
9,赫尔大学The University of Hull,86%,2.3/9,324.0,62.00%,86.1,免费评估
10,布里斯托大学University of Bristol,75%,3.3/9,348.0,63.00%,85.0,免费评估
10,谢菲尔德大学The University of Sheffield,75%,3.5/9,343.0,62.00%,85.0,免费评估
12,肯特大学University of Kent,78%,4.2/9,272.0,56.00%,83.7,免费评估
13,约克大学The University of York,76%,3.8/9,301.0,58.00%,83.2,免费评估
14,斯特林大学University of Stirling,79%,2.7/9,293.0,65.00%,82.4,免费评估
15,林肯大学University of Lincoln,83%,1.9/9,,58.00%,81.8,免费评估
16,基尔大学Keele University,77%,3.2/9,295.0,58.00%,81.4,免费评估
17,The Queen's,75%,3.2/9,,55.00%,80.6,免费评估
18,伯明翰大学University of Birmingham,76%,3.1/9,312.0,54.00%,80.5,免费评估
19,莱斯特大学University of Leicester,81%,1.8/9,327.0,54.00%,79.9,免费评估
20,卡迪夫大学Cardiff University,76%,3.5/9,294.0,48.00%,79.8,免费评估
21,诺丁汉大学University of Nottingham,70%,2.5/9,341.0,60.00%,78.7,免费评估
22,Central Lancs,76%,2.2/9,,57.00%,77.5,免费评估
23,阿斯顿大学Aston University,75%,1.4/9,368.0,,77.4,免费评估
24,斯旺西大学Swansea University,77%,2.7/9,270.0,51.00%,77.2,免费评估
25,班戈大学Bangor University,75%,1.8/9,,60.00%,75.7,免费评估
26,诺丁汉特伦特大学Nottingham Trent University,71%,3.1/9,229.0,62.00%,74.6,免费评估
27,谢菲尔德哈莱姆大学Sheffield Hallam University,73%,3.1/9,270.0,45.00%,74.5,免费评估
28,索尔福德大学University of Salford,74%,2.2/9,215.0,66.00%,73.9,免费评估
29,伯明翰城市大学Birmingham City University,80%,1.6/9,246.0,,72.7,免费评估
30,布莱顿大学University of Brighton,71%,1.6/9,288.0,47.00%,70.0,免费评估
31,阿尔斯特大学University of Ulster,72%,2.8/9,240.0,24.00%,66.9,免费评估
32,伦敦南岸大学London South Bank University,72%,3.1/9,181.0,34.00%,66.5,免费评估
33,普利茅斯大学University of Plymouth,72%,2.4/9,,25.00%,65.9,免费评估
34,剑桥安鲁大学Anglia Ruskin University,66%,1.8/9,248.0,40.00%,64.5,免费评估
35,曼彻斯特大学The University of Manchester,56%,2.8/9,,49.00%,63.2,免费评估
36,曼彻斯特城市大学Manchester Metropolitan University,74%,1.4/9,,12.00%,60.2,免费评估
