Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,87%,3.1/9,519.0,72.00%,100.0,免费评估
2,牛津大学University of Oxford,87%,2.2/9,517.0,79.00%,99.5,免费评估
3,伦敦大学玛丽女王学院Queen Mary University of London,86%,4.1/9,353.0,,95.5,免费评估
4,伦敦大学学院University College London,83%,3.1/9,402.0,75.00%,94.3,免费评估
5,爱丁堡大学The University of Edinburgh,76%,3.9/9,451.0,69.00%,93.4,免费评估
6,卡迪夫大学Cardiff University,83%,4.2/9,380.0,61.00%,92.7,免费评估
7,谢菲尔德大学The University of Sheffield,79%,3.3/9,432.0,62.00%,90.0,免费评估
8,埃塞克斯大学University of Essex,75%,3.6/9,316.0,71.00%,87.0,免费评估
8,兰卡斯特大学Lancaster University,80%,3.0/9,402.0,59.00%,87.0,免费评估
10,伦敦大学亚非学院SOAS University of London,73%,2.0/9,383.0,81.00%,86.3,免费评估
11,约克大学The University of York,74%,3.5/9,406.0,59.00%,86.1,免费评估
12,朴茨茅斯大学University of Portsmouth,85%,2.6/9,266.0,67.00%,85.7,免费评估
13,雷丁大学University of Reading,83%,2.2/9,,58.00%,83.8,免费评估
14,利兹大学University of Leeds,78%,2.1/9,389.0,62.00%,83.6,免费评估
15,索尔福德大学University of Salford,82%,1.8/9,292.0,64.00%,81.1,免费评估
16,曼彻斯特大学The University of Manchester,74%,2.6/9,385.0,56.00%,80.9,免费评估
17,纽卡斯尔大学Newcastle University,74%,2.5/9,423.0,51.00%,80.8,免费评估
18,萨塞克斯大学University of Sussex,74%,1.2/9,396.0,66.00%,79.7,免费评估
19,赫特福德大学University of Hertfordshire,78%,2.4/9,263.0,55.00%,77.1,免费评估
20,伦敦国王学院King's College London,79%,,379.0,57.00%,74.9,免费评估
21,西英格兰大学University of the West of England,74%,2.4/9,281.0,49.00%,73.5,免费评估
21,约克圣约翰大学York St John University,82%,,304.0,56.00%,73.5,免费评估
23,班戈大学Bangor University,79%,1.8/9,299.0,42.00%,73.0,免费评估
24,威斯敏斯特大学University of Westminster,75%,1.0/9,241.0,,68.0,免费评估
25,阿尔斯特大学University of Ulster,60%,2.5/9,269.0,50.00%,66.9,免费评估
26,布莱顿大学University of Brighton,70%,0.7/9,300.0,,66.4,免费评估
