Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,华威大学The University of Warwick,83%,6.4/9,428,59.00%,100.0,免费评估
2,莱斯特大学University of Leicester,92%,4.4/9,317,66.00%,94.2,免费评估
3,谢菲尔德大学The University of Sheffield,88%,2.1/9,393,74.00%,93.6,免费评估
4,拉夫堡大学Loughborough University,83%,3.2/9,382,72.00%,93.1,免费评估
5,南安普顿大学University of Southampton,86%,3.8/9,375,64.00%,92.8,免费评估
6,伦敦国王学院King's College London,71%,5.1/9,408,68.00%,92.6,免费评估
7,伦敦大学玛丽女王学院Queen Mary University of London,90%,3.9/9,368,54.00%,91.3,免费评估
8,卡迪夫大学Cardiff University,73%,5.2/9,380,59.00%,89.3,免费评估
9,伦敦大学金史密斯学院Goldsmiths University of London,72%,5.3/9,345,66.00%,88.7,免费评估
10,东英吉利大学University of East Anglia,80%,5.8/9,337,46.00%,87.1,免费评估
11,伯恩茅斯大学Bournemouth University,75%,2.8/9,353,70.00%,85.6,免费评估
11,利兹大学University of Leeds,71%,2.9/9,377,69.00%,85.6,免费评估
13,兰卡斯特大学Lancaster University,79%,4.2/9,346,51.00%,84.6,免费评估
13,诺丁汉特伦特大学Nottingham Trent University,79%,3.8/9,293,65.00%,84.6,免费评估
13,萨塞克斯大学University of Sussex,75%,3.4/9,356,62.00%,84.6,免费评估
16,思克莱德大学University of Strathclyde,,,400,61.00%,83.6,免费评估
17,伯明翰城市大学Birmingham City University,80%,3.8/9,317,51.00%,82.6,免费评估
18,威斯敏斯特大学University of Westminster,67%,6.4/9,325,47.00%,82.0,免费评估
19,斯特林大学University of Stirling,,3.0/9,337,55.00%,81.6,免费评估
20,Central Lancs,77%,2.3/9,305,65.00%,81.0,免费评估
21,林肯大学University of Lincoln,77%,3.3/9,293,58.00%,80.4,免费评估
22,伦敦大学皇家霍洛威学院Royal Holloway University of London,73%,3.7/9,344,48.00%,79.3,免费评估
23,德蒙福特大学De Montfort University,80%,3.6/9,247,55.00%,78.7,免费评估
24,布鲁内尔大学Brunel University,72%,2.3/9,304,65.00%,78.2,免费评估
25,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,74%,2.1/9,351,50.00%,77.2,免费评估
26,利物浦大学The University of Liverpool,81%,,357,48.00%,75.2,免费评估
27,斯塔福德郡大学Staffordshire University,76%,1.4/9,253,64.00%,74.6,免费评估
28,基尔大学Keele University,80%,,286,61.00%,74.2,免费评估
28,西英格兰大学University of the West of England,79%,3.1/9,283,39.00%,74.2,免费评估
30,赫尔大学The University of Hull,75%,2.6/9,269,50.00%,73.9,免费评估
31,萨里大学University of Surrey,61%,1.7/9,344,63.00%,73.7,免费评估
32,赫特福德大学University of Hertfordshire,79%,1.8/9,246,53.00%,73.0,免费评估
33,布莱顿大学University of Brighton,74%,1.8/9,285,51.00%,72.6,免费评估
