Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,90%,5.5/9,463.0,80.00%,100.0,免费评估
2,曼彻斯特大学The University of Manchester,88%,5.7/9,427.0,79.00%,97.7,免费评估
3,剑桥大学University of Cambridge,80%,5.4/9,467.0,86.00%,96.6,免费评估
4,伦敦国王学院King's College London,81%,5.4/9,458.0,75.00%,93.5,免费评估
5,伦敦大学皇家霍洛威学院Royal Holloway University of London,82%,6.4/9,390.0,75.00%,93.2,免费评估
6,约克大学The University of York,79%,5.5/9,416.0,76.00%,91.4,免费评估
7,皇家音乐学院Royal College of Music,81%,3.9/9,,91.00%,91.1,免费评估
8,谢菲尔德大学The University of Sheffield,84%,5.3/9,357.0,72.00%,89.4,免费评估
9,南安普顿大学University of Southampton,80%,5.6/9,378.0,73.00%,89.2,免费评估
10,伯明翰大学University of Birmingham,80%,5.7/9,420.0,63.00%,89.1,免费评估
11,纽卡斯尔大学Newcastle University,83%,4.7/9,346.0,77.00%,88.3,免费评估
12,布里斯托大学University of Bristol,82%,3.3/9,386.0,81.00%,87.9,免费评估
13,杜伦大学Durham University,75%,3.9/9,427.0,82.00%,87.8,免费评估
14,诺丁汉大学University of Nottingham,81%,4.2/9,426.0,68.00%,87.6,免费评估
15,班戈大学Bangor University,81%,3.8/9,329.0,78.00%,85.1,免费评估
16,伦敦大学亚非学院SOAS University of London,,4.6/9,,69.00%,84.1,免费评估
16,苏格兰皇家音乐学院Royal Conservatoire of Scotland,,2.6/9,,87.00%,84.1,免费评估
18,The Queen's,76%,4.4/9,331.0,75.00%,83.2,免费评估
19,卡迪夫大学Cardiff University,82%,3.2/9,388.0,63.00%,82.7,免费评估
20,利兹大学University of Leeds,83%,3.5/9,365.0,62.00%,82.4,免费评估
21,爱丁堡大学The University of Edinburgh,,3.4/9,400.0,65.00%,81.9,免费评估
22,皇家音乐学院Royal College of Music,69%,2.8/9,329.0,97.00%,81.5,免费评估
23,伦敦大学金史密斯学院Goldsmiths University of London,72%,4.1/9,339.0,78.00%,81.4,免费评估
24,基尔大学Keele University,82%,3.5/9,277.0,75.00%,81.2,免费评估
25,萨里大学University of Surrey,74%,3.4/9,400.0,67.00%,80.8,免费评估
26,萨塞克斯大学University of Sussex,75%,3.5/9,331.0,75.00%,80.6,免费评估
27,伯明翰城市大学Birmingham City University,74%,2.6/9,318.0,86.00%,80.3,免费评估
28,阿伯丁大学University of Aberdeen,83%,2.2/9,328.0,,79.7,免费评估
29,兰卡斯特大学Lancaster University,71%,4.1/9,343.0,72.00%,79.5,免费评估
29,英国皇家北方音乐学院Royal Northern College of Music,76%,1.9/9,328.0,84.00%,79.5,免费评估
31,哈德斯菲尔德大学University of Huddersfield,80%,3.7/9,286.0,69.00%,79.4,免费评估
32,格拉斯哥大学University of Glasgow,66%,4.3/9,407.0,63.00%,78.2,免费评估
33,赫尔大学The University of Hull,82%,1.9/9,261.0,80.00%,77.9,免费评估
34,思克莱德大学University of Strathclyde,,,370.0,74.00%,76.0,免费评估
35,利物浦大学The University of Liverpool,77%,2.7/9,336.0,57.00%,75.3,免费评估
36,巴斯斯巴大学Bath Spa University,81%,2.0/9,302.0,59.00%,74.5,免费评估
37,伦敦城市大学City University London,63%,4.1/9,292.0,76.00%,74.1,免费评估
38,东英吉利大学University of East Anglia,81%,1.6/9,285.0,64.00%,73.7,免费评估
39,德蒙福特大学De Montfort University,81%,2.9/9,199.0,67.00%,73.5,免费评估
40,考文垂大学Coventry University,73%,2.3/9,285.0,67.00%,72.2,免费评估
41,格拉摩根大学University of Glamorgan,75%,,293.0,73.00%,70.1,免费评估
42,牛津布鲁克斯大学Oxford Brookes University,72%,2.4/9,254.0,64.00%,69.9,免费评估
43,阿尔斯特大学University of Ulster,70%,1.4/9,275.0,71.00%,69.2,免费评估
44,Canterbury CC,75%,2.0/9,251.0,57.00%,68.0,免费评估
45,威斯敏斯特大学University of Westminster,65%,1.8/9,285.0,68.00%,67.2,免费评估
45,哥比亚大学University of Cumbria,67%,,306.0,75.00%,67.2,免费评估
45,赫特福德大学University of Hertfordshire,78%,1.2/9,276.0,51.00%,67.2,免费评估
48,Central Lancs,78%,,275.0,59.00%,66.7,免费评估
49,索尔福德大学University of Salford,75%,1.3/9,236.0,58.00%,66.2,免费评估
50,普利茅斯大学University of Plymouth,74%,2.5/9,231.0,50.00%,66.1,免费评估
51,奇切斯特大学University of Chichester,75%,,260.0,62.00%,65.6,免费评估
52,布鲁内尔大学Brunel University,59%,2.7/9,318.0,59.00%,65.5,免费评估
53,布莱顿大学University of Brighton,65%,4.3/9,305.0,33.00%,65.0,免费评估
54,Edin Napier,63%,0.4/9,338.0,64.00%,64.9,免费评估
55,剑桥安鲁大学Anglia Ruskin University,75%,1.4/9,266.0,46.00%,64.8,免费评估
56,米德塞斯大学Middlesex University,65%,,150.0,91.00%,63.1,免费评估
57,金斯顿大学Kingston University,71%,0.6/9,224.0,58.00%,62.2,免费评估
58,德比大学University of Derby,74%,,217.0,52.00%,60.3,免费评估
59,Thames Valley,66%,0.6/9,204.0,59.00%,59.2,免费评估
60,University College Falmouth,71%,,229.0,51.00%,59.1,免费评估
61,埃塞克斯大学University of Essex,74%,,209.0,48.00%,58.5,免费评估
62,伯恩茅斯大学Bournemouth University,69%,,239.0,46.00%,57.2,免费评估
63,东伦敦大学University of East London,57%,,221.0,65.00%,55.9,免费评估
64,新白金汉大学Buckinghamshire New University,66%,,211.0,49.00%,55.3,免费评估
65,约克圣约翰大学York St John University,68%,,218.0,39.00%,54.0,免费评估
66,Soton Solent,59%,,237.0,41.00%,50.8,免费评估
