Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,88,2.5,555,81.0,100.0,免费评估
2,牛津大学University of Oxford,87,3.2,548,69.0,99.6,免费评估
3,卡迪夫大学Cardiff University,84,4.3,408,,97.7,免费评估
4,伦敦大学亚非学院SOAS University of London,76,3.8,436,69.0,91.0,免费评估
5,谢菲尔德大学The University of Sheffield,82,1.3,427,57.0,80.4,免费评估
6,纽卡斯尔大学Newcastle University,79,,380,91.0,79.2,免费评估
7,利兹大学University of Leeds,72,1.8,417,63.0,78.1,免费评估
8,诺丁汉大学University of Nottingham,63,1.6,425,81.0,77.6,免费评估
9,曼彻斯特大学The University of Manchester,71,1.8,411,,75.4,免费评估
10,爱丁堡大学The University of Edinburgh,61,1.7,448,63.0,74.1,免费评估
11,牛津布鲁克斯大学Oxford Brookes University,76,,342,31.0,62.2,免费评估
12,利物浦约翰摩尔斯大学Liverpool John Moores University,79,,221,35.0,58.7,免费评估
