Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,90,4.0,534,81.0,100.0,免费评估
2,牛津大学University of Oxford,89,2.8,526,82.0,95.6,免费评估
3,杜伦大学Durham University,82,3.2,488,77.0,90.7,免费评估
4,巴斯大学University of Bath,87,2.1,449,81.0,89.3,免费评估
5,圣安德鲁斯大学University of St Andrews,82,2.6,489,75.0,88.4,免费评估
6,伦敦国王学院King's College London,85,3.5,424,64.0,86.9,免费评估
7,诺丁汉大学University of Nottingham,77,4.1,399,72.0,86.3,免费评估
8,纽卡斯尔大学Newcastle University,77,2.5,436,77.0,84.1,免费评估
9,南安普顿大学University of Southampton,85,3.5,440,50.0,84.1,免费评估
10,布里斯托大学University of Bristol,79,1.6,455,79.0,83.7,免费评估
11,曼彻斯特大学The University of Manchester,76,4.1,398,65.0,83.6,免费评估
12,利兹大学University of Leeds,79,3.1,431,63.0,83.1,免费评估
13,莱斯特大学University of Leicester,86,1.9,365,76.0,83.1,免费评估
14,伦敦大学学院University College London,81,2.1,451,69.0,82.9,免费评估
15,谢菲尔德大学The University of Sheffield,73,3.2,413,67.0,80.7,免费评估
16,埃克塞特大学University of Exeter,76,2.4,440,63.0,79.7,免费评估
17,诺桑比亚大学Northumbria University,91,,300,86.0,79.5,免费评估
18,伦敦大学玛丽女王学院Queen Mary University of London,73,3.4,369,68.0,79.5,免费评估
19,兰卡斯特大学Lancaster University,75,1.5,402,79.0,79.4,免费评估
20,阿伯丁大学University of Aberdeen,83,2.1,324,70.0,78.8,免费评估
21,卡迪夫大学Cardiff University,78,2.4,388,64.0,78.4,免费评估
22,伯明翰大学University of Birmingham,75,1.9,386,72.0,77.8,免费评估
23,阿斯顿大学Aston University,83,1.0,389,,76.6,免费评估
24,肯特大学University of Kent,82,1.2,297,73.0,75.8,免费评估
25,赫瑞瓦特大学Heriot Watt University,77,1.6,372,66.0,75.6,免费评估
26,朴茨茅斯大学University of Portsmouth,83,2.4,287,60.0,75.5,免费评估
27,格拉斯哥大学University of Glasgow,67,1.3,419,78.0,75.3,免费评估
28,爱丁堡大学The University of Edinburgh,65,2.5,466,61.0,75.2,免费评估
29,斯特林大学University of Stirling,82,1.3,292,70.0,74.8,免费评估
30,英国女王大学Queen's University Belfast,73,2.7,366,58.0,74.6,免费评估
31,思克莱德大学University of Strathclyde,76,0.8,389,67.0,73.5,免费评估
32,伦敦大学皇家霍洛威学院Royal Holloway University of London,68,2.3,383,63.0,73.4,免费评估
33,斯旺西大学Swansea University,81,2.1,298,56.0,72.9,免费评估
34,利物浦大学The University of Liverpool,70,2.5,369,54.0,71.8,免费评估
35,萨塞克斯大学University of Sussex,73,,381,74.0,71.4,免费评估
36,赫尔大学The University of Hull,82,,303,71.0,71.3,免费评估
37,阿尔斯特大学University of Ulster,88,0.4,302,53.0,70.7,免费评估
38,东英吉利大学University of East Anglia,87,,377,46.0,70.1,免费评估
39,切斯特大学University of Chester,79,,289,71.0,69.3,免费评估
40,索尔福德大学University of Salford,77,1.3,329,50.0,68.5,免费评估
41,罗汉普顿大学Roehampton University,81,1.3,283,43.0,66.7,免费评估
42,诺丁汉特伦特大学Nottingham Trent University,87,,279,49.0,66.4,免费评估
43,曼彻斯特城市大学Manchester Metropolitan University,77,0.7,268,56.0,65.9,免费评估
44,威斯敏斯特大学University of Westminster,66,,290,68.0,62.3,免费评估
45,利物浦约翰摩尔斯大学Liverpool John Moores University,72,,242,43.0,56.3,免费评估
