Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,华威大学The University of Warwick,84.0,3.8,489.0,77.0,100.0,免费评估
2,兰卡斯特大学Lancaster University,85.0,3.8,401.0,89.0,99.5,免费评估
3,巴斯大学University of Bath,80.0,4.0,450.0,84.0,98.1,免费评估
4,思克莱德大学University of Strathclyde,85.0,3.5,,81.0,97.8,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,74.0,4.0,488.0,82.0,95.8,免费评估
5,拉夫堡大学Loughborough University,85.0,2.8,414.0,85.0,95.8,免费评估
7,埃克塞特大学University of Exeter,85.0,2.4,446.0,81.0,94.7,免费评估
8,卡迪夫大学Cardiff University,81.0,4.3,404.0,66.0,93.8,免费评估
9,利兹大学University of Leeds,78.0,3.4,430.0,80.0,93.5,免费评估
10,格拉斯哥大学University of Glasgow,84.0,2.1,450.0,78.0,92.4,免费评估
11,伦敦城市大学City University London,83.0,2.7,415.0,76.0,91.9,免费评估
12,纽卡斯尔大学Newcastle University,83.0,2.2,426.0,78.0,91.5,免费评估
13,诺丁汉大学University of Nottingham,77.0,3.4,410.0,75.0,90.7,免费评估
14,布里斯托大学University of Bristol,78.0,2.4,434.0,80.0,89.7,免费评估
15,南安普顿大学University of Southampton,78.0,2.7,442.0,71.0,88.9,免费评估
16,罗伯特高登大学The Robert Gordon University,86.0,1.0,338.0,94.0,88.8,免费评估
17,杜伦大学Durham University,77.0,2.7,399.0,77.0,88.1,免费评估
18,雷丁大学University of Reading,77.0,2.2,407.0,84.0,88.0,免费评估
19,爱丁堡大学The University of Edinburgh,77.0,2.2,418.0,79.0,87.5,免费评估
20,东英吉利大学University of East Anglia,84.0,2.1,388.0,67.0,87.4,免费评估
21,英国女王大学Queen's University Belfast,75.0,2.7,395.0,79.0,87.3,免费评估
22,伯明翰大学University of Birmingham,79.0,3.0,403.0,62.0,86.9,免费评估
22,肯特大学University of Kent,80.0,2.6,343.0,75.0,86.9,免费评估
24,曼彻斯特大学The University of Manchester,72.0,3.5,422.0,63.0,86.2,免费评估
25,利物浦大学The University of Liverpool,78.0,2.2,414.0,66.0,85.5,免费评估
26,谢菲尔德大学The University of Sheffield,78.0,2.8,376.0,60.0,84.5,免费评估
27,邓迪大学University of Dundee,85.0,1.6,338.0,67.0,84.3,免费评估
28,斯特林大学University of Stirling,82.0,1.5,316.0,73.0,82.7,免费评估
29,伦敦大学玛丽女王学院Queen Mary University of London,75.0,2.7,390.0,54.0,81.9,免费评估
30,德蒙福特大学De Montfort University,86.0,1.8,264.0,65.0,81.8,免费评估
31,诺桑比亚大学Northumbria University,82.0,0.7,328.0,80.0,81.4,免费评估
32,班戈大学Bangor University,83.0,2.9,274.0,50.0,81.3,免费评估
33,阿尔斯特大学University of Ulster,83.0,1.5,304.0,66.0,81.2,免费评估
34,赫瑞瓦特大学Heriot Watt University,77.0,2.1,333.0,67.0,81.1,免费评估
35,阿伯丁大学University of Aberdeen,77.0,1.9,321.0,70.0,80.8,免费评估
36,赫尔大学The University of Hull,83.0,1.8,294.0,61.0,80.6,免费评估
37,朴茨茅斯大学University of Portsmouth,87.0,1.5,277.0,58.0,80.3,免费评估
38,亚伯大学Aberystwyth University,86.0,1.3,272.0,63.0,79.8,免费评估
39,林肯大学University of Lincoln,94.0,,291.0,56.0,79.5,免费评估
40,埃塞克斯大学University of Essex,74.0,2.4,313.0,64.0,79.1,免费评估
40,西英格兰大学University of the West of England,81.0,1.9,261.0,64.0,79.1,免费评估
42,布莱顿大学University of Brighton,78.0,2.6,271.0,57.0,78.9,免费评估
43,萨里大学University of Surrey,73.0,2.2,354.0,,78.6,免费评估
44,布拉德福德大学University of Bradford,76.0,2.4,293.0,58.0,78.3,免费评估
44,谢菲尔德哈莱姆大学Sheffield Hallam University,81.0,1.2,282.0,68.0,78.3,免费评估
46,哈德斯菲尔德大学University of Huddersfield,82.0,1.0,266.0,69.0,78.2,免费评估
47,索尔福德大学University of Salford,88.0,1.3,273.0,45.0,77.5,免费评估
48,基尔大学Keele University,76.0,2.1,292.0,61.0,77.3,免费评估
49,伯恩茅斯大学Bournemouth University,80.0,1.3,300.0,59.0,76.7,免费评估
50,格拉摩根大学University of Glamorgan,85.0,0.9,239.0,59.0,76.1,免费评估
51,牛津布鲁克斯大学Oxford Brookes University,85.0,,306.0,59.0,75.5,免费评估
52,诺丁汉特伦特大学Nottingham Trent University,74.0,1.3,270.0,70.0,74.8,免费评估
53,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,81.0,0.6,305.0,54.0,74.1,免费评估
54,利兹都会大学Leeds Metropolitan University,86.0,,259.0,55.0,73.2,免费评估
55,普利茅斯大学University of Plymouth,78.0,1.3,294.0,46.0,72.8,免费评估
56,龙比亚大学Napier University,75.0,0.6,258.0,72.0,72.4,免费评估
57,格林威治大学The University of Greenwich,81.0,1.0,228.0,49.0,71.4,免费评估
58,曼彻斯特城市大学Manchester Metropolitan University,72.0,1.5,262.0,60.0,71.3,免费评估
59,赫特福德大学University of Hertfordshire,78.0,1.5,234.0,49.0,71.2,免费评估
60,北安普顿大学The University of Northampton,84.0,,213.0,56.0,70.5,免费评估
61,格罗斯特大学University of Gloucestershire,75.0,,306.0,55.0,68.7,免费评估
62,考文垂大学Coventry University,75.0,,300.0,56.0,68.5,免费评估
63,中央兰开夏大学University of Central Lancashire,69.0,1.3,291.0,51.0,68.4,免费评估
64,伯明翰大学University of Birmingham,66.0,1.1,242.0,69.0,67.6,免费评估
65,斯塔福德郡大学Staffordshire University,73.0,,215.0,71.0,67.2,免费评估
66,金斯顿大学Kingston University,79.0,,256.0,46.0,66.9,免费评估
67,威尔士大学卡迪夫学院UWIC,77.0,,254.0,44.0,65.3,免费评估
68,南安普顿索伦特大学Southampton Solent University,77.0,,227.0,47.0,65.0,免费评估
69,利物浦约翰摩尔斯大学Liverpool John Moores University,77.0,0.3,254.0,38.0,64.8,免费评估
