Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,92,4.3,555.0,100,100.0,免费评估
2,剑桥大学University of Cambridge,82,4.7,585.0,99,99.9,免费评估
3,爱丁堡大学The University of Edinburgh,84,4.0,530.0,100,93.6,免费评估
4,伦敦大学学院University College London,79,3.9,536.0,100,91.6,免费评估
5,帝国理工学院Imperial College London,79,3.7,530.0,100,90.4,免费评估
6,纽卡斯尔大学Newcastle University,85,2.6,497.0,100,86.2,免费评估
7,圣安德鲁斯大学University of St Andrews,86,2.2,504.0,99,85.9,免费评估
8,赫尔约克医学院Hull York Medical School,80,3.0,497.0,100,85.4,免费评估
9,阿伯丁大学University of Aberdeen,84,3.3,454.0,100,84.2,免费评估
10,伦敦大学玛丽女王学院Queen Mary University of London,71,3.4,499.0,100,83.8,免费评估
11,伯明翰大学University of Birmingham,72,2.7,517.0,100,83.3,免费评估
12,邓迪大学University of Dundee,82,2.3,490.0,100,83.3,免费评估
13,利兹大学University of Leeds,79,2.6,490.0,100,83.3,免费评估
14,莱斯特大学University of Leicester,83,1.9,498.0,100,83.2,免费评估
15,Peninsula College of Medicine & Dentistry,83,2.2,487.0,100,83.1,免费评估
16,南安普顿大学University of Southampton,78,2.7,487.0,99,82.9,免费评估
17,谢菲尔德大学The University of Sheffield,79,2.2,495.0,100,82.6,免费评估
18,诺丁汉大学University of Nottingham,79,1.5,519.0,99,82.2,免费评估
19,格拉斯哥大学University of Glasgow,71,2.6,509.0,100,82.1,免费评估
20,伦敦国王学院King's College London,70,2.8,487.0,100,80.2,免费评估
21,曼彻斯特大学The University of Manchester,66,3.1,495.0,100,80.2,免费评估
22,东英吉利大学University of East Anglia,77,1.8,475.0,100,78.3,免费评估
23,金斯顿大学Kingston University,75,1.8,482.0,100,78.3,免费评估
24,布里斯托大学University of Bristol,65,2.7,488.0,100,78.1,免费评估
25,利物浦大学The University of Liverpool,66,2.5,488.0,100,78.0,免费评估
26,华威大学The University of Warwick,73,2.1,,100,78.0,免费评估
27,英国女王大学Queen's University Belfast,75,2.1,461.0,99,77.3,免费评估
28,布莱顿苏塞克斯医学院Brighton Sussex Medical School,84,1.5,430.0,100,76.2,免费评估
29,卡迪夫大学Cardiff University,61,2.2,487.0,100,74.8,免费评估
30,基尔大学Keele University,70,1.5,457.0,99,72.9,免费评估
