Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,,4.0,560.0,89.0,100.0,免费评估
2,剑桥大学University of Cambridge,,4.4,,81.0,95.4,免费评估
3,华威大学The University of Warwick,81.0,3.8,490.0,83.0,92.2,免费评估
4,帝国理工学院Imperial College London,,4.7,479.0,66.0,92.0,免费评估
5,巴斯大学University of Bath,79.0,4.0,471.0,86.0,91.7,免费评估
6,兰卡斯特大学Lancaster University,82.0,3.8,418.0,83.0,90.3,免费评估
7,拉夫堡大学Loughborough University,88.0,2.8,428.0,75.0,89.4,免费评估
8,圣安德鲁斯大学University of St Andrews,83.0,2.5,522.0,71.0,88.3,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,72.0,4.0,487.0,85.0,88.0,免费评估
10,埃克塞特大学University of Exeter,85.0,2.8,455.0,70.0,87.3,免费评估
11,思克莱德大学University of Strathclyde,81.0,3.5,420.0,67.0,85.5,免费评估
12,诺丁汉大学University of Nottingham,77.0,3.4,410.0,81.0,85.4,免费评估
13,伦敦国王学院King's College London,73.0,4.0,465.0,74.0,85.3,免费评估
14,约克大学The University of York,,2.2,394.0,79.0,83.0,免费评估
15,卡迪夫大学Cardiff University,75.0,4.3,377.0,68.0,82.7,免费评估
15,伦敦城市大学City University London,79.0,2.7,402.0,73.0,82.7,免费评估
17,利兹大学University of Leeds,74.0,3.4,420.0,74.0,82.6,免费评估
18,杜伦大学Durham University,77.0,2.7,431.0,72.0,82.5,免费评估
19,莱斯特大学University of Leicester,79.0,2.6,368.0,73.0,81.6,免费评估
20,萨塞克斯大学University of Sussex,77.0,2.8,356.0,77.0,81.3,免费评估
21,阿斯顿大学Aston University,76.0,2.8,388.0,75.0,81.2,免费评估
22,格拉斯哥大学University of Glasgow,80.0,2.3,394.0,66.0,80.8,免费评估
23,曼彻斯特大学The University of Manchester,72.0,3.5,408.0,67.0,79.7,免费评估
23,谢菲尔德大学The University of Sheffield,77.0,2.8,382.0,65.0,79.7,免费评估
25,伯明翰大学University of Birmingham,73.0,3.0,407.0,71.0,79.4,免费评估
26,雷丁大学University of Reading,77.0,2.2,383.0,71.0,79.3,免费评估
27,南安普顿大学University of Southampton,76.0,2.7,415.0,61.0,78.6,免费评估
28,利物浦大学The University of Liverpool,78.0,2.2,375.0,66.0,78.3,免费评估
29,阿伯丁大学University of Aberdeen,81.0,1.9,326.0,66.0,77.5,免费评估
30,爱丁堡大学The University of Edinburgh,74.0,2.2,423.0,66.0,77.4,免费评估
31,纽卡斯尔大学Newcastle University,72.0,2.2,384.0,75.0,77.2,免费评估
32,肯特大学University of Kent,79.0,2.3,293.0,65.0,76.6,免费评估
33,东英吉利大学University of East Anglia,79.0,2.1,339.0,60.0,76.0,免费评估
34,赫瑞瓦特大学Heriot Watt University,74.0,2.1,344.0,70.0,75.8,免费评估
34,萨里大学University of Surrey,71.0,2.2,374.0,74.0,75.8,免费评估
36,伦敦大学亚非学院SOAS University of London,,1.6,382.0,,75.6,免费评估
37,班戈大学Bangor University,79.0,2.9,252.0,62.0,75.4,免费评估
38,罗伯特高登大学The Robert Gordon University,78.0,1.6,273.0,75.0,75.3,免费评估
39,白金汉大学The University of Buckingham,84.0,,257.0,82.0,75.2,免费评估
40,伦敦大学学院University College London,80.0,,451.0,63.0,75.0,免费评估
41,伦敦大学皇家霍洛威学院Royal Holloway University of London,70.0,2.7,387.0,62.0,74.6,免费评估
42,德蒙福特大学De Montfort University,85.0,1.8,236.0,59.0,74.5,免费评估
43,英国女王大学Queen's University Belfast,74.0,2.7,357.0,54.0,74.1,免费评估
44,赫尔大学The University of Hull,78.0,1.8,278.0,64.0,73.4,免费评估
44,牛津布鲁克斯大学Oxford Brookes University,79.0,1.2,321.0,63.0,73.4,免费评估
46,林肯大学University of Lincoln,84.0,0.7,273.0,62.0,73.2,免费评估
47,伯恩茅斯大学Bournemouth University,75.0,1.3,316.0,67.0,72.7,免费评估
48,亚伯大学Aberystwyth University,78.0,1.3,275.0,64.0,72.3,免费评估
49,伦敦大学玛丽女王学院Queen Mary University of London,70.0,2.7,364.0,52.0,71.6,免费评估
50,基尔大学Keele University,73.0,2.1,273.0,66.0,71.5,免费评估
51,斯特林大学University of Stirling,75.0,1.9,306.0,57.0,71.1,免费评估
52,布莱顿大学University of Brighton,74.0,2.6,275.0,54.0,71.0,免费评估
53,诺丁汉特伦特大学Nottingham Trent University,71.0,1.3,280.0,75.0,70.9,免费评估
54,中央兰开夏大学University of Central Lancashire,77.0,1.3,253.0,63.0,70.6,免费评估
55,布拉德福德大学University of Bradford,77.0,2.4,236.0,52.0,70.4,免费评估
56,谢菲尔德哈莱姆大学Sheffield Hallam University,75.0,1.2,285.0,63.0,70.3,免费评估
57,龙比亚大学Napier University,74.0,0.6,267.0,74.0,70.2,免费评估
58,诺桑比亚大学Northumbria University,73.0,0.7,315.0,68.0,70.1,免费评估
59,埃塞克斯大学University of Essex,73.0,2.4,280.0,54.0,69.8,免费评估
59,朴茨茅斯大学University of Portsmouth,77.0,1.5,273.0,55.0,69.8,免费评估
59,索尔福德大学University of Salford,75.0,2.2,268.0,53.0,69.8,免费评估
62,普利茅斯大学University of Plymouth,75.0,1.3,276.0,62.0,69.6,免费评估
63,皇家农学院Royal Agricultural University,81.0,,270.0,61.0,69.4,免费评估
64,格拉摩根大学University of Glamorgan,76.0,0.9,290.0,55.0,68.3,免费评估
64,斯旺西大学Swansea University,72.0,1.9,312.0,51.0,68.3,免费评估
66,布鲁内尔大学Brunel University,66.0,2.1,341.0,59.0,68.1,免费评估
67,阿尔斯特大学University of Ulster,78.0,1.5,250.0,47.0,68.0,免费评估
68,格林威治大学The University of Greenwich,82.0,1.0,194.0,49.0,67.4,免费评估
68,西英格兰大学University of the West of England,73.0,1.1,267.0,60.0,67.4,免费评估
70,赫特福德大学University of Hertfordshire,76.0,1.5,228.0,50.0,66.8,免费评估
