Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,84.0,5.3,595.0,82.0,100.0,免费评估
2,诺丁汉大学University of Nottingham,85.0,3.8,,91.0,92.0,免费评估
3,牛津大学University of Oxford,,3.9,,88.0,91.7,免费评估
4,谢菲尔德大学The University of Sheffield,84.0,3.0,371.0,95.0,86.2,免费评估
5,帝国理工学院Imperial College London,79.0,3.0,474.0,82.0,85.1,免费评估
6,利兹大学University of Leeds,74.0,3.7,,77.0,80.2,免费评估
7,伯明翰大学University of Birmingham,78.0,3.2,376.0,75.0,79.4,免费评估
8,拉夫堡大学Loughborough University,82.0,3.4,358.0,68.0,78.9,免费评估
9,斯旺西大学Swansea University,78.0,2.8,296.0,87.0,77.9,免费评估
10,伦敦大学玛丽女王学院Queen Mary University of London,85.0,2.7,344.0,69.0,77.3,免费评估
11,埃克塞特大学University of Exeter,72.0,1.5,415.0,87.0,76.3,免费评估
12,谢菲尔德哈莱姆大学Sheffield Hallam University,87.0,1.5,302.0,,73.6,免费评估
13,曼彻斯特大学The University of Manchester,65.0,3.6,381.0,55.0,70.3,免费评估
14,德蒙福特大学De Montfort University,77.0,1.7,284.0,63.0,66.4,免费评估
15,曼彻斯特城市大学Manchester Metropolitan University,68.0,1.0,296.0,65.0,62.2,免费评估
16,伦敦都市大学London Metropolitan University,59.0,0.1,,48.0,46.2,免费评估
17,伦敦艺术大学University of the Arts London,52.0,,251.0,49.0,46.0,免费评估
