Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,84.0,5.4,567.0,92.0,100.0,免费评估
2,布里斯托大学University of Bristol,79.0,3.9,489.0,91.0,90.0,免费评估
2,谢菲尔德大学The University of Sheffield,84.0,4.1,433.0,87.0,90.0,免费评估
4,萨里大学University of Surrey,94.0,3.2,382.0,83.0,89.5,免费评估
5,帝国理工学院Imperial College London,71.0,4.2,538.0,82.0,86.7,免费评估
6,纽卡斯尔大学Newcastle University,78.0,2.9,,97.0,85.3,免费评估
7,南安普顿大学University of Southampton,81.0,2.8,493.0,80.0,85.0,免费评估
8,巴斯大学University of Bath,83.0,2.4,476.0,83.0,84.3,免费评估
9,拉夫堡大学Loughborough University,81.0,3.4,411.0,78.0,83.6,免费评估
10,诺丁汉大学University of Nottingham,81.0,3.8,356.0,82.0,83.3,免费评估
11,利兹大学University of Leeds,78.0,3.6,385.0,59.0,77.4,免费评估
12,曼彻斯特大学The University of Manchester,68.0,3.4,412.0,74.0,76.2,免费评估
13,格拉斯哥大学University of Glasgow,79.0,2.1,391.0,73.0,76.0,免费评估
14,英国女王大学Queen's University Belfast,75.0,2.9,378.0,65.0,74.9,免费评估
15,斯旺西大学Swansea University,77.0,2.1,325.0,81.0,74.8,免费评估
16,伦敦大学玛丽女王学院Queen Mary University of London,80.0,2.0,330.0,71.0,74.2,免费评估
17,利物浦大学The University of Liverpool,65.0,3.3,406.0,72.0,73.5,免费评估
18,德蒙福特大学De Montfort University,76.0,1.9,,73.0,72.1,免费评估
19,阿斯顿大学Aston University,82.0,1.8,317.0,61.0,71.6,免费评估
20,思克莱德大学University of Strathclyde,74.0,2.5,362.0,61.0,71.2,免费评估
21,布鲁内尔大学Brunel University,71.0,2.2,364.0,63.0,69.7,免费评估
22,赫特福德大学University of Hertfordshire,75.0,2.5,237.0,68.0,68.7,免费评估
23,普利茅斯大学University of Plymouth,79.0,0.9,,68.0,68.6,免费评估
24,西英格兰大学University of the West of England,70.0,2.4,290.0,70.0,68.5,免费评估
25,萨塞克斯大学University of Sussex,81.0,,340.0,68.0,67.3,免费评估
26,索尔福德大学University of Salford,78.0,2.2,290.0,49.0,67.0,免费评估
27,朴茨茅斯大学University of Portsmouth,83.0,1.8,231.0,52.0,66.8,免费评估
28,利物浦约翰摩尔斯大学Liverpool John Moores University,70.0,3.1,241.0,60.0,66.7,免费评估
29,考文垂大学Coventry University,71.0,0.8,284.0,70.0,63.4,免费评估
30,伦敦城市大学City University London,70.0,2.1,313.0,45.0,62.7,免费评估
31,格拉摩根大学University of Glamorgan,61.0,2.2,253.0,58.0,59.6,免费评估
32,金斯顿大学Kingston University,65.0,1.2,269.0,61.0,59.0,免费评估
33,伦敦南岸大学London South Bank University,71.0,2.2,,34.0,58.8,免费评估
34,谢菲尔德哈莱姆大学Sheffield Hallam University,74.0,1.5,267.0,33.0,58.6,免费评估
35,曼彻斯特城市大学Manchester Metropolitan University,68.0,1.2,220.0,50.0,56.5,免费评估
36,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,72.0,,264.0,43.0,54.9,免费评估
37,阿尔斯特大学University of Ulster,67.0,,178.0,65.0,53.8,免费评估
40,埃塞克斯大学University of Essex,74.0,2.4,313.0,64.0,79.1,免费评估
40,西英格兰大学University of the West of England,81.0,1.9,261.0,64.0,79.1,免费评估
42,布莱顿大学University of Brighton,78.0,2.6,271.0,57.0,78.9,免费评估
43,萨里大学University of Surrey,73.0,2.2,354.0,,78.6,免费评估
44,布拉德福德大学University of Bradford,76.0,2.4,293.0,58.0,78.3,免费评估
44,谢菲尔德哈莱姆大学Sheffield Hallam University,81.0,1.2,282.0,68.0,78.3,免费评估
46,哈德斯菲尔德大学University of Huddersfield,82.0,1.0,266.0,69.0,78.2,免费评估
47,索尔福德大学University of Salford,88.0,1.3,273.0,45.0,77.5,免费评估
48,基尔大学Keele University,76.0,2.1,292.0,61.0,77.3,免费评估
49,伯恩茅斯大学Bournemouth University,80.0,1.3,300.0,59.0,76.7,免费评估
50,格拉摩根大学University of Glamorgan,85.0,0.9,239.0,59.0,76.1,免费评估
51,牛津布鲁克斯大学Oxford Brookes University,85.0,,306.0,59.0,75.5,免费评估
52,诺丁汉特伦特大学Nottingham Trent University,74.0,1.3,270.0,70.0,74.8,免费评估
53,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,81.0,0.6,305.0,54.0,74.1,免费评估
54,利兹都会大学Leeds Metropolitan University,86.0,,259.0,55.0,73.2,免费评估
55,普利茅斯大学University of Plymouth,78.0,1.3,294.0,46.0,72.8,免费评估
56,龙比亚大学Napier University,75.0,0.6,258.0,72.0,72.4,免费评估
57,格林威治大学The University of Greenwich,81.0,1.0,228.0,49.0,71.4,免费评估
58,曼彻斯特城市大学Manchester Metropolitan University,72.0,1.5,262.0,60.0,71.3,免费评估
59,赫特福德大学University of Hertfordshire,78.0,1.5,234.0,49.0,71.2,免费评估
60,北安普顿大学The University of Northampton,84.0,,213.0,56.0,70.5,免费评估
61,格罗斯特大学University of Gloucestershire,75.0,,306.0,55.0,68.7,免费评估
62,考文垂大学Coventry University,75.0,,300.0,56.0,68.5,免费评估
63,中央兰开夏大学University of Central Lancashire,69.0,1.3,291.0,51.0,68.4,免费评估
64,伯明翰大学University of Birmingham,66.0,1.1,242.0,69.0,67.6,免费评估
65,斯塔福德郡大学Staffordshire University,73.0,,215.0,71.0,67.2,免费评估
66,金斯顿大学Kingston University,79.0,,256.0,46.0,66.9,免费评估
67,威尔士大学卡迪夫学院UWIC,77.0,,254.0,44.0,65.3,免费评估
68,南安普顿索伦特大学Southampton Solent University,77.0,,227.0,47.0,65.0,免费评估
69,利物浦约翰摩尔斯大学Liverpool John Moores University,77.0,0.3,254.0,38.0,64.8,免费评估
70,米德塞斯大学Middlesex University,78.0,,192.0,48.0,64.5,免费评估
71,东伦敦大学University of East London,83.0,,172.0,31.0,62.9,免费评估
72,德比大学University of Derby,78.0,,208.0,37.0,62.5,免费评估
73,伦敦南岸大学London South Bank University,77.0,1.0,180.0,25.0,61.4,免费评估
74,伦敦都市大学London Metropolitan University,71.0,,209.0,39.0,58.9,免费评估
75,贝德福德大学University of Bedfordshire,76.0,,155.0,31.0,58.0,免费评估
76,西苏格兰大学University of the West of Scotland,,1.3,243.0,9.0,57.3,免费评估
77,剑桥安鲁大学Anglia Ruskin University,52.0,,213.0,62.0,52.9,免费评估
