Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,85,3.1,595.0,82.0,100.0,免费评估
2,爱丁堡大学The University of Edinburgh,90,4.9,,71.0,99.3,免费评估
3,东英吉利大学University of East Anglia,93,2.6,403.0,100.0,99.0,免费评估
4,诺丁汉大学University of Nottingham,78,4.5,462.0,99.0,98.8,免费评估
5,卡迪夫大学Cardiff University,87,2.6,421.0,100.0,96.4,免费评估
6,曼彻斯特大学The University of Manchester,79,4.0,430.0,96.0,96.0,免费评估
7,巴斯大学University of Bath,80,3.1,468.0,96.0,95.4,免费评估
8,英国女王大学Queen's University Belfast,83,2.7,410.0,100.0,94.4,免费评估
9,阿斯顿大学Aston University,81,2.5,432.0,100.0,93.3,免费评估
10,利物浦大学The University of Liverpool,89,2.8,413.0,75.0,92.3,免费评估
11,伦敦国王学院King's College London,81,2.6,428.0,93.0,91.9,免费评估
12,伦敦大学学院University College London,81,3.2,486.0,69.0,90.6,免费评估
13,思克莱德大学University of Strathclyde,78,2.6,435.0,89.0,89.7,免费评估
14,布莱顿大学University of Brighton,83,1.8,355.0,95.0,87.8,免费评估
15,伦敦大学药剂学院School of Pharmacy,67,3.5,401.0,100.0,87.8,免费评估
16,布拉德福德大学University of Bradford,78,2.6,347.0,95.0,87.6,免费评估
17,雷丁大学University of Reading,78,2.1,359.0,100.0,87.4,免费评估
18,罗伯特高登大学The Robert Gordon University,85,,408.0,100.0,87.2,免费评估
19,格林威治大学The University of Greenwich,95,1.1,292.0,83.0,87.0,免费评估
20,哈德斯菲尔德大学University of Huddersfield,90,0.9,354.0,,87.0,免费评估
21,利兹大学University of Leeds,84,2.8,391.0,68.0,86.8,免费评估
22,格拉斯哥大学University of Glasgow,83,2.7,355.0,78.0,86.7,免费评估
23,邓迪大学University of Dundee,89,3.5,355.0,50.0,86.0,免费评估
24,布里斯托大学University of Bristol,79,2.7,434.0,68.0,85.4,免费评估
25,朴茨茅斯大学University of Portsmouth,78,2.6,310.0,90.0,84.8,免费评估
26,肯特大学University of Kent,83,1.5,250.0,100.0,84.0,免费评估
27,赫特福德大学University of Hertfordshire,86,1.5,313.0,82.0,83.9,免费评估
28,利物浦约翰摩尔斯大学Liverpool John Moores University,79,1.2,345.0,95.0,83.4,免费评估
29,桑德兰大学University of Sunderland,80,0.7,368.0,94.0,83.0,免费评估
30,德蒙福特大学De Montfort University,76,1.8,314.0,90.0,80.9,免费评估
31,诺丁汉特伦特大学Nottingham Trent University,76,2.8,276.0,,79.9,免费评估
32,阿伯丁大学University of Aberdeen,85,,327.0,83.0,79.6,免费评估
33,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,82,1.3,274.0,80.0,79.3,免费评估
34,金斯顿大学Kingston University,77,1.2,280.0,72.0,73.9,免费评估
