Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,89,1.5,548.0,69,100.0,免费评估
2,牛津大学University of Oxford,87,1.5,530.0,70,99.4,免费评估
3,杜伦大学Durham University,86,1.1,516.0,80,94.8,免费评估
4,圣安德鲁斯大学University of St Andrews,82,1.0,,76,88.7,免费评估
5,爱丁堡大学The University of Edinburgh,65,1.2,,71,82.0,免费评估
6,伦敦大学亚非学院SOAS University of London,70,1.1,392.0,70,81.2,免费评估
7,伯明翰大学University of Birmingham,84,1.0,375.0,60,81.1,免费评估
8,埃克塞特大学University of Exeter,83,0.7,421.0,55,76.8,免费评估
9,利兹大学University of Leeds,86,,423.0,84,76.0,免费评估
10,曼彻斯特大学The University of Manchester,66,0.9,367.0,47,68.3,免费评估
11,威斯敏斯特大学University of Westminster,64,,263.0,47,49.7,免费评估
