Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,87.0,1.6,630,83,100.0,免费评估
2,牛津大学University of Oxford,88.0,1.4,578,87,97.6,免费评估
3,杜伦大学Durham University,86.0,1.1,564,86,93.6,免费评估
4,圣安德鲁斯大学University of St Andrews,85.0,1.3,525,83,92.9,免费评估
5,诺丁汉大学University of Nottingham,84.0,1.5,423,76,89.4,免费评估
6,约克大学The University of York,89.0,1.1,474,73,89.4,免费评估
7,布里斯托大学University of Bristol,83.0,1.3,495,75,88.7,免费评估
8,谢菲尔德大学The University of Sheffield,86.0,1.0,449,80,88.7,免费评估
9,爱丁堡大学The University of Edinburgh,83.0,1.3,482,69,87.8,免费评估
10,南安普顿大学University of Southampton,84.0,0.8,444,87,86.9,免费评估
11,萨塞克斯大学University of Sussex,88.0,0.7,400,85,86.7,免费评估
12,曼彻斯特大学The University of Manchester,85.0,1.1,416,77,86.2,免费评估
13,思克莱德大学University of Strathclyde,86.0,0.9,438,75,86.1,免费评估
14,赫瑞瓦特大学Heriot Watt University,89.0,0.7,380,79,85.2,免费评估
15,利物浦大学The University of Liverpool,82.0,1.1,394,77,84.8,免费评估
16,帝国理工学院Imperial College London,72.0,1.2,537,80,84.3,免费评估
17,赫尔大学The University of Hull,90.0,0.6,319,84,84.2,免费评估
18,巴斯大学University of Bath,83.0,0.7,443,79,83.7,免费评估
19,萨里大学University of Surrey,77.0,1.0,376,89,83.5,免费评估
20,拉夫堡大学Loughborough University,93.0,0.3,357,81,83.4,免费评估
21,华威大学The University of Warwick,75.0,1.1,464,80,83.2,免费评估
22,利兹大学University of Leeds,81.0,1.1,414,71,83.1,免费评估
23,英国女王大学Queen's University Belfast,87.0,0.6,374,81,83.0,免费评估
24,伦敦大学学院University College London,77.0,1.0,483,74,82.9,免费评估
25,伯明翰大学University of Birmingham,84.0,0.8,403,74,82.7,免费评估
26,班戈大学Bangor University,85.0,0.7,271,91,82.0,免费评估
27,基尔大学Keele University,87.0,0.7,351,73,81.9,免费评估
28,莱斯特大学University of Leicester,91.0,0.5,340,74,81.8,免费评估
29,格拉斯哥大学University of Glasgow,77.0,0.9,464,75,81.7,免费评估
30,卡迪夫大学Cardiff University,79.0,0.8,404,77,80.9,免费评估
31,纽卡斯尔大学Newcastle University,76.0,0.6,395,80,77.2,免费评估
32,伦敦大学玛丽女王学院Queen Mary University of London,79.0,0.6,354,73,76.9,免费评估
33,普利茅斯大学University of Plymouth,85.0,0.4,302,73,76.8,免费评估
34,东英吉利大学University of East Anglia,79.0,0.7,377,68,76.7,免费评估
35,布拉德福德大学University of Bradford,76.0,0.9,264,82,76.3,免费评估
36,雷丁大学University of Reading,82.0,0.3,344,71,74.3,免费评估
37,哈德斯菲尔德大学University of Huddersfield,81.0,0.3,265,76,72.5,免费评估
38,肯特大学University of Kent,82.0,,333,73,72.5,免费评估
39,阿斯顿大学Aston University,,0.6,329,58,71.1,免费评估
40,诺丁汉特伦特大学Nottingham Trent University,74.0,0.9,289,61,71.0,免费评估
41,阿伯丁大学University of Aberdeen,77.0,0.5,398,49,70.6,免费评估
42,诺桑比亚大学Northumbria University,78.0,0.4,305,63,70.4,免费评估
43,谢菲尔德哈莱姆大学Sheffield Hallam University,77.0,0.3,236,68,67.6,免费评估
44,金斯顿大学Kingston University,78.0,,261,69,67.0,免费评估
45,西苏格兰大学University of the West of Scotland,83.0,,249,57,66.6,免费评估
46,布莱顿大学University of Brighton,75.0,0.6,264,53,66.5,免费评估
47,曼彻斯特城市大学Manchester Metropolitan University,73.0,0.3,258,58,64.2,免费评估
48,格林威治大学The University of Greenwich,,,251,57,62.5,免费评估
49,格拉摩根大学University of Glamorgan,75.0,,276,52,62.1,免费评估
50,阿伯泰邓迪大学University of Abertay Dundee,,,297,23,52.5,免费评估
