Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,95,1.4,620.0,100,100.0,免费评估
2,剑桥大学University of Cambridge,85,1.6,631.0,100,98.0,免费评估
3,爱丁堡大学The University of Edinburgh,82,1.3,582.0,100,90.8,免费评估
4,伦敦大学学院University College London,81,1.3,554.0,100,88.0,免费评估
5,阿伯丁大学University of Aberdeen,87,1.1,540.0,100,87.5,免费评估
6,帝国理工学院Imperial College London,80,1.2,560.0,100,87.0,免费评估
7,纽卡斯尔大学Newcastle University,87,0.8,531.0,100,84.3,免费评估
8,圣安德鲁斯大学University of St Andrews,85,0.7,538.0,98,82.4,免费评估
9,邓迪大学University of Dundee,85,0.7,529.0,100,81.9,免费评估
10,赫尔约克医学院Hull York Medical School,79,1.0,518.0,100,81.2,免费评估
11,伦敦大学玛丽女王学院Queen Mary University of London,79,1.1,499.0,100,81.1,免费评估
12,谢菲尔德大学The University of Sheffield,83,0.7,511.0,100,79.6,免费评估
13,利兹大学University of Leeds,82,0.8,496.0,100,79.5,免费评估
14,埃克塞特大学University of Exeter,84,0.7,501.0,100,79.1,免费评估
15,普利茅斯大学University of Plymouth,84,0.7,501.0,100,79.1,免费评估
16,伯明翰大学University of Birmingham,73,0.9,534.0,100,79.0,免费评估
17,莱斯特大学University of Leicester,84,0.6,507.0,100,78.5,免费评估
18,伦敦国王学院King's College London,72,0.9,508.0,100,76.6,免费评估
19,南安普顿大学University of Southampton,78,0.9,475.0,100,76.6,免费评估
20,诺丁汉大学University of Nottingham,80,0.5,517.0,100,76.2,免费评估
21,格拉斯哥大学University of Glasgow,69,0.8,520.0,99,75.7,免费评估
22,曼彻斯特大学The University of Manchester,68,1.0,498.0,100,75.5,免费评估
23,英国女王大学Queen's University Belfast,75,0.6,505.0,99,75.3,免费评估
24,华威大学The University of Warwick,76,0.7,,100,75.1,免费评估
25,布里斯托大学University of Bristol,68,0.9,508.0,100,75.0,免费评估
26,布莱顿苏塞克斯医学院Brighton Sussex Medical School,83,0.5,471.0,99,74.2,免费评估
27,利物浦大学The University of Liverpool,68,0.8,484.0,100,72.2,免费评估
28,卡迪夫大学Cardiff University,64,0.7,521.0,100,71.9,免费评估
29,Kingston/St George's,76,0.6,463.0,100,71.8,免费评估
30,东英吉利大学University of East Anglia,76,0.6,465.0,100,71.7,免费评估
31,基尔大学Keele University,71,0.4,464.0,100,68.6,免费评估
