Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,格拉斯哥大学University of Glasgow,85.0,0.9,470.0,,100.0,免费评估
2,阿斯顿大学Aston University,90.0,0.8,417.0,94.0,99.7,免费评估
3,剑桥大学University of Cambridge,87.0,,630.0,83.0,97.2,免费评估
4,卡迪夫大学Cardiff University,82.0,1.0,425.0,93.0,96.5,免费评估
6,纽卡斯尔大学Newcastle University,91.0,0.9,447.0,75.0,96.5,免费评估
7,兰卡斯特大学Lancaster University,89.0,1.0,371.0,75.0,93.8,免费评估
8,利兹大学University of Leeds,78.0,1.1,359.0,96.0,93.7,免费评估
9,曼彻斯特大学The University of Manchester,79.0,0.9,435.0,86.0,93.2,免费评估
11,谢菲尔德大学The University of Sheffield,84.0,1.1,415.0,78.0,93.0,免费评估
12,朴茨茅斯大学University of Portsmouth,80.0,0.9,334.0,96.0,91.5,免费评估
13,诺丁汉大学University of Nottingham,82.0,0.6,373.0,92.0,90.6,免费评估
15,基尔大学Keele University,88.0,0.9,416.0,98.0,90.2,免费评估
16,牛津布鲁克斯大学Oxford Brookes University,86.0,0.5,375.0,80.0,89.4,免费评估
17,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,79.0,0.9,407.0,75.0,89.0,免费评估
18,罗伯特高登大学The Robert Gordon University,81.0,0.3,406.0,88.0,88.0,免费评估
19,南安普顿大学University of Southampton,78.0,0.3,425.0,90.0,87.2,免费评估
20,西英格兰大学University of the West of England,78.0,1.0,311.0,83.0,86.8,免费评估
21,布拉德福德大学University of Bradford,78.0,0.5,374.0,89.0,86.7,免费评估
22,伯明翰大学University of Birmingham,85.0,,430.0,79.0,86.6,免费评估
23,赫尔大学The University of Hull,79.0,1.0,,69.0,86.3,免费评估
24,利物浦大学The University of Liverpool,75.0,0.6,344.0,93.0,86.2,免费评估
25,剑桥安鲁大学Anglia Ruskin University,84.0,0.3,371.0,81.0,85.9,免费评估
25,东英吉利大学University of East Anglia,84.0,0.2,374.0,84.0,85.9,免费评估
25,格拉摩根大学University of Glamorgan,83.0,0.0,354.0,96.0,85.9,免费评估
28,诺桑比亚大学Northumbria University,82.0,0.4,358.0,80.0,85.3,免费评估
29,蒂赛德大学Teesside University,84.0,0.2,366.0,80.0,85.0,免费评估
30,斯旺西大学Swansea University,69.0,1.0,374.0,84.0,84.8,免费评估
31,杜伦大学Durham University,86.0,,405.0,74.0,84.7,免费评估
32,阿尔斯特大学University of Ulster,81.0,0.9,349.0,62.0,84.3,免费评估
34,赫特福德大学University of Hertfordshire,78.0,0.8,354.0,90.0,83.9,免费评估
36,谢菲尔德哈莱姆大学Sheffield Hallam University,80.0,,343.0,84.0,83.0,免费评估
38,布鲁内尔大学Brunel University,77.0,0.5,380.0,80.0,82.4,免费评估
40,伯恩茅斯大学Bournemouth University,80.0,,351.0,85.0,81.3,免费评估
40,考文垂大学Coventry University,80.0,0.2,314.0,80.0,80.3,免费评估
42,肯特大学University of Kent,80.0,0.5,321.0,64.0,79.6,免费评估
43,中央兰开夏大学University of Central Lancashire,83.0,0.4,316.0,59.0,78.8,免费评估
44,曼彻斯特城市大学Manchester Metropolitan University,74.0,0.4,343.0,76.0,78.7,免费评估
46,雷丁大学University of Reading,79.0,,400.0,79.0,78.5,免费评估
47,利物浦约翰摩尔斯大学Liverpool John Moores University,76.0,0.4,316.0,73.0,78.0,免费评估
48,普利茅斯大学University of Plymouth,78.0,0.4,319.0,80.0,77.6,免费评估
51,龙比亚大学Napier University,76.0,0.6,,79.0,77.6,免费评估
52,卡迪夫都市大学Cardiff Metropolitan University,78.0,0.3,324.0,68.0,77.1,免费评估
52,林肯大学University of Lincoln,84.0,0.1,264.0,70.0,77.1,免费评估
52,索尔福德大学University of Salford,74.0,0.5,293.0,74.0,77.1,免费评估
52,英国圣玛丽大学学院St Mary's University College,84.0,,306.0,67.0,77.1,免费评估
57,诺丁汉特伦特大学Nottingham Trent University,78.0,0.9,307.0,76.0,77.0,免费评估
58,玛格利特女王学校Queen Margaret's School,77.0,0.1,367.0,69.0,76.7,免费评估
59,米德塞斯大学Middlesex University,72.0,0.4,229.0,89.0,76.2,免费评估
60,布里斯托大学University of Bristol,67.0,,382.0,86.0,76.1,免费评估
60,哈德斯菲尔德大学University of Huddersfield,81.0,,277.0,74.0,76.1,免费评估
62,哥比亚大学University of Cumbria,73.0,0.0,291.0,88.0,75.6,免费评估
63,切斯特大学University of Chester,83.0,0.2,275.0,64.0,75.5,免费评估
64,伯明翰城市大学Birmingham City University,76.0,,296.0,79.0,75.4,免费评估
65,伦敦都市大学London Metropolitan University,76.0,0.4,271.0,68.0,74.8,免费评估
66,Kingston/St George's,70.0,,354.0,77.0,74.1,免费评估
67,西苏格兰大学University of the West of Scotland,78.0,0.7,276.0,46.0,73.6,免费评估
68,约克圣约翰大学York St John University,79.0,0.1,302.0,63.0,73.5,免费评估
69,格林威治大学The University of Greenwich,78.0,,262.0,73.0,73.4,免费评估
70,利兹都会大学Leeds Metropolitan University,78.0,0.1,306.0,61.0,73.1,免费评估
71,德比大学University of Derby,75.0,,276.0,75.0,72.8,免费评估
72,北安普顿大学The University of Northampton,71.0,0.2,255.0,79.0,72.5,免费评估
73,普利茅斯大学University of Plymouth,68.0,,382.0,67.0,71.8,免费评估
74,坎特伯雷大学Canterbury Christ Church University,66.0,0.1,252.0,91.0,71.5,免费评估
75,贝德福德大学University of Bedfordshire,71.0,,224.0,86.0,71.3,免费评估
76,桑德兰大学University of Sunderland,79.0,0.2,287.0,44.0,69.2,免费评估
77,伯明翰大学University of Birmingham,77.0,,222.0,47.0,64.6,免费评估
78,阿伯泰邓迪大学University of Abertay Dundee,,0.1,247.0,50.0,63.2,免费评估
