Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,90,1.3,548,81,100.0,免费评估
2,牛津大学University of Oxford,85,1.4,590,81,99.1,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,82,1.4,506,88,95.8,免费评估
4,圣安德鲁斯大学University of St Andrews,81,1.6,563,65,93.8,免费评估
5,伦敦大学学院University College London,81,1.7,504,69,92.9,免费评估
6,伦敦国王学院King's College London,82,1.5,476,72,92.1,免费评估
7,杜伦大学Durham University,83,0.9,539,78,91.8,免费评估
8,谢菲尔德大学The University of Sheffield,86,1.4,466,61,91.4,免费评估
9,布里斯托大学University of Bristol,76,1.3,508,76,88.9,免费评估
10,萨塞克斯大学University of Sussex,89,0.8,404,67,88.7,免费评估
11,埃塞克斯大学University of Essex,86,1.2,369,69,88.3,免费评估
12,约克大学The University of York,81,0.9,465,70,86.5,免费评估
13,纽卡斯尔大学Newcastle University,88,0.8,406,56,85.3,免费评估
14,诺丁汉大学University of Nottingham,81,1.1,411,65,85.0,免费评估
15,华威大学The University of Warwick,77,0.9,501,67,84.6,免费评估
16,雷丁大学University of Reading,80,1.4,386,51,82.8,免费评估
17,格拉斯哥大学University of Glasgow,85,0.7,437,48,81.9,免费评估
18,埃克塞特大学University of Exeter,75,1.0,464,62,81.5,免费评估
19,斯特林大学University of Stirling,87,1.2,372,32,81.2,免费评估
20,利兹大学University of Leeds,76,1.1,410,59,80.5,免费评估
21,兰卡斯特大学Lancaster University,78,0.6,389,69,80.4,免费评估
22,爱丁堡大学The University of Edinburgh,70,1.1,462,67,80.0,免费评估
23,南安普顿大学University of Southampton,82,0.5,432,51,79.5,免费评估
24,邓迪大学University of Dundee,87,0.7,344,45,79.3,免费评估
25,卡迪夫大学Cardiff University,84,0.4,435,47,79.2,免费评估
26,伯明翰大学University of Birmingham,76,0.6,408,66,78.8,免费评估
27,东英吉利大学University of East Anglia,84,0.5,387,48,78.4,免费评估
28,布莱顿大学University of Brighton,81,1.4,286,39,77.3,免费评估
29,利物浦大学The University of Liverpool,81,0.3,395,55,77.0,免费评估
30,赫尔大学The University of Hull,82,0.5,323,57,76.7,免费评估
31,基尔大学Keele University,79,0.5,332,61,76.6,免费评估
32,西英格兰大学University of the West of England,82,0.2,298,67,75.9,免费评估
33,曼彻斯特大学The University of Manchester,70,0.7,450,61,75.7,免费评估
34,阿伯丁大学University of Aberdeen,79,0.3,356,62,75.5,免费评估
35,英国女王大学Queen's University Belfast,75,0.8,396,48,75.3,免费评估
36,赫特福德大学University of Hertfordshire,81,0.4,320,54,74.9,免费评估
37,斯塔福德郡大学Staffordshire University,84,0.2,302,51,74.4,免费评估
38,牛津布鲁克斯大学Oxford Brookes University,84,0.0,323,48,73.2,免费评估
39,肯特大学University of Kent,74,0.6,363,50,72.7,免费评估
40,曼彻斯特城市大学Manchester Metropolitan University,83,0.5,289,31,71.1,免费评估
41,罗汉普顿大学Roehampton University,84,,299,38,70.2,免费评估
42,海斯罗珀学院Heythrop College of the University of London,73,0.1,345,54,68.5,免费评估
43,格林威治大学The University of Greenwich,80,,262,41,67.3,免费评估
44,中央兰开夏大学University of Central Lancashire,83,,275,27,66.5,免费评估
45,剑桥安鲁大学Anglia Ruskin University,82,,226,31,65.1,免费评估
46,圣大卫三一学院University of Wales Trinity Saint David,70,0.2,253,50,63.6,免费评估
