Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,81.0,1.4,532.0,95.0,100.0,免费评估
2,谢菲尔德大学The University of Sheffield,84.0,1.3,393.0,79.0,90.7,免费评估
3,卡迪夫大学Cardiff University,83.0,1.3,391.0,78.0,89.4,免费评估
4,雷丁大学University of Reading,72.0,1.1,417.0,100.0,88.8,免费评估
5,伯明翰大学University of Birmingham,89.0,0.7,410.0,76.0,87.5,免费评估
6,伦敦大学学院University College London,70.0,1.0,460.0,85.0,85.8,免费评估
7,纽卡斯尔大学Newcastle University,76.0,1.2,344.0,81.0,83.5,免费评估
8,拉夫堡大学Loughborough University,84.0,1.3,318.0,63.0,82.8,免费评估
9,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,74.0,0.9,347.0,82.0,80.5,免费评估
10,诺桑比亚大学Northumbria University,84.0,0.6,301.0,79.0,79.4,免费评估
11,阿伯丁大学University of Aberdeen,,1.0,362.0,59.0,78.0,免费评估
12,西英格兰大学University of the West of England,83.0,0.6,290.0,67.0,75.4,免费评估
13,格罗斯特大学University of Gloucestershire,,0.5,340.0,75.0,75.0,免费评估
14,谢菲尔德哈莱姆大学Sheffield Hallam University,76.0,0.9,295.0,62.0,74.2,免费评估
15,牛津布鲁克斯大学Oxford Brookes University,75.0,0.5,334.0,73.0,73.9,免费评估
16,英国女王大学Queen's University Belfast,68.0,0.5,340.0,84.0,73.7,免费评估
17,赫瑞瓦特大学Heriot Watt University,72.0,0.9,363.0,53.0,73.6,免费评估
18,曼彻斯特大学The University of Manchester,71.0,1.0,352.0,53.0,73.5,免费评估
19,利物浦大学The University of Liverpool,75.0,0.7,370.0,52.0,72.9,免费评估
20,曼彻斯特城市大学Manchester Metropolitan University,79.0,0.5,,62.0,72.3,免费评估
21,诺丁汉特伦特大学Nottingham Trent University,76.0,0.3,306.0,69.0,70.5,免费评估
22,邓迪大学University of Dundee,80.0,0.5,,51.0,69.8,免费评估
22,利物浦约翰摩尔斯大学Liverpool John Moores University,72.0,0.4,,73.0,69.8,免费评估
24,利兹都会大学Leeds Metropolitan University,87.0,,308.0,50.0,68.7,免费评估
25,伯明翰城市大学Birmingham City University,61.0,0.5,253.0,80.0,64.5,免费评估
26,格林威治大学The University of Greenwich,69.0,,342.0,61.0,64.2,免费评估
27,威斯敏斯特大学University of Westminster,73.0,0.4,243.0,,63.1,免费评估
28,金斯顿大学Kingston University,63.0,0.1,227.0,72.0,59.3,免费评估
29,伦敦南岸大学London South Bank University,71.0,,230.0,43.0,55.4,免费评估
30,阿尔斯特大学University of Ulster,67.0,,250.0,41.0,53.9,免费评估
