Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,巴斯大学University of Bath,89.0,1.2,534.0,92.0,100.0,免费评估
2,剑桥大学University of Cambridge,85.0,1.4,529.0,84.0,98.2,免费评估
3,伦敦大学学院University College London,70.0,1.5,489.0,92.0,91.8,免费评估
4,谢菲尔德大学The University of Sheffield,80.0,1.3,491.0,72.0,90.1,免费评估
5,卡迪夫大学Cardiff University,80.0,1.1,520.0,75.0,89.7,免费评估
6,爱丁堡大学The University of Edinburgh,69.0,1.2,481.0,88.0,87.3,免费评估
7,诺丁汉大学University of Nottingham,82.0,0.6,470.0,85.0,86.4,免费评估
8,利物浦大学The University of Liverpool,74.0,1.4,447.0,67.0,84.8,免费评估
9,曼彻斯特建筑学院Manchester School of Architecture,79.0,0.7,425.0,79.0,82.6,免费评估
10,诺桑比亚大学Northumbria University,88.0,0.6,391.0,70.0,82.4,免费评估
11,纽卡斯尔大学Newcastle University,64.0,1.1,476.0,75.0,80.7,免费评估
12,布莱顿大学University of Brighton,67.0,1.4,403.0,69.0,79.9,免费评估
13,西英格兰大学University of the West of England,82.0,0.6,324.0,74.0,77.0,免费评估
14,邓迪大学University of Dundee,77.0,0.5,452.0,56.0,75.2,免费评估
15,威斯敏斯特大学University of Westminster,70.0,1.0,345.0,65.0,74.6,免费评估
16,谢菲尔德哈莱姆大学Sheffield Hallam University,82.0,0.6,379.0,51.0,73.8,免费评估
17,思克莱德大学University of Strathclyde,58.0,0.5,447.0,87.0,73.6,免费评估
18,牛津布鲁克斯大学Oxford Brookes University,77.0,,428.0,74.0,73.4,免费评估
19,普利茅斯大学University of Plymouth,68.0,0.8,359.0,71.0,73.3,免费评估
20,哈德斯菲尔德大学University of Huddersfield,81.0,,320.0,83.0,72.8,免费评估
21,英国女王大学Queen's University Belfast,80.0,,385.0,71.0,72.6,免费评估
22,罗伯特高登大学The Robert Gordon University,65.0,0.5,376.0,79.0,71.9,免费评估
23,利物浦约翰摩尔斯大学Liverpool John Moores University,78.0,0.9,290.0,52.0,71.3,免费评估
24,德蒙福特大学De Montfort University,67.0,1.0,298.0,69.0,71.2,免费评估
25,林肯大学University of Lincoln,71.0,0.5,372.0,66.0,70.5,免费评估
25,阿尔斯特大学University of Ulster,69.0,1.0,319.0,58.0,70.5,免费评估
27,肯特大学University of Kent,69.0,,409.0,75.0,69.0,免费评估
28,朴茨茅斯大学University of Portsmouth,78.0,0.1,316.0,66.0,68.3,免费评估
29,格拉摩根大学University of Glamorgan,74.0,0.7,,48.0,67.9,免费评估
30,索尔福德大学University of Salford,70.0,1.2,304.0,37.0,67.0,免费评估
31,伦敦都市大学London Metropolitan University,68.0,0.7,271.0,64.0,66.9,免费评估
32,伯恩茅斯大学Bournemouth University,77.0,0.1,330.0,,66.2,免费评估
33,格林威治大学The University of Greenwich,69.0,0.6,318.0,52.0,65.7,免费评估
34,金斯顿大学Kingston University,77.0,,342.0,56.0,65.3,免费评估
35,德比大学University of Derby,79.0,,248.0,65.0,64.9,免费评估
36,中央兰开夏大学University of Central Lancashire,66.0,0.5,305.0,60.0,64.5,免费评估
37,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,74.0,0.9,,28.0,64.0,免费评估
38,利兹都会大学Leeds Metropolitan University,69.0,,314.0,61.0,61.7,免费评估
39,创意艺术大学University for the Creative Arts,73.0,,261.0,60.0,60.9,免费评估
40,南安普顿索伦特大学Southampton Solent University,78.0,,229.0,55.0,60.7,免费评估
41,考文垂大学Coventry University,79.0,,281.0,43.0,60.4,免费评估
42,伯明翰城市大学Birmingham City University,62.0,,310.0,67.0,59.5,免费评估
43,伦敦南岸大学London South Bank University,72.0,,248.0,56.0,59.3,免费评估
44,诺丁汉特伦特大学Nottingham Trent University,52.0,0.3,312.0,71.0,58.8,免费评估
45,波尔顿大学University of Bolton,,0.6,202.0,,57.3,免费评估
46,东伦敦大学University of East London,71.0,,240.0,45.0,55.2,免费评估
47,卡迪夫都市大学Cardiff Metropolitan University,63.0,,294.0,39.0,52.1,免费评估
