Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,87.0,1.4,604,88,100.0,免费评估
2,剑桥大学University of Cambridge,,1.1,582,88,97.5,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,82.0,1.7,551,87,97.4,免费评估
4,伦敦大学学院University College London,83.0,1.5,534,89,95.7,免费评估
5,诺丁汉大学University of Nottingham,88.0,1.3,509,77,93.7,免费评估
6,杜伦大学Durham University,83.0,1.3,543,81,93.0,免费评估
7,爱丁堡大学The University of Edinburgh,79.0,1.2,508,86,89.6,免费评估
8,伦敦大学玛丽女王学院Queen Mary University of London,88.0,1.0,469,72,88.6,免费评估
9,雷丁大学University of Reading,83.0,1.0,430,86,88.4,免费评估
10,格拉斯哥大学University of Glasgow,79.0,0.9,517,87,88.3,免费评估
11,阿伯丁大学University of Aberdeen,86.0,0.5,460,88,86.9,免费评估
12,思克莱德大学University of Strathclyde,74.0,1.0,491,89,86.2,免费评估
13,纽卡斯尔大学Newcastle University,91.0,0.8,520,80,85.5,免费评估
15,华威大学The University of Warwick,82.0,0.7,498,78,85.3,免费评估
16,兰卡斯特大学Lancaster University,83.0,0.9,476,85,84.8,免费评估
18,卡迪夫大学Cardiff University,80.0,1.1,448,71,84.3,免费评估
19,布里斯托大学University of Bristol,76.0,0.9,495,80,84.0,免费评估
20,萨塞克斯大学University of Sussex,85.0,0.7,397,79,83.9,免费评估
21,南安普顿大学University of Southampton,81.0,0.6,466,79,83.7,免费评估
22,埃克塞特大学University of Exeter,79.0,0.7,467,81,83.6,免费评估
23,邓迪大学University of Dundee,88.0,0.6,429,68,83.4,免费评估
24,肯特大学University of Kent,81.0,1.3,430,71,82.7,免费评估
26,莱斯特大学University of Leicester,85.0,0.5,407,77,82.6,免费评估
27,英国女王大学Queen's University Belfast,77.0,1.1,435,71,82.3,免费评估
28,伦敦大学亚非学院SOAS University of London,77.0,0.6,418,79,79.5,免费评估
29,曼彻斯特大学The University of Manchester,71.0,0.7,452,80,79.0,免费评估
30,谢菲尔德大学The University of Sheffield,74.0,0.8,445,71,78.9,免费评估
31,赫尔大学The University of Hull,80.0,0.6,371,75,78.7,免费评估
32,东英吉利大学University of East Anglia,77.0,0.5,423,75,78.4,免费评估
