Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,87.0,1.0,630.0,83.0,100.0,免费评估
2,诺丁汉大学University of Nottingham,78.0,1.5,463.0,98.0,96.6,免费评估
3,卡迪夫大学Cardiff University,89.0,0.9,452.0,100.0,95.0,免费评估
4,东英吉利大学University of East Anglia,91.0,0.9,418.0,99.0,94.5,免费评估
5,爱丁堡大学The University of Edinburgh,91.0,1.6,,60.0,93.8,免费评估
5,英国女王大学Queen's University Belfast,,,,,,免费评估
7,曼彻斯特大学The University of Manchester,79.0,1.3,442.0,94.0,92.8,免费评估
8,纽卡斯尔大学Newcastle University,86.0,1.0,461.0,83.0,91.8,免费评估
9,巴斯大学University of Bath,79.0,1.0,466.0,95.0,91.6,免费评估
10,邓迪大学University of Dundee,91.0,1.2,425.0,69.0,90.5,免费评估
11,阿斯顿大学Aston University,86.0,0.9,421.0,93.0,90.4,免费评估
11,伦敦国王学院King's College London,,,,,,免费评估
13,思克莱德大学University of Strathclyde,78.0,0.9,481.0,93.0,89.6,免费评估
14,利兹大学University of Leeds,89.0,1.1,474.0,75.0,86.8,免费评估
14,伦敦大学学院University College London,,,,,,免费评估
16,布拉德福德大学University of Bradford,82.0,0.9,353.0,96.0,86.5,免费评估
17,伦敦大学药剂学院School of Pharmacy,69.0,1.2,406.0,100.0,86.3,免费评估
18,罗伯特高登大学The Robert Gordon University,87.0,,444.0,100.0,85.1,免费评估
19,利物浦大学The University of Liverpool,89.0,0.9,364.0,71.0,85.0,免费评估
20,哈德斯菲尔德大学University of Huddersfield,94.0,0.3,382.0,,84.6,免费评估
21,布里斯托大学University of Bristol,82.0,0.9,424.0,76.0,84.3,免费评估
21,格拉斯哥大学University of Glasgow,,,,,,免费评估
23,布莱顿大学University of Brighton,82.0,0.6,373.0,94.0,83.7,免费评估
24,桑德兰大学University of Sunderland,82.0,0.2,427.0,96.0,83.2,免费评估
25,雷丁大学University of Reading,76.0,0.7,364.0,100.0,82.6,免费评估
26,基尔大学Keele University,83.0,0.2,391.0,100.0,82.5,免费评估
27,格林威治大学The University of Greenwich,95.0,0.4,284.0,86.0,81.8,免费评估
28,赫特福德大学University of Hertfordshire,85.0,0.5,346.0,87.0,81.5,免费评估
29,肯特大学University of Kent,80.0,0.5,330.0,98.0,81.0,免费评估
30,朴茨茅斯大学University of Portsmouth,76.0,0.9,320.0,91.0,80.5,免费评估
31,利物浦约翰摩尔斯大学Liverpool John Moores University,76.0,0.4,380.0,93.0,79.2,免费评估
32,诺丁汉特伦特大学Nottingham Trent University,77.0,0.9,313.0,,77.9,免费评估
33,德蒙福特大学De Montfort University,77.0,0.6,311.0,87.0,77.0,免费评估
34,阿伯丁大学University of Aberdeen,86.0,,375.0,65.0,73.4,免费评估
35,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,84.0,0.4,,55.0,71.3,免费评估
36,金斯顿大学Kingston University,75.0,0.4,301.0,72.0,69.6,免费评估
37,赫尔大学The University of Hull,79.0,,320.0,71.0,68.8,免费评估
38,阿尔斯特大学University of Ulster,69.0,,367.0,71.0,66.6,免费评估
39,东伦敦大学University of East London,57.0,,229.0,74.0,54.9,免费评估
40,伦敦都市大学London Metropolitan University,74.0,,221.0,37.0,54.0,免费评估
