Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,83.5,60.0,631,96.2,100.0,免费评估
2,诺丁汉大学University of Nottingham,89.0,41.7,459,0.0,91.6,免费评估
3,帝国理工学院Imperial College London,89.2,41.7,549,73.9,89.7,免费评估
4,杜伦大学Durham University,79.6,26.7,542,88.8,84.9,免费评估
5,华威大学The University of Warwick,77.7,36.7,494,0.0,83.9,免费评估
6,埃克塞特大学University of Exeter,85.9,25.0,440,85.3,83.7,免费评估
7,牛津大学University of Oxford,73.9,45.0,591,70.8,83.4,免费评估
8,卡迪夫大学Cardiff University,84.1,35.5,377,0.0,83.2,免费评估
9,西英格兰大学University of the West of England,86.2,25.0,351,0.0,79.9,免费评估
10,阿伯丁大学University of Aberdeen,77.0,31.7,391,0.0,77.8,免费评估
11,龙比亚大学Napier University,84.6,13.3,327,82.4,76.1,免费评估
12,斯旺西大学Swansea University,64.5,36.7,338,90.9,75.0,免费评估
13,伯恩茅斯大学Bournemouth University,75.4,16.7,280,94.4,74.4,免费评估
14,伦敦大学玛丽女王学院Queen Mary University of London,81.5,21.7,373,66.7,73.8,免费评估
15,利物浦约翰摩尔斯大学Liverpool John Moores University,74.2,33.3,279,67.6,70.9,免费评估
16,莱斯特大学University of Leicester,70.4,25.0,366,73.3,70.8,免费评估
17,阿尔斯特大学University of Ulster,86.3,,273,77.0,70.4,免费评估
18,德蒙福特大学De Montfort University,80.1,13.3,242,0.0,67.8,免费评估
19,伦敦南岸大学London South Bank University,72.0,23.3,175,78.9,67.3,免费评估
20,谢菲尔德哈莱姆大学Sheffield Hallam University,72.5,15.0,273,69.9,65.7,免费评估
21,布拉德福德大学University of Bradford,70.6,17.3,281,0.0,64.5,免费评估
22,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,66.7,6.7,303,80.0,64.3,免费评估
23,中央兰开夏大学University of Central Lancashire,82.8,10.0,264,46.2,62.7,免费评估
24,伯明翰城市大学Birmingham City University,73.6,,293,64.3,61.4,免费评估
