Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,87.0,45.3,551,77.6,100.0,免费评估
2,牛津大学University of Oxford,89.0,35.0,536,79.7,97.1,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,88.7,48.3,468,62.1,94.8,免费评估
4,圣安德鲁斯大学University of St Andrews,85.7,35.0,492,75.0,92.6,免费评估
5,伦敦大学学院University College London,84.0,40.0,460,63.2,89.5,免费评估
6,曼彻斯特大学The University of Manchester,83.8,30.0,429,70.1,86.2,免费评估
7,伦敦大学亚非学院SOAS University of London,81.1,43.3,467,48.4,86.0,免费评估
8,杜伦大学Durham University,82.8,31.7,450,61.8,85.1,免费评估
9,布鲁内尔大学Brunel University,94.4,30.0,340,57.1,84.6,免费评估
10,萨塞克斯大学University of Sussex,86.6,35.0,407,45.6,82.5,免费评估
11,肯特大学University of Kent,85.1,27.1,379,62.6,81.9,免费评估
12,阿伯丁大学University of Aberdeen,86.8,38.3,392,38.5,81.6,免费评估
13,爱丁堡大学The University of Edinburgh,65.8,36.7,490,63.2,80.6,免费评估
14,伦敦大学金史密斯学院Goldsmiths University of London,85.8,35.0,364,41.0,79.3,免费评估
15,英国女王大学Queen's University Belfast,83.3,41.7,372,31.5,78.6,免费评估
16,罗汉普顿大学Roehampton University,83.8,36.7,269,48.4,76.9,免费评估
17,利物浦约翰摩尔斯大学Liverpool John Moores University,75.6,21.7,308,65.9,73.1,免费评估
18,伯恩茅斯大学Bournemouth University,84.4,18.3,331,,72.6,免费评估
19,牛津布鲁克斯大学Oxford Brookes University,72.9,15.0,328,45.1,65.2,免费评估
20,东伦敦大学University of East London,70.4,20.0,291,,62.1,免费评估
