Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,巴斯大学University of Bath,93.0,43.3,487,80.8,100.0,免费评估
2,思克莱德大学University of Strathclyde,87.7,38.3,495,78.7,95.4,免费评估
3,兰卡斯特大学Lancaster University,88.8,41.7,401,88.4,95.3,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,79.3,43.3,522,91.4,95.1,免费评估
5,华威大学The University of Warwick,81.4,41.7,507,82.2,93.7,免费评估
5,利兹大学University of Leeds,87.5,36.7,461,79.7,93.7,免费评估
7,英国女王大学Queen's University Belfast,90.8,28.3,414,86.7,92.9,免费评估
8,伦敦大学玛丽女王学院Queen Mary University of London,90.1,28.3,431,,91.7,免费评估
9,杜伦大学Durham University,87.7,28.3,404,86.0,90.6,免费评估
9,雷丁大学University of Reading,90.8,23.3,408,83.3,90.6,免费评估
11,拉夫堡大学Loughborough University,85.2,30.0,438,84.4,90.5,免费评估
12,格拉斯哥大学University of Glasgow,85.1,21.7,492,85.0,90.2,免费评估
13,纽卡斯尔大学Newcastle University,85.7,23.3,441,87.7,89.7,免费评估
14,埃克塞特大学University of Exeter,83.1,25.0,458,83.4,88.5,免费评估
15,伦敦城市大学City University London,83.8,28.3,446,76.1,88.0,免费评估
16,卡迪夫大学Cardiff University,81.5,46.7,427,57.6,87.6,免费评估
16,萨里大学University of Surrey,91.4,23.3,406,65.5,87.6,免费评估
18,曼彻斯特大学The University of Manchester,80.9,38.3,450,64.6,87.1,免费评估
19,阿伯丁大学University of Aberdeen,81.7,20.0,474,84.1,86.9,免费评估
19,罗伯特高登大学The Robert Gordon University,87.8,10.0,401,94.4,86.9,免费评估
21,东英吉利大学University of East Anglia,87.3,21.7,407,71.1,85.8,免费评估
22,肯特大学University of Kent,83.6,27.4,392,75.8,85.5,免费评估
23,赫瑞瓦特大学Heriot Watt University,87.6,21.7,382,71.1,85.1,免费评估
24,南安普顿大学University of Southampton,74.7,28.3,440,84.6,84.0,免费评估
25,谢菲尔德大学The University of Sheffield,80.1,30.0,377,76.8,83.8,免费评估
26,布里斯托大学University of Bristol,80.0,25.0,461,67.0,83.7,免费评估
27,利物浦大学The University of Liverpool,83.5,23.3,395,70.8,83.5,免费评估
28,伯明翰大学University of Birmingham,79.1,31.7,403,69.7,83.4,免费评估
29,爱丁堡大学The University of Edinburgh,75.5,23.3,444,80.0,82.3,免费评估
30,班戈大学Bangor University,87.2,31.7,317,53.8,82.0,免费评估
31,邓迪大学University of Dundee,87.2,16.7,396,60.0,81.9,免费评估
32,斯旺西大学Swansea University,83.1,20.0,349,75.8,81.6,免费评估
33,林肯大学University of Lincoln,94.7,,321,70.9,80.9,免费评估
34,诺丁汉大学University of Nottingham,70.3,36.7,393,76.0,80.4,免费评估
35,斯特林大学University of Stirling,80.8,15.0,393,74.1,80.2,免费评估
36,索尔福德大学University of Salford,90.1,13.3,300,64.6,79.9,免费评估
37,亚伯大学Aberystwyth University,87.5,13.3,306,70.1,79.7,免费评估
38,德蒙福特大学De Montfort University,85.8,18.3,337,55.9,78.6,免费评估
39,埃塞克斯大学University of Essex,86.6,25.0,356,39.2,78.5,免费评估
40,伯明翰城市大学Birmingham City University,91.8,11.7,293,54.9,78.4,免费评估
41,朴茨茅斯大学University of Portsmouth,81.1,15.0,312,78.5,78.2,免费评估
42,赫尔大学The University of Hull,85.8,18.3,321,56.7,78.1,免费评估
42,哈德斯菲尔德大学University of Huddersfield,82.7,10.0,330,77.1,78.1,免费评估
44,格罗斯特大学University of Gloucestershire,88.3,,279,81.5,77.5,免费评估
45,曼彻斯特城市大学Manchester Metropolitan University,85.6,15.0,315,57.3,77.0,免费评估
46,考文垂大学Coventry University,90.2,,299,67.6,76.8,免费评估
47,中央兰开夏大学University of Central Lancashire,89.1,13.3,314,46.8,76.6,免费评估
48,基尔大学Keele University,75.7,21.7,341,67.6,75.9,免费评估
48,格林威治大学The University of Greenwich,90.1,10.0,285,50.3,75.9,免费评估
50,切斯特大学University of Chester,84.5,,306,78.6,75.7,免费评估
51,布拉德福德大学University of Bradford,74.6,25.0,323,67.7,75.5,免费评估
52,阿尔斯特大学University of Ulster,82.5,15.0,305,58.0,74.9,免费评估
53,西英格兰大学University of the West of England,78.7,20.0,291,63.8,74.6,免费评估
53,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,85.0,5.0,354,53.3,74.6,免费评估
55,温切斯特大学University of Winchester,89.0,,291,60.0,74.4,免费评估
56,伯恩茅斯大学Bournemouth University,77.7,13.3,348,64.1,74.3,免费评估
57,诺丁汉特伦特大学Nottingham Trent University,77.7,13.3,324,65.4,73.7,免费评估
58,谢菲尔德哈莱姆大学Sheffield Hallam University,78.8,11.7,321,62.9,73.3,免费评估
59,龙比亚大学Napier University,86.0,5.0,317,50.5,73.2,免费评估
60,布莱顿大学University of Brighton,74.6,28.3,283,55.0,72.6,免费评估
61,伦敦南岸大学London South Bank University,86.5,10.0,230,54.1,72.4,免费评估
62,布鲁内尔大学Brunel University,80.3,21.7,337,33.8,72.2,免费评估
63,威斯敏斯特大学University of Westminster,77.2,13.3,329,55.8,71.8,免费评估
64,波尔顿大学University of Bolton,85.0,3.3,254,60.0,71.6,免费评估
65,西苏格兰大学University of the West of Scotland,80.5,13.3,289,48.6,70.9,免费评估
66,诺桑比亚大学Northumbria University,79.9,6.7,334,50.0,70.7,免费评估
67,利兹都会大学Leeds Metropolitan University,88.4,,259,44.9,70.1,免费评估
68,金斯顿大学Kingston University,82.7,,316,50.7,69.9,免费评估
69,南安普顿索伦特大学Southampton Solent University,86.1,,231,56.4,69.8,免费评估
70,北安普顿大学The University of Northampton,86.8,,253,47.9,69.5,免费评估
71,普利茅斯大学University of Plymouth,80.1,13.3,291,40.7,69.3,免费评估
72,德比大学University of Derby,88.8,,253,39.5,69.1,免费评估
73,利物浦约翰摩尔斯大学Liverpool John Moores University,81.4,1.7,317,46.9,68.9,免费评估
74,赫特福德大学University of Hertfordshire,75.7,15.0,303,46.4,68.7,免费评估
75,牛津布鲁克斯大学Oxford Brookes University,84.5,,321,36.4,68.5,免费评估
76,西伦敦大学University of West London,86.7,,202,50.0,67.9,免费评估
77,斯塔福德郡大学Staffordshire University,81.9,,212,61.4,67.5,免费评估
78,萨塞克斯大学University of Sussex,73.0,,378,55.6,67.3,免费评估
79,新白金汉大学Buckinghamshire New University,85.8,6.7,199,39.1,67.1,免费评估
80,坎特伯雷大学Canterbury Christ Church University,83.8,,234,48.1,67.0,免费评估
81,卡迪夫都市大学Cardiff Metropolitan University,81.3,,305,37.8,66.3,免费评估
82,米德塞斯大学Middlesex University,80.6,,235,45.7,64.7,免费评估
83,艾芝西尔大学Edge Hill University,80.6,,289,32.4,64.2,免费评估
84,伦敦都市大学London Metropolitan University,82.0,,207,33.7,62.3,免费评估
85,贝德福德大学University of Bedfordshire,77.9,,175,50.0,61.7,免费评估
86,剑桥安鲁大学Anglia Ruskin University,71.4,,210,63.2,61.6,免费评估
87,东伦敦大学University of East London,81.4,,226,22.8,60.6,免费评估
