Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,杜伦大学Durham University,92.1,33.3,561.0,84.3,100.0,免费评估
2,剑桥大学University of Cambridge,87.6,48.3,581.0,74.8,99.2,免费评估
3,牛津大学University of Oxford,87.3,46.7,567.0,72.8,97.8,免费评估
4,华威大学The University of Warwick,85.3,45.0,499.0,81.2,95.6,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,86.6,45.0,529.0,71.1,95.4,免费评估
6,埃克塞特大学University of Exeter,91.2,33.3,505.0,73.2,95.3,免费评估
7,伦敦大学学院University College London,84.3,48.3,502.0,70.0,93.6,免费评估
8,圣安德鲁斯大学University of St Andrews,85.7,33.3,528.0,77.1,93.5,免费评估
9,约克大学The University of York,83.9,35.0,510.0,72.0,91.1,免费评估
10,谢菲尔德大学The University of Sheffield,85.2,45.0,478.0,62.2,91.0,免费评估
11,伦敦国王学院King's College London,83.1,36.7,500.0,72.8,90.8,免费评估
12,南安普顿大学University of Southampton,86.1,43.3,444.0,64.3,90.5,免费评估
13,肯特大学University of Kent,87.0,46.7,407.0,63.7,90.4,免费评估
14,格拉斯哥大学University of Glasgow,88.7,36.7,477.0,55.2,89.9,免费评估
15,利物浦大学The University of Liverpool,88.2,46.7,416.0,55.4,89.8,免费评估
16,纽卡斯尔大学Newcastle University,89.0,23.3,439.0,72.7,89.4,免费评估
17,东英吉利大学University of East Anglia,88.6,33.3,440.0,58.3,88.5,免费评估
18,兰卡斯特大学Lancaster University,86.0,28.3,459.0,67.5,88.3,免费评估
19,伦敦大学玛丽女王学院Queen Mary University of London,81.3,40.0,435.0,68.8,87.5,免费评估
20,利兹大学University of Leeds,85.0,31.7,477.0,58.7,87.2,免费评估
21,伯明翰大学University of Birmingham,82.4,33.3,436.0,70.5,87.1,免费评估
22,伦敦大学皇家霍洛威学院Royal Holloway University of London,85.3,33.3,423.0,62.6,86.8,免费评估
23,曼彻斯特大学The University of Manchester,80.8,37.1,464.0,63.3,86.3,免费评估
24,伦敦大学亚非学院SOAS University of London,81.7,40.0,415.0,64.6,86.1,免费评估
25,阿伯丁大学University of Aberdeen,85.7,40.0,430.0,49.4,86.0,免费评估
26,布里斯托大学University of Bristol,76.3,28.3,491.0,78.2,85.6,免费评估
