Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,,43.3,596.0,80.2,100.0,免费评估
2,巴斯大学University of Bath,90.6,43.3,487.0,90.5,98.7,免费评估
3,剑桥大学University of Cambridge,,48.3,,81.6,96.9,免费评估
4,圣安德鲁斯大学University of St Andrews,87.3,26.7,582.0,75.0,93.0,免费评估
5,兰卡斯特大学Lancaster University,82.8,41.7,431.0,82.0,90.1,免费评估
6,伦敦政治经济学院The London School of Economics and Political Science,79.5,43.3,512.0,73.0,89.7,免费评估
7,卡迪夫大学Cardiff University,82.9,46.7,419.0,73.8,89.4,免费评估
8,利兹大学University of Leeds,84.1,36.7,440.0,77.2,89.0,免费评估
9,拉夫堡大学Loughborough University,83.2,30.0,439.0,88.2,88.9,免费评估
10,华威大学The University of Warwick,74.3,41.7,511.0,84.8,88.5,免费评估
11,埃克塞特大学University of Exeter,83.1,30.0,454.0,82.3,88.2,免费评估
12,思克莱德大学University of Strathclyde,83.3,38.3,466.0,61.9,86.9,免费评估
13,杜伦大学Durham University,79.1,28.3,395.0,100.0,86.8,免费评估
14,伦敦大学亚非学院SOAS University of London,88.3,16.7,427.0,0.0,85.6,免费评估
15,阿斯顿大学Aston University,83.5,30.0,404.0,73.3,84.9,免费评估
15,伦敦城市大学City University London,84.3,28.3,457.0,62.8,84.9,免费评估
17,伯明翰大学University of Birmingham,75.0,31.7,428.0,89.3,84.3,免费评估
18,莱斯特大学University of Leicester,84.7,28.3,377.0,72.2,84.0,免费评估
19,诺丁汉大学University of Nottingham,78.0,36.7,404.0,74.5,83.6,免费评估
20,萨里大学University of Surrey,84.6,23.3,366.0,75.1,82.9,免费评估
20,约克大学The University of York,81.7,23.3,405.0,76.5,82.9,免费评估
22,伦敦大学学院University College London,80.7,,455.0,100.0,82.7,免费评估
22,曼彻斯特大学The University of Manchester,76.6,38.3,424.0,68.5,82.7,免费评估
24,纽卡斯尔大学Newcastle University,78.0,23.3,426.0,82.6,82.6,免费评估
25,罗伯特高登大学The Robert Gordon University,83.0,16.7,375.0,83.6,82.2,免费评估
26,赫瑞瓦特大学Heriot Watt University,83.8,21.7,384.0,71.5,81.9,免费评估
27,南安普顿大学University of Southampton,74.5,28.3,427.0,80.8,81.5,免费评估
28,阿伯丁大学University of Aberdeen,82.4,20.0,414.0,69.6,81.4,免费评估
29,肯特大学University of Kent,80.5,25.0,364.0,76.8,81.2,免费评估
29,伦敦国王学院King's College London,67.8,43.3,471.0,72.3,81.2,免费评估
