Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,拉夫堡大学Loughborough University,87.1,41.7,360,94.4,100.0,免费评估
2,伦敦大学学院University College London,71.2,48.3,414,90.0,95.5,免费评估
3,诺丁汉大学University of Nottingham,81.2,20.0,453,,93.0,免费评估
4,雷丁大学University of Reading,75.6,40.0,345,94.7,92.9,免费评估
5,赫瑞瓦特大学Heriot Watt University,83.8,26.7,364,85.1,91.7,免费评估
6,阿斯顿大学Aston University,,18.3,383,90.9,91.0,免费评估
7,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,85.9,30.0,350,75.0,90.4,免费评估
8,罗伯特高登大学The Robert Gordon University,80.1,16.7,346,82.9,85.4,免费评估
9,龙比亚大学Napier University,90.1,15.0,357,61.2,85.0,免费评估
10,诺桑比亚大学Northumbria University,78.9,20.0,309,81.1,83.4,免费评估
11,诺丁汉特伦特大学Nottingham Trent University,81.5,10.0,292,85.0,81.9,免费评估
12,威斯敏斯特大学University of Westminster,77.2,33.3,316,60.0,81.3,免费评估
13,索尔福德大学University of Salford,69.1,38.3,324,67.8,81.1,免费评估
14,利物浦约翰摩尔斯大学Liverpool John Moores University,75.8,30.0,315,65.0,80.8,免费评估
15,普利茅斯大学University of Plymouth,69.4,25.0,281,88.9,80.5,免费评估
16,谢菲尔德哈莱姆大学Sheffield Hallam University,79.6,18.3,311,68.7,80.1,免费评估
17,布莱顿大学University of Brighton,79.8,13.3,304,73.7,79.7,免费评估
18,阿尔斯特大学University of Ulster,81.9,31.7,208,64.4,78.6,免费评估
19,剑桥安鲁大学Anglia Ruskin University,81.4,,297,79.4,77.8,免费评估
20,西英格兰大学University of the West of England,71.3,18.3,291,77.9,77.2,免费评估
21,牛津布鲁克斯大学Oxford Brookes University,80.5,,296,77.3,76.7,免费评估
22,金斯顿大学Kingston University,78.1,,294,79.2,75.9,免费评估
23,波尔顿大学University of Bolton,77.5,20.0,227,70.0,75.4,免费评估
24,考文垂大学Coventry University,88.7,,260,61.9,74.9,免费评估
25,格林威治大学The University of Greenwich,72.4,20.0,259,67.6,73.9,免费评估
25,中央兰开夏大学University of Central Lancashire,79.6,16.7,300,48.7,73.9,免费评估
27,利兹都会大学Leeds Metropolitan University,76.8,,272,68.8,71.4,免费评估
28,朴茨茅斯大学University of Portsmouth,74.2,,266,72.6,70.7,免费评估
29,伯明翰城市大学Birmingham City University,70.5,,284,69.0,68.9,免费评估
30,伦敦南岸大学London South Bank University,68.5,,237,63.0,63.7,免费评估
31,南安普顿索伦特大学Southampton Solent University,71.6,,204,60.0,62.8,免费评估
