Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,86.9,46.7,578,92.0,100.0,免费评估
2,巴斯大学University of Bath,91.1,40.0,567,88.1,98.9,免费评估
3,谢菲尔德大学The University of Sheffield,90.4,43.5,508,72.5,93.4,免费评估
4,卡迪夫大学Cardiff University,82.4,35.0,506,86.1,90.4,免费评估
5,纽卡斯尔大学Newcastle University,84.1,36.7,461,85.1,89.8,免费评估
6,爱丁堡大学The University of Edinburgh,73.8,40.0,498,92.6,88.8,免费评估
7,诺桑比亚大学Northumbria University,92.4,20.0,385,85.4,86.5,免费评估
8,伦敦大学学院University College London,71.7,48.3,495,78.3,86.4,免费评估
9,思克莱德大学University of Strathclyde,79.2,16.7,487,90.0,84.1,免费评估
10,诺丁汉大学University of Nottingham,82.7,20.0,477,,82.9,免费评估
11,西英格兰大学University of the West of England,90.1,18.3,354,79.8,82.4,免费评估
12,利物浦大学The University of Liverpool,70.8,45.0,426,77.6,82.2,免费评估
13,曼彻斯特建筑学院Manchester School of Architecture,79.9,24.3,465,67.9,80.3,免费评估
14,布莱顿大学University of Brighton,77.6,45.0,366,62.1,79.5,免费评估
14,德蒙福特大学De Montfort University,73.9,31.7,334,89.1,79.5,免费评估
16,英国女王大学Queen's University Belfast,92.7,,394,71.0,78.2,免费评估
17,罗伯特高登大学The Robert Gordon University,77.9,16.7,369,83.3,77.4,免费评估
18,谢菲尔德哈莱姆大学Sheffield Hallam University,85.9,18.3,384,62.4,77.2,免费评估
19,利物浦约翰摩尔斯大学Liverpool John Moores University,79.3,30.0,353,65.5,76.7,免费评估
20,中央兰开夏大学University of Central Lancashire,84.6,16.7,329,72.2,76.5,免费评估
21,威斯敏斯特大学University of Westminster,76.5,33.3,379,59.1,75.6,免费评估
22,肯特大学University of Kent,74.6,,437,87.8,75.0,免费评估
23,索尔福德大学University of Salford,82.3,38.3,310,47.1,74.2,免费评估
24,牛津布鲁克斯大学Oxford Brookes University,84.7,,459,60.0,74.0,免费评估
25,考文垂大学Coventry University,87.9,,260,80.6,73.0,免费评估
26,伦敦都市大学London Metropolitan University,74.2,23.3,300,76.0,72.9,免费评估
27,普利茅斯大学University of Plymouth,74.6,25.0,333,64.1,71.9,免费评估
28,林肯大学University of Lincoln,70.6,15.0,355,77.3,71.3,免费评估
29,哈德斯菲尔德大学University of Huddersfield,86.3,,321,66.7,71.2,免费评估
30,朴茨茅斯大学University of Portsmouth,81.7,3.3,352,65.6,70.8,免费评估
31,北安普顿大学The University of Northampton,,,281,83.3,70.3,免费评估
32,德比大学University of Derby,86.2,,273,70.7,70.2,免费评估
33,诺丁汉特伦特大学Nottingham Trent University,75.4,10.0,329,69.1,69.4,免费评估
34,阿尔斯特大学University of Ulster,80.7,31.7,280,41.7,69.2,免费评估
35,金斯顿大学Kingston University,79.6,,362,65.5,69.1,免费评估
36,卡迪夫都市大学Cardiff Metropolitan University,74.9,,273,86.7,68.6,免费评估
37,剑桥安鲁大学Anglia Ruskin University,79.1,,260,75.0,67.3,免费评估
38,伯恩茅斯艺术大学Arts University Bournemouth,76.7,3.3,295,69.6,67.0,免费评估
39,格林威治大学The University of Greenwich,77.3,20.0,345,37.5,65.9,免费评估
39,利兹都会大学Leeds Metropolitan University,79.0,,324,59.6,65.9,免费评估
41,伦敦艺术大学University of the Arts London,73.7,,320,70.0,65.7,免费评估
42,东伦敦大学University of East London,82.1,,264,45.5,61.7,免费评估
43,创意艺术大学University for the Creative Arts,75.7,,308,50.0,61.4,免费评估
44,伯明翰城市大学Birmingham City University,67.5,,311,60.0,59.9,免费评估
45,南安普顿索伦特大学Southampton Solent University,76.4,,184,61.5,59.8,免费评估
46,伦敦南岸大学London South Bank University,57.9,,253,47.6,49.9,免费评估
