Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,83.5,60.0,631.0,96.2,100.0,免费评估
2,帝国理工学院Imperial College London,86.2,46.7,578.0,89.4,93.9,免费评估
3,谢菲尔德大学The University of Sheffield,86.1,45.0,472.0,96.7,91.5,免费评估
4,利兹大学University of Leeds,92.4,38.3,418.0,89.4,88.8,免费评估
5,布里斯托大学University of Bristol,76.6,40.0,532.0,95.5,87.6,免费评估
6,巴斯大学University of Bath,89.7,25.0,507.0,86.4,86.2,免费评估
7,萨里大学University of Surrey,88.7,35.0,414.0,84.4,84.9,免费评估
7,拉夫堡大学Loughborough University,84.4,36.7,445.0,86.2,84.9,免费评估
9,思克莱德大学University of Strathclyde,82.2,26.2,522.0,91.1,84.8,免费评估
10,卡迪夫大学Cardiff University,85.4,35.0,437.0,86.4,84.6,免费评估
11,诺丁汉大学University of Nottingham,79.1,41.7,432.0,90.3,84.5,免费评估
12,南安普顿大学University of Southampton,79.4,30.0,499.0,92.0,84.0,免费评估
13,伯明翰大学University of Birmingham,74.9,36.7,464.0,93.5,83.1,免费评估
14,兰卡斯特大学Lancaster University,83.8,23.3,424.0,96.6,82.7,免费评估
15,华威大学The University of Warwick,80.7,36.7,430.0,85.5,82.5,免费评估
16,埃克塞特大学University of Exeter,85.9,25.0,440.0,85.3,81.9,免费评估
17,纽卡斯尔大学Newcastle University,79.9,31.7,446.0,87.1,81.7,免费评估
18,英国女王大学Queen's University Belfast,85.3,31.7,399.0,83.1,81.5,免费评估
19,赫瑞瓦特大学Heriot Watt University,84.7,25.0,424.0,85.5,80.8,免费评估
20,曼彻斯特大学The University of Manchester,78.5,36.7,442.0,79.0,80.4,免费评估
21,利物浦约翰摩尔斯大学Liverpool John Moores University,85.7,33.3,314.0,85.7,79.9,免费评估
22,利物浦大学The University of Liverpool,79.9,35.4,415.0,76.9,79.2,免费评估
23,斯旺西大学Swansea University,85.2,21.7,359.0,87.0,78.2,免费评估
24,爱丁堡大学The University of Edinburgh,67.4,28.3,499.0,89.6,77.6,免费评估
25,布鲁内尔大学Brunel University,87.1,23.3,378.0,74.0,77.0,免费评估
26,伦敦国王学院King's College London,85.5,21.7,,77.3,76.6,免费评估
27,格拉斯哥大学University of Glasgow,80.5,21.7,452.0,74.7,76.3,免费评估
28,阿伯丁大学University of Aberdeen,70.8,31.7,418.0,84.0,75.9,免费评估
29,罗伯特高登大学The Robert Gordon University,79.3,10.0,371.0,96.2,74.9,免费评估
30,哈珀亚当斯大学Harper Adams University,90.2,,315.0,88.6,73.2,免费评估
30,考文垂大学Coventry University,88.6,7.4,298.0,85.5,73.2,免费评估
32,萨塞克斯大学University of Sussex,76.8,26.7,348.0,76.9,73.0,免费评估
33,斯塔福德郡大学Staffordshire University,91.2,20.0,244.0,72.1,72.8,免费评估
34,阿斯顿大学Aston University,77.8,18.3,364.0,80.0,72.4,免费评估
35,布拉德福德大学University of Bradford,83.8,20.0,300.0,0.0,72.2,免费评估
36,西英格兰大学University of the West of England,72.0,25.0,320.0,87.7,72.1,免费评估
37,普利茅斯大学University of Plymouth,81.4,8.3,319.0,89.3,71.9,免费评估
38,伦敦大学玛丽女王学院Queen Mary University of London,81.9,21.7,377.0,64.3,71.8,免费评估
39,邓迪大学University of Dundee,88.1,,348.0,80.0,71.3,免费评估
40,格林威治大学The University of Greenwich,77.5,43.3,286.0,57.3,71.1,免费评估
41,德蒙福特大学De Montfort University,85.1,20.0,312.0,66.7,71.0,免费评估
42,伦敦大学学院University College London,62.1,31.7,478.0,69.6,70.5,免费评估
43,哈德斯菲尔德大学University of Huddersfield,77.5,15.0,300.0,83.7,70.0,免费评估
44,诺桑比亚大学Northumbria University,77.1,20.0,316.0,75.0,69.7,免费评估
45,阿尔斯特大学University of Ulster,84.1,,269.0,90.0,69.2,免费评估
46,曼彻斯特城市大学Manchester Metropolitan University,80.4,11.7,312.0,75.0,68.6,免费评估
47,中央兰开夏大学University of Central Lancashire,93.6,,270.0,66.7,67.8,免费评估
48,蒂赛德大学Teesside University,85.3,,380.0,64.7,67.4,免费评估
48,索尔福德大学University of Salford,75.7,23.3,324.0,63.6,67.4,免费评估
50,布莱顿大学University of Brighton,71.4,26.7,287.0,71.4,67.1,免费评估
51,朴茨茅斯大学University of Portsmouth,76.1,18.3,305.0,69.3,66.9,免费评估
52,桑德兰大学University of Sunderland,78.3,10.0,266.0,78.6,66.5,免费评估
52,赫特福德大学University of Hertfordshire,75.0,26.7,300.0,60.7,66.5,免费评估
54,伦敦城市大学City University London,84.6,21.7,359.0,40.0,66.4,免费评估
55,赫尔大学The University of Hull,85.9,13.3,327.0,51.0,66.2,免费评估
56,牛津布鲁克斯大学Oxford Brookes University,75.3,,366.0,68.8,63.4,免费评估
57,西苏格兰大学University of the West of Scotland,71.1,,309.0,81.8,62.8,免费评估
58,伯明翰城市大学Birmingham City University,70.5,,306.0,80.6,62.1,免费评估
59,谢菲尔德哈莱姆大学Sheffield Hallam University,68.0,15.0,265.0,68.5,60.8,免费评估
60,波尔顿大学University of Bolton,72.0,15.0,237.0,0.0,60.3,免费评估
61,金斯顿大学Kingston University,67.8,11.7,275.0,65.8,59.4,免费评估
62,伦敦南岸大学London South Bank University,71.2,23.3,240.0,50.0,59.2,免费评估
