Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,84.6,60.0,631,96.2,100.0,免费评估
2,萨里大学University of Surrey,88.5,43.3,473,85.9,89.2,免费评估
3,帝国理工学院Imperial College London,83.7,38.3,550,85.3,88.2,免费评估
4,南安普顿大学University of Southampton,80.5,38.3,498,93.4,86.2,免费评估
5,巴斯大学University of Bath,90.1,36.7,414,84.1,85.5,免费评估
6,曼彻斯特大学The University of Manchester,91.2,40.0,378,82.8,85.3,免费评估
7,利兹大学University of Leeds,80.6,46.7,402,90.6,84.6,免费评估
7,格拉斯哥大学University of Glasgow,88.6,35.0,441,80.4,84.6,免费评估
9,布里斯托大学University of Bristol,86.5,28.3,446,94.4,84.5,免费评估
10,思克莱德大学University of Strathclyde,83.6,26.7,467,92.4,83.1,免费评估
11,谢菲尔德大学The University of Sheffield,86.3,32.7,384,89.8,82.5,免费评估
12,伯明翰大学University of Birmingham,84.9,26.7,408,92.9,81.5,免费评估
13,伦敦大学学院University College London,80.7,36.7,466,73.4,80.9,免费评估
14,爱丁堡大学The University of Edinburgh,79.4,28.3,468,88.0,80.7,免费评估
15,纽卡斯尔大学Newcastle University,80.8,30.0,387,97.6,80.6,免费评估
16,英国女王大学Queen's University Belfast,81.2,33.3,374,83.0,78.5,免费评估
17,约克大学The University of York,85.2,25.0,393,81.1,78.4,免费评估
17,班戈大学Bangor University,84.2,43.3,269,0.0,78.4,免费评估
19,兰卡斯特大学Lancaster University,80.0,25.0,451,0.0,77.8,免费评估
20,拉夫堡大学Loughborough University,80.6,30.0,363,87.5,77.7,免费评估
20,利物浦大学The University of Liverpool,86.7,28.3,337,0.0,77.7,免费评估
22,埃塞克斯大学University of Essex,79.9,33.3,358,0.0,76.3,免费评估
23,阿伯丁大学University of Aberdeen,75.6,31.7,415,0.0,75.7,免费评估
24,赫瑞瓦特大学Heriot Watt University,79.1,25.0,366,87.1,75.6,免费评估
25,罗伯特高登大学The Robert Gordon University,80.2,10.0,390,97.0,74.6,免费评估
26,卡迪夫大学Cardiff University,73.7,23.3,414,87.0,74.3,免费评估
27,布鲁内尔大学Brunel University,83.1,20.0,351,78.3,73.8,免费评估
28,伦敦城市大学City University London,85.6,21.7,366,65.5,73.6,免费评估
29,诺丁汉大学University of Nottingham,74.7,28.3,381,78.2,73.3,免费评估
30,雷丁大学University of Reading,80.6,16.7,348,86.1,73.1,免费评估
31,赫尔大学The University of Hull,89.7,13.3,310,0.0,72.5,免费评估
32,埃克塞特大学University of Exeter,66.7,25.0,440,85.3,72.1,免费评估
33,肯特大学University of Kent,81.1,23.3,337,68.8,71.5,免费评估
34,考文垂大学Coventry University,83.0,20.0,250,78.8,70.1,免费评估
35,伦敦大学玛丽女王学院Queen Mary University of London,77.5,26.7,357,60.5,69.9,免费评估
36,朴茨茅斯大学University of Portsmouth,78.4,11.7,296,87.3,68.8,免费评估
36,阿斯顿大学Aston University,80.1,18.3,320,0.0,68.8,免费评估
38,利物浦约翰摩尔斯大学Liverpool John Moores University,74.8,33.3,305,59.4,68.3,免费评估
39,斯旺西大学Swansea University,75.8,16.7,344,73.3,68.2,免费评估
40,德比大学University of Derby,88.4,,290,77.1,68.1,免费评估
41,哈德斯菲尔德大学University of Huddersfield,79.1,15.0,335,68.1,67.9,免费评估
42,谢菲尔德哈莱姆大学Sheffield Hallam University,77.8,15.0,264,84.1,67.7,免费评估
43,西英格兰大学University of the West of England,69.0,25.0,298,82.3,67.2,免费评估
44,斯塔福德郡大学Staffordshire University,83.3,20.0,231,0.0,67.0,免费评估
45,中央兰开夏大学University of Central Lancashire,84.6,10.0,270,67.1,66.5,免费评估
46,赫特福德大学University of Hertfordshire,78.7,26.7,300,45.8,65.5,免费评估
47,曼彻斯特城市大学Manchester Metropolitan University,86.0,11.7,287,50.0,65.0,免费评估
48,格林威治大学The University of Greenwich,90.8,,274,57.1,64.9,免费评估
49,布莱顿大学University of Brighton,76.6,26.7,339,40.0,64.8,免费评估
50,诺桑比亚大学Northumbria University,77.3,20.0,253,64.0,64.7,免费评估
51,索尔福德大学University of Salford,68.5,31.7,308,55.0,64.1,免费评估
52,蒂赛德大学Teesside University,83.6,,321,53.1,62.4,免费评估
53,威斯敏斯特大学University of Westminster,81.5,5.0,283,55.0,61.8,免费评估
54,德蒙福特大学De Montfort University,74.6,15.0,292,54.9,61.6,免费评估
55,伦敦南岸大学London South Bank University,78.2,23.3,263,38.5,61.5,免费评估
55,布拉德福德大学University of Bradford,79.3,3.3,300,0.0,61.5,免费评估
57,亚伯大学Aberystwyth University,71.4,,286,84.0,61.1,免费评估
58,波尔顿大学University of Bolton,80.4,,295,52.9,59.8,免费评估
59,伯明翰城市大学Birmingham City University,74.5,,318,56.7,58.6,免费评估
60,普利茅斯大学University of Plymouth,67.7,10.0,305,58.8,58.1,免费评估
61,伦敦都市大学London Metropolitan University,88.1,,204,40.0,57.6,免费评估
62,剑桥安鲁大学Anglia Ruskin University,74.1,,179,60.0,53.8,免费评估
63,南安普顿索伦特大学Southampton Solent University,54.2,,223,65.7,47.0,免费评估
