Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,90.7,43.3,549.0,79.8,100.0,免费评估
2,埃克塞特大学University of Exeter,96.7,23.3,478.0,78.0,97.2,免费评估
3,杜伦大学Durham University,82.2,48.3,481.0,87.4,94.6,免费评估
3,牛津大学University of Oxford,84.4,41.7,531.0,77.4,94.6,免费评估
5,阿伯丁大学University of Aberdeen,89.8,36.7,426.0,75.0,93.0,免费评估
6,圣安德鲁斯大学University of St Andrews,82.5,30.0,484.0,88.0,91.3,免费评估
7,伯明翰大学University of Birmingham,89.0,30.0,389.0,79.9,90.8,免费评估
8,爱丁堡大学The University of Edinburgh,84.7,40.0,446.0,64.5,89.1,免费评估
9,谢菲尔德大学The University of Sheffield,85.3,35.0,385.0,0.0,87.6,免费评估
10,兰卡斯特大学Lancaster University,82.0,28.3,420.0,77.8,86.6,免费评估
11,诺丁汉大学University of Nottingham,81.2,33.3,402.0,75.0,86.0,免费评估
12,曼彻斯特大学The University of Manchester,83.6,38.3,419.0,53.5,85.2,免费评估
13,卡迪夫大学Cardiff University,87.1,15.0,381.0,70.4,84.6,免费评估
14,布里斯托大学University of Bristol,79.4,25.0,432.0,75.6,84.3,免费评估
15,伦敦国王学院King's College London,84.3,28.3,427.0,53.4,83.9,免费评估
16,利兹大学University of Leeds,87.0,25.0,396.0,50.5,83.4,免费评估
17,伦敦大学亚非学院SOAS University of London,77.7,31.7,362.0,81.0,83.1,免费评估
18,格拉斯哥大学University of Glasgow,87.0,21.7,384.0,50.0,82.3,免费评估
19,英国女王大学Queen's University Belfast,88.8,,381.0,65.9,82.0,免费评估
20,切斯特大学University of Chester,84.3,10.0,300.0,85.1,81.7,免费评估
21,肯特大学University of Kent,81.0,20.0,344.0,73.0,80.9,免费评估
22,纽曼大学Newman University,92.9,,295.0,57.5,80.1,免费评估
22,班戈大学Bangor University,85.8,13.3,,58.1,80.1,免费评估
24,"St Mary's University College, Twickenham",81.0,20.0,298.0,75.7,79.8,免费评估
25,巴斯斯巴大学Bath Spa University,86.5,3.3,334.0,64.4,79.2,免费评估
26,奇切斯特大学University of Chichester,88.9,5.0,291.0,0.0,78.5,免费评估
27,海斯罗珀学院Heythrop College of the University of London,85.4,3.3,320.0,63.0,77.8,免费评估
28,约克圣约翰大学York St John University,90.4,1.7,285.0,47.0,76.6,免费评估
29,坎特伯雷大学Canterbury Christ Church University,85.4,6.7,303.0,55.2,76.5,免费评估
30,罗汉普顿大学Roehampton University,84.9,10.0,288.0,52.5,75.8,免费评估
31,格罗斯特大学University of Gloucestershire,87.0,13.3,327.0,24.1,73.9,免费评估
32,温切斯特大学University of Winchester,83.5,3.3,332.0,44.8,73.7,免费评估
33,利兹圣三一大学Leeds Trinity University,77.9,13.3,255.0,62.2,72.6,免费评估
34,哥比亚大学University of Cumbria,,8.3,249.0,56.3,72.2,免费评估
