Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,89.7,60.0,631.0,96.2,100.0,免费评估
2,南安普顿大学University of Southampton,87.5,30.0,519.0,87.8,85.3,免费评估
3,巴斯大学University of Bath,91.0,25.0,511.0,86.4,85.0,免费评估
4,帝国理工学院Imperial College London,82.3,46.7,551.0,71.4,84.7,免费评估
5,谢菲尔德大学The University of Sheffield,80.8,45.0,438.0,85.0,82.9,免费评估
6,萨里大学University of Surrey,81.9,35.0,446.0,91.3,82.5,免费评估
7,纽卡斯尔大学Newcastle University,82.2,31.7,,92.0,81.9,免费评估
8,拉夫堡大学Loughborough University,83.7,36.7,440.0,83.2,81.6,免费评估
9,利兹大学University of Leeds,89.7,39.2,412.0,69.1,80.8,免费评估
10,布里斯托大学University of Bristol,69.0,43.3,520.0,85.7,80.1,免费评估
11,西英格兰大学University of the West of England,85.9,25.0,319.0,100.0,79.3,免费评估
12,曼彻斯特大学The University of Manchester,84.0,36.7,433.0,66.7,77.7,免费评估
13,布鲁内尔大学Brunel University,88.7,23.3,372.0,75.0,76.1,免费评估
14,诺丁汉大学University of Nottingham,73.0,41.7,394.0,73.3,74.3,免费评估
15,思克莱德大学University of Strathclyde,77.4,26.2,469.0,64.5,72.6,免费评估
16,英国女王大学Queen's University Belfast,81.8,31.7,365.0,63.3,72.3,免费评估
17,斯旺西大学Swansea University,79.7,21.7,398.0,72.0,71.8,免费评估
18,斯塔福德郡大学Staffordshire University,84.4,20.0,247.0,85.7,71.6,免费评估
19,利物浦大学The University of Liverpool,70.2,35.4,398.0,73.0,71.4,免费评估
20,格拉斯哥大学University of Glasgow,67.8,21.7,465.0,78.1,70.2,免费评估
21,伦敦大学玛丽女王学院Queen Mary University of London,82.1,21.7,375.0,58.3,68.9,免费评估
22,赫尔大学The University of Hull,87.0,13.3,299.0,,68.8,免费评估
23,考文垂大学Coventry University,91.6,7.4,283.0,66.7,68.3,免费评估
24,赫特福德大学University of Hertfordshire,73.6,26.7,316.0,74.5,68.2,免费评估
25,伦敦城市大学City University London,80.3,21.7,361.0,57.1,67.4,免费评估
26,布莱顿大学University of Brighton,74.7,26.7,316.0,,66.9,免费评估
27,阿斯顿大学Aston University,76.6,18.3,377.0,59.4,65.9,免费评估
28,索尔福德大学University of Salford,76.1,23.3,294.0,64.6,65.4,免费评估
29,布拉德福德大学University of Bradford,77.1,20.0,297.0,,65.1,免费评估
30,朴茨茅斯大学University of Portsmouth,73.8,18.3,281.0,67.2,63.2,免费评估
31,曼彻斯特城市大学Manchester Metropolitan University,81.3,11.7,333.0,41.2,60.6,免费评估
32,金斯顿大学Kingston University,74.1,11.7,281.0,57.9,59.4,免费评估
33,萨塞克斯大学University of Sussex,74.2,,329.0,60.0,58.5,免费评估
34,普利茅斯大学University of Plymouth,75.5,8.3,251.0,,58.0,免费评估
35,北安普顿大学The University of Northampton,72.8,,310.0,60.0,57.3,免费评估
36,谢菲尔德哈莱姆大学Sheffield Hallam University,62.7,15.0,273.0,,53.6,免费评估
