Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,90.4,48.3,563,79.3,100.0,免费评估
2,伦敦大学学院University College London,93.5,41.7,498,79.5,98.4,免费评估
3,杜伦大学Durham University,87.2,40.0,557,86.0,97.9,免费评估
4,埃克塞特大学University of Exeter,88.4,51.7,502,70.2,95.3,免费评估
5,圣安德鲁斯大学University of St Andrews,84.7,46.7,519,78.9,94.8,免费评估
6,牛津大学University of Oxford,87.4,48.3,542,66.7,94.6,免费评估
7,约克大学The University of York,85.8,55.0,514,68.7,94.4,免费评估
8,纽卡斯尔大学Newcastle University,86.5,40.0,454,71.7,90.6,免费评估
9,华威大学The University of Warwick,81.9,45.0,518,67.6,90.1,免费评估
10,诺丁汉大学University of Nottingham,82.3,46.7,473,71.4,90.0,免费评估
11,布里斯托大学University of Bristol,80.9,36.7,498,78.1,89.7,免费评估
12,东英吉利大学University of East Anglia,89.7,35.0,452,59.7,88.7,免费评估
13,爱丁堡大学The University of Edinburgh,78.9,50.0,494,67.7,88.5,免费评估
14,卡迪夫大学Cardiff University,82.1,43.3,449,69.5,88.0,免费评估
14,兰卡斯特大学Lancaster University,84.9,33.3,468,67.9,88.0,免费评估
16,利兹大学University of Leeds,83.0,45.0,451,65.1,87.9,免费评估
16,谢菲尔德大学The University of Sheffield,86.3,38.3,464,60.4,87.9,免费评估
18,南安普顿大学University of Southampton,86.3,38.3,452,61.8,87.8,免费评估
18,伦敦大学玛丽女王学院Queen Mary University of London,82.8,50.0,426,64.5,87.8,免费评估
20,伦敦大学皇家霍洛威学院Royal Holloway University of London,84.2,41.7,428,66.8,87.6,免费评估
21,格拉斯哥大学University of Glasgow,83.2,46.7,474,57.1,87.2,免费评估
22,莱斯特大学University of Leicester,85.1,30.0,419,70.0,86.3,免费评估
23,曼彻斯特大学The University of Manchester,79.6,45.0,475,60.5,85.6,免费评估
24,肯特大学University of Kent,82.3,41.7,409,64.3,85.2,免费评估
25,阿伯丁大学University of Aberdeen,82.0,41.7,447,58.9,85.1,免费评估
26,利物浦大学The University of Liverpool,82.2,41.7,442,57.5,84.7,免费评估
26,萨塞克斯大学University of Sussex,86.6,31.7,428,56.7,84.7,免费评估
28,伯明翰大学University of Birmingham,77.4,36.7,443,71.3,84.2,免费评估
29,拉夫堡大学Loughborough University,88.3,23.3,418,56.4,83.7,免费评估
30,英国女王大学Queen's University Belfast,84.4,45.0,395,49.4,83.1,免费评估
31,布鲁内尔大学Brunel University,91.9,25.0,360,48.7,82.3,免费评估
32,阿斯顿大学Aston University,89.7,10.0,374,60.7,81.5,免费评估
32,雷丁大学University of Reading,83.3,38.3,395,50.6,81.5,免费评估
34,德蒙福特大学De Montfort University,87.8,46.7,318,43.4,81.4,免费评估
35,龙比亚大学Napier University,87.9,10.0,371,62.5,80.7,免费评估
36,基尔大学Keele University,85.9,23.3,363,57.3,80.6,免费评估
37,埃塞克斯大学University of Essex,89.6,25.0,400,40.6,80.5,免费评估
38,斯旺西大学Swansea University,77.8,26.7,353,74.9,80.3,免费评估
39,白金汉大学The University of Buckingham,92.3,,310,65.6,80.0,免费评估
39,考文垂大学Coventry University,90.6,6.7,291,67.1,80.0,免费评估
41,切斯特大学University of Chester,89.9,10.0,316,55.8,78.5,免费评估
41,伦敦大学金史密斯学院Goldsmiths University of London,81.8,31.7,394,47.1,78.5,免费评估
43,哈德斯菲尔德大学University of Huddersfield,84.2,10.0,353,64.1,78.3,免费评估
43,邓迪大学University of Dundee,86.1,21.7,382,45.3,78.3,免费评估
45,思克莱德大学University of Strathclyde,82.8,25.0,463,38.0,78.0,免费评估
46,纽曼大学Newman University,85.4,,306,74.3,77.9,免费评估
47,巴斯斯巴大学Bath Spa University,87.9,13.3,359,48.9,77.8,免费评估
48,萨里大学University of Surrey,83.2,,437,59.1,77.5,免费评估
48,西英格兰大学University of the West of England,86.2,13.3,339,54.8,77.5,免费评估
50,哥比亚大学University of Cumbria,96.7,3.3,226,52.8,77.4,免费评估
51,桑德兰大学University of Sunderland,92.5,20.0,283,41.0,77.3,免费评估
52,赫尔大学The University of Hull,81.8,25.0,350,53.0,77.1,免费评估
52,普利茅斯大学University of Plymouth,86.4,16.7,328,51.7,77.1,免费评估
