Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,88.7,33.3,651.0,86.1,100.0,免费评估
2,诺丁汉大学University of Nottingham,83.4,50.0,470.0,96.7,96.4,免费评估
3,英国女王大学Queen's University Belfast,95.6,28.3,433.0,99.2,94.4,免费评估
4,阿斯顿大学Aston University,91.8,26.7,459.0,100.0,93.3,免费评估
5,巴斯大学University of Bath,88.1,33.3,450.0,100.0,93.2,免费评估
6,卡迪夫大学Cardiff University,90.2,28.3,454.0,97.9,92.4,免费评估
7,曼彻斯特大学The University of Manchester,81.2,43.3,463.0,93.8,92.3,免费评估
8,邓迪大学University of Dundee,86.9,38.3,403.0,0.0,91.8,免费评估
9,东英吉利大学University of East Anglia,88.6,28.3,442.0,100.0,91.5,免费评估
10,纽卡斯尔大学Newcastle University,90.3,33.3,,76.5,89.2,免费评估
11,布里斯托大学University of Bristol,82.9,28.3,468.0,95.2,89.0,免费评估
12,利兹大学University of Leeds,91.6,30.0,409.0,77.8,87.9,免费评估
13,伦敦国王学院King's College London,81.5,28.3,436.0,93.9,86.6,免费评估
14,格拉斯哥大学University of Glasgow,80.0,28.3,486.0,85.0,86.4,免费评估
15,朴茨茅斯大学University of Portsmouth,88.1,28.3,353.0,89.8,85.3,免费评估
15,思克莱德大学University of Strathclyde,72.8,28.3,507.0,93.0,85.3,免费评估
17,雷丁大学University of Reading,84.7,21.7,378.0,100.0,84.6,免费评估
18,布拉德福德大学University of Bradford,82.2,28.3,376.0,95.8,84.5,免费评估
19,伦敦大学学院University College London,69.9,36.1,450.0,93.5,83.8,免费评估
20,布莱顿大学University of Brighton,85.7,18.3,379.0,97.9,83.7,免费评估
21,利物浦大学The University of Liverpool,80.6,30.2,435.0,77.3,83.6,免费评估
22,哈德斯菲尔德大学University of Huddersfield,89.9,8.3,376.0,97.7,82.5,免费评估
23,赫特福德大学University of Hertfordshire,87.2,15.0,346.0,97.2,81.7,免费评估
23,基尔大学Keele University,89.4,5.0,388.0,97.9,81.7,免费评估
25,罗伯特高登大学The Robert Gordon University,83.9,,450.0,98.2,80.3,免费评估
25,中央兰开夏大学University of Central Lancashire,88.6,,392.0,100.0,80.3,免费评估
27,肯特大学University of Kent,76.0,15.5,364.0,100.0,77.7,免费评估
28,德蒙福特大学De Montfort University,80.6,18.3,345.0,87.3,77.6,免费评估
29,桑德兰大学University of Sunderland,74.6,6.7,376.0,100.0,74.8,免费评估
30,利物浦约翰摩尔斯大学Liverpool John Moores University,70.8,11.7,397.0,96.4,74.7,免费评估
31,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,74.7,13.3,391.0,0.0,72.6,免费评估
32,格林威治大学The University of Greenwich,81.1,11.7,305.0,67.6,70.3,免费评估
33,金斯顿大学Kingston University,66.3,11.7,302.0,78.6,64.9,免费评估
34,东伦敦大学University of East London,85.0,,254.0,30.8,59.4,免费评估
35,伦敦都市大学London Metropolitan University,79.5,,250.0,20.0,54.5,免费评估
