Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,萨里大学University of Surrey,91.5,23.3,367,46.7,100.0,免费评估
2,斯特林大学University of Stirling,81.1,20.9,395,53.4,96.4,免费评估
3,埃克塞特大学University of Exeter,83.6,,455,82.3,92.9,免费评估
4,谢菲尔德哈莱姆大学Sheffield Hallam University,85.1,18.3,314,57.6,91.9,免费评估
5,中央兰开夏大学University of Central Lancashire,80.8,21.7,289,45.2,87.6,免费评估
6,曼彻斯特城市大学Manchester Metropolitan University,75.8,15.0,307,58.2,84.4,免费评估
7,切斯特大学University of Chester,86.2,11.7,269,54.3,83.7,免费评估
7,赫特福德大学University of Hertfordshire,81.0,15.0,317,40.8,83.7,免费评估
9,伯恩茅斯大学Bournemouth University,74.5,13.3,325,51.5,82.2,免费评估
10,伯明翰大学University of Birmingham,75.2,,357,83.3,82.1,免费评估
11,布莱顿大学University of Brighton,83.8,18.3,264,31.6,81.8,免费评估
12,普利茅斯大学University of Plymouth,80.4,14.1,284,39.2,80.0,免费评估
13,桑德兰大学University of Sunderland,92.2,13.3,251,24.7,79.9,免费评估
14,牛津布鲁克斯大学Oxford Brookes University,80.1,,321,71.9,79.5,免费评估
15,卡迪夫都市大学Cardiff Metropolitan University,80.3,11.7,300,37.1,78.8,免费评估
16,罗伯特高登大学The Robert Gordon University,83.6,,327,59.1,78.7,免费评估
17,曼彻斯特大学The University of Manchester,81.8,,360,52.9,78.6,免费评估
18,林肯大学University of Lincoln,80.4,,295,67.7,76.9,免费评估
19,伦敦艺术大学University of the Arts London,73.3,,359,62.5,76.5,免费评估
20,索尔福德大学University of Salford,73.7,13.3,299,36.0,76.4,免费评估
21,考文垂大学Coventry University,86.6,,276,52.9,75.3,免费评估
22,龙比亚大学Napier University,79.6,,339,45.9,74.5,免费评估
23,伯恩茅斯艺术大学Arts University Bournemouth,71.1,,300,75.0,74.2,免费评估
23,北安普顿大学The University of Northampton,85.5,,281,48.9,74.2,免费评估
25,利物浦约翰摩尔斯大学Liverpool John Moores University,85.5,,318,31.4,72.7,免费评估
26,奇切斯特大学University of Chichester,84.9,,249,52.2,72.4,免费评估
26,利兹都会大学Leeds Metropolitan University,77.5,,280,58.8,72.4,免费评估
28,德比大学University of Derby,82.4,,270,44.1,70.8,免费评估
28,西英格兰大学University of the West of England,72.9,6.7,301,0.0,70.8,免费评估
30,哈德斯菲尔德大学University of Huddersfield,77.6,,277,52.2,70.6,免费评估
31,威斯敏斯特大学University of Westminster,82.4,,283,35.9,69.8,免费评估
32,格罗斯特大学University of Gloucestershire,74.2,,293,50.0,69.5,免费评估
33,南安普顿索伦特大学Southampton Solent University,73.7,,270,52.1,68.2,免费评估
34,阿尔斯特大学University of Ulster,87.3,,246,28.8,68.1,免费评估
35,西伦敦大学University of West London,84.4,,219,42.2,67.9,免费评估
36,格林威治大学The University of Greenwich,73.5,,283,41.0,66.4,免费评估
36,玛格丽特女王大学Queen Margaret University,77.0,,270,36.9,66.4,免费评估
38,新白金汉大学Buckinghamshire New University,76.8,,235,42.9,65.2,免费评估
39,伦敦南岸大学London South Bank University,79.7,,221,40.0,65.0,免费评估
40,朴茨茅斯大学University of Portsmouth,72.6,,245,47.4,64.8,免费评估
41,温切斯特大学University of Winchester,75.9,,297,23.9,64.7,免费评估
42,坎特伯雷大学Canterbury Christ Church University,77.0,,241,38.2,64.6,免费评估
42,贝德福德大学University of Bedfordshire,72.7,10.0,185,31.8,64.6,免费评估
44,西苏格兰大学University of the West of Scotland,77.3,,258,31.0,64.3,免费评估
45,赫尔大学The University of Hull,82.0,,278,8.3,62.9,免费评估
46,斯塔福德郡大学Staffordshire University,69.0,,208,41.7,59.1,免费评估
47,米德塞斯大学Middlesex University,67.6,,231,37.6,59.0,免费评估
48,"St Mary's University College, Twickenham",64.1,,261,33.7,58.4,免费评估
49,伦敦都市大学London Metropolitan University,56.5,,231,40.3,54.0,免费评估
