Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,纽卡斯尔大学Newcastle University,82.3,18.3,358.0,81.6,100.0,免费评估
2,雷丁大学University of Reading,85.6,21.7,372.0,64.6,99.8,免费评估
3,英国女王大学Queen's University Belfast,83.5,13.3,368.0,67.1,95.9,免费评估
4,格拉斯哥大学University of Glasgow,,21.7,353.0,,95.8,免费评估
5,哈珀亚当斯大学Harper Adams University,85.6,8.3,339.0,72.7,94.6,免费评估
6,牛津布鲁克斯大学Oxford Brookes University,,,438.0,54.5,93.4,免费评估
7,诺丁汉大学University of Nottingham,78.1,30.0,371.0,43.8,93.3,免费评估
8,肯特大学University of Kent,82.0,,414.0,53.8,89.8,免费评估
9,西英格兰大学University of the West of England,,18.3,,48.1,89.6,免费评估
10,格林威治大学The University of Greenwich,,13.3,365.0,41.9,86.3,免费评估
11,亚伯大学Aberystwyth University,74.9,21.7,321.0,46.2,85.5,免费评估
12,班戈大学Bangor University,79.9,18.3,277.0,50.7,85.2,免费评估
13,普利茅斯大学University of Plymouth,86.9,3.3,,33.3,82.5,免费评估
14,中央兰开夏大学University of Central Lancashire,,,366.0,43.7,81.8,免费评估
15,University of Lincoln,67.2,6.7,,64.5,79.5,免费评估
16,皇家农学院Royal Agricultural University,71.6,5.0,313.0,56.9,79.4,免费评估
17,诺丁汉特伦特大学Nottingham Trent University,76.2,,284.0,58.7,78.6,免费评估
18,高地与群岛大学University of the Highlands and Islands,,1.7,,50.0,78.0,免费评估
19,哥比亚大学University of Cumbria,79.7,0.0,264.0,30.4,72.1,免费评估
