Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.4,53.3,665,86.6,100.0,免费评估
2,杜伦大学Durham University,90.0,35.0,572,83.9,93.7,免费评估
3,牛津大学University of Oxford,82.5,45.0,618,82.6,93.1,免费评估
4,华威大学The University of Warwick,91.9,35.0,456,83.6,91.2,免费评估
5,圣安德鲁斯大学University of St Andrews,86.2,43.3,503,81.8,91.1,免费评估
6,爱丁堡大学The University of Edinburgh,83.3,43.3,508,84.4,90.4,免费评估
7,约克大学The University of York,90.0,35.0,479,81.7,90.3,免费评估
8,帝国理工学院Imperial College London,81.2,38.3,550,85.8,89.9,免费评估
9,布拉德福德大学University of Bradford,88.0,41.7,476,77.3,89.5,免费评估
10,诺丁汉大学University of Nottingham,85.9,48.3,454,76.9,89.2,免费评估
11,谢菲尔德大学The University of Sheffield,88.9,33.3,432,79.0,87.3,免费评估
12,曼彻斯特大学The University of Manchester,86.5,35.0,429,80.7,86.9,免费评估
13,埃塞克斯大学University of Essex,88.9,23.3,403,86.6,86.3,免费评估
14,思克莱德大学University of Strathclyde,87.4,30.0,450,78.2,86.1,免费评估
15,巴斯大学University of Bath,84.8,23.3,451,87.4,85.8,免费评估
16,伯明翰大学University of Birmingham,88.4,26.7,425,80.1,85.6,免费评估
17,南安普顿大学University of Southampton,87.0,26.7,441,80.5,85.5,免费评估
18,英国女王大学Queen's University Belfast,90.8,18.3,411,81.7,85.0,免费评估
19,布拉德福德大学University of Bradford,88.3,28.3,292,88.7,84.5,免费评估
20,萨里大学University of Surrey,81.7,33.3,425,82.3,84.4,免费评估
21,利兹大学University of Leeds,82.1,36.7,436,77.3,84.2,免费评估
22,赫瑞瓦特大学Heriot Watt University,90.7,23.3,434,72.1,84.1,免费评估
23,Cardiff University,83.8,26.7,388,85.8,83.8,免费评估
24,利物浦大学The University of Liverpool,81.8,36.7,401,78.7,83.5,免费评估
25,拉夫堡大学Loughborough University,91.5,8.3,364,86.8,83.1,免费评估
26,格拉斯哥大学University of Glasgow,79.7,30.0,490,76.2,82.8,免费评估
27,伦敦大学学院University College London,80.7,31.7,510,69.2,82.3,免费评估
28,东英吉利大学University of East Anglia,89.4,21.7,422,69.5,82.0,免费评估
29,诺丁汉特伦特大学Nottingham Trent University,88.0,28.3,301,73.7,80.4,免费评估
30,阿伯丁大学University of Aberdeen,76.7,16.7,459,86.8,80.3,免费评估
31,基尔大学Keele University,87.8,23.3,355,71.0,80.0,免费评估
32,德蒙福特大学De Montfort University,84.9,18.3,306,82.1,79.1,免费评估
33,纽卡斯尔大学Newcastle University,79.8,18.3,405,75.9,77.6,免费评估
34,中央兰开夏大学University of Central Lancashire,96.3,13.3,324,57.1,77.3,免费评估
35,莱斯特大学University of Leicester,84.3,16.7,375,69.2,76.8,免费评估
35,赫尔大学The University of Hull,83.6,20.0,333,72.4,76.8,免费评估
37,班戈大学Bangor University,80.1,21.7,309,79.0,76.6,免费评估
38,雷丁大学University of Reading,88.4,8.3,351,69.0,76.2,免费评估
39,阿斯顿大学Aston University,81.1,18.3,357,65.8,74.1,免费评估
40,布莱顿大学University of Brighton,79.9,18.3,319,68.7,73.1,免费评估
41,普利茅斯大学University of Plymouth,86.9,14.7,314,55.3,72.0,免费评估
42,伦敦大学玛丽女王学院Queen Mary University of London,80.3,21.0,381,51.8,71.0,免费评估
43,哈德斯菲尔德大学University of Huddersfield,84.5,8.3,280,64.1,70.8,免费评估
44,诺桑比亚大学Northumbria University,80.1,13.3,332,57.0,69.2,免费评估
45,蒂赛德大学Teesside University,77.5,,350,70.0,69.0,免费评估
46,Manchester Metropolitan University,78.0,10.0,315,63.5,68.7,免费评估
47,利物浦约翰摩尔斯大学Liverpool John Moores University,76.2,,317,74.4,68.6,免费评估
48,谢菲尔德哈莱姆大学Sheffield Hallam University,76.0,8.3,305,68.2,68.3,免费评估
49,肯特大学University of Kent,76.4,,309,71.3,67.6,免费评估
50,南威尔士大学The University of South Wales,77.5,,321,64.1,66.5,免费评估
51,伦敦艺术大学University of the Arts London,,,290,64.3,66.0,免费评估
52,格林威治大学The University of Greenwich,78.0,,325,58.3,65.3,免费评估
53,金斯顿大学Kingston University,72.4,,263,71.0,64.2,免费评估
