Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,91.0,48.3,641,93.3,100.0,免费评估
2,帝国理工学院Imperial College London,89.4,48.3,627,86.9,97.2,免费评估
3,巴斯大学University of Bath,94.1,25.0,469,90.2,88.6,免费评估
4,伯明翰大学University of Birmingham,88.7,35.0,488,86.2,88.4,免费评估
5,诺丁汉大学University of Nottingham,83.5,41.7,442,88.2,86.6,免费评估
6,利兹大学University of Leeds,87.4,40.0,423,84.7,86.5,免费评估
7,赫瑞瓦特大学Heriot Watt University,89.1,31.1,426,86.8,85.5,免费评估
8,曼彻斯特大学The University of Manchester,76.0,45.0,490,86.0,85.1,免费评估
9,爱丁堡大学The University of Edinburgh,81.0,28.3,507,90.2,84.6,免费评估
10,萨里大学University of Surrey,85.1,35.0,435,82.8,84.0,免费评估
11,拉夫堡大学Loughborough University,81.8,36.7,464,82.6,83.9,免费评估
12,谢菲尔德大学The University of Sheffield,87.5,28.3,445,82.0,83.5,免费评估
13,纽卡斯尔大学Newcastle University,82.8,26.7,448,90.4,83.0,免费评估
14,斯旺西大学Swansea University,84.0,36.7,330,87.8,81.5,免费评估
15,思克莱德大学University of Strathclyde,79.7,16.7,500,88.0,80.0,免费评估
16,英国女王大学Queen's University Belfast,87.0,18.3,415,82.5,79.7,免费评估
17,伦敦大学学院University College London,75.1,35.0,507,70.5,78.9,免费评估
18,阿伯丁大学University of Aberdeen,69.9,31.7,437,92.1,78.2,免费评估
19,阿斯顿大学Aston University,78.3,18.3,366,61.5,69.0,免费评估
20,西苏格兰大学University of the West of Scotland,80.6,16.7,350,58.3,68.4,免费评估
21,蒂赛德大学Teesside University,79.6,8.3,364,52.9,64.9,免费评估
22,伦敦南岸大学London South Bank University,73.3,23.3,285,56.3,64.0,免费评估
