Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,牛津大学University of Oxford,95.4,47.6,607.0,89.1,100.0,免费评估
2,剑桥大学University of Cambridge,79.2,51.9,650.0,94.3,98.6,免费评估
3,帝国理工学院Imperial College London,83.4,40.5,584.0,99.1,91.4,免费评估
4,伦敦大学学院University College London,79.6,42.7,587.0,99.8,90.9,免费评估
5,伦敦大学玛丽女王学院Queen Mary University of London,87.9,37.1,548.0,99.4,89.2,免费评估
6,阿伯丁大学University of Aberdeen,88.4,36.2,547.0,100.0,89.0,免费评估
7,爱丁堡大学The University of Edinburgh,73.3,44.3,577.0,99.5,88.2,免费评估
8,圣安德鲁斯大学University of St Andrews,90.4,23.3,554.0,98.2,86.6,免费评估
9,纽卡斯尔大学Newcastle University,87.6,27.9,535.0,100.0,85.4,免费评估
10,利兹大学University of Leeds,87.1,27.5,530.0,100.0,84.7,免费评估
10,邓迪大学University of Dundee,87.2,24.1,542.0,98.8,84.7,免费评估
12,格拉斯哥大学University of Glasgow,79.4,28.1,560.0,100.0,84.4,免费评估
13,伯明翰大学University of Birmingham,79.5,29.3,554.0,99.9,84.2,免费评估
14,普利茅斯大学University of Plymouth,91.7,22.8,515.0,99.7,83.8,免费评估
14,曼彻斯特大学The University of Manchester,81.7,33.4,524.0,99.6,83.8,免费评估
14,基尔大学Keele University,94.0,14.8,534.0,100.0,83.8,免费评估
14,埃克塞特大学University of Exeter,91.7,22.8,515.0,99.7,83.8,免费评估
18,Hull-York Medical School,81.7,32.3,510.0,99.0,82.4,免费评估
19,南安普顿大学University of Southampton,85.2,28.9,500.0,100.0,81.9,免费评估
19,布拉德福德大学University of Bradford,81.7,29.2,515.0,100.0,81.9,免费评估
21,Cardiff University,82.5,22.7,531.0,99.8,81.5,免费评估
22,东英吉利大学University of East Anglia,83.2,18.3,542.0,98.6,81.4,免费评估
23,布莱顿苏塞克斯医学院Brighton Sussex Medical School,93.2,15.0,492.0,99.6,80.2,免费评估
24,英国女王大学Queen's University Belfast,81.3,21.6,516.0,99.2,79.5,免费评估
25,谢菲尔德大学The University of Sheffield,75.9,23.2,526.0,100.0,78.8,免费评估
26,莱斯特大学University of Leicester,75.3,20.1,528.0,99.8,77.8,免费评估
27,华威大学The University of Warwick,75.9,21.9,,100.0,77.4,免费评估
28,诺丁汉大学University of Nottingham,74.6,15.2,542.0,99.5,77.3,免费评估
29,"圣乔治医学院St George's, University of London",74.8,18.7,512.0,100.0,75.9,免费评估
30,伦敦国王学院King's College London,63.2,29.6,526.0,99.4,75.8,免费评估
31,利物浦大学The University of Liverpool,69.4,26.7,487.0,99.8,74.1,免费评估
