Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,89.1,48.3,579.0,79.9,100.0,免费评估
2,杜伦大学Durham University,93.1,33.3,553.0,81.8,98.7,免费评估
3,圣安德鲁斯大学University of St Andrews,89.4,33.3,533.0,74.6,94.2,免费评估
4,牛津大学University of Oxford,82.6,46.7,552.0,75.5,94.0,免费评估
5,华威大学The University of Warwick,85.3,45.0,487.0,76.8,93.4,免费评估
5,埃克塞特大学University of Exeter,90.9,33.3,471.0,76.1,93.4,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,83.3,45.0,507.0,75.3,92.5,免费评估
8,约克大学The University of York,87.1,35.0,495.0,72.0,91.5,免费评估
9,谢菲尔德大学The University of Sheffield,86.2,45.0,468.0,65.4,90.9,免费评估
10,南安普顿大学University of Southampton,86.7,43.3,438.0,68.4,90.5,免费评估
11,伦敦大学学院University College London,78.7,48.3,515.0,72.2,90.1,免费评估
11,伦敦国王学院King's College London,85.3,36.7,487.0,70.3,90.1,免费评估
13,肯特大学University of Kent,86.6,46.7,396.0,65.4,89.1,免费评估
13,格拉斯哥大学University of Glasgow,86.6,36.7,497.0,60.4,89.1,免费评估
15,利兹大学University of Leeds,88.3,31.7,472.0,63.5,88.9,免费评估
16,伦敦大学玛丽女王学院Queen Mary University of London,86.0,40.0,441.0,65.5,88.8,免费评估
17,东英吉利大学University of East Anglia,90.2,33.3,436.0,59.4,88.3,免费评估
18,兰卡斯特大学Lancaster University,86.2,28.3,450.0,71.0,87.7,免费评估
19,伯明翰大学University of Birmingham,84.2,33.3,424.0,74.2,87.5,免费评估
20,伦敦大学皇家霍洛威学院Royal Holloway University of London,87.4,33.3,433.0,61.0,86.9,免费评估
21,曼彻斯特大学The University of Manchester,84.1,37.1,428.0,63.8,86.2,免费评估
21,埃塞克斯大学University of Essex,86.2,38.3,409.0,59.4,86.2,免费评估
23,纽卡斯尔大学Newcastle University,85.4,23.3,445.0,70.8,85.9,免费评估
23,利物浦大学The University of Liverpool,83.7,46.7,413.0,55.7,85.9,免费评估
25,埃塞克斯大学University of Essex,86.7,46.7,377.0,49.0,85.1,免费评估
26,阿伯丁大学University of Aberdeen,83.7,40.0,432.0,54.9,84.8,免费评估
27,英国女王大学Queen's University Belfast,91.3,30.0,366.0,53.2,84.7,免费评估
28,伦敦大学亚非学院SOAS University of London,82.3,40.0,389.0,63.7,84.5,免费评估
28,基尔大学Keele University,87.1,31.7,384.0,60.0,84.5,免费评估
30,牛津布鲁克斯大学Oxford Brookes University,88.1,38.3,355.0,53.2,84.2,免费评估
31,诺丁汉大学University of Nottingham,81.7,26.7,448.0,67.0,83.8,免费评估
31,莱斯特大学University of Leicester,85.7,30.0,388.0,61.7,83.8,免费评估
33,爱丁堡大学The University of Edinburgh,77.3,36.7,504.0,58.9,83.4,免费评估
34,布拉德福德大学University of Bradford,75.3,28.3,474.0,77.1,83.3,免费评估
35,Cardiff University,85.7,21.7,429.0,59.6,82.9,免费评估
36,斯旺西大学Swansea University,86.8,26.7,338.0,63.7,82.5,免费评估
37,哈德斯菲尔德大学University of Huddersfield,88.4,18.3,344.0,62.4,81.5,免费评估
38,雷丁大学University of Reading,86.3,23.3,366.0,58.0,81.2,免费评估
39,切斯特大学University of Chester,86.2,25.0,311.0,60.7,80.3,免费评估
40,思克莱德大学University of Strathclyde,83.4,16.7,454.0,52.6,79.7,免费评估
41,拉夫堡大学Loughborough University,86.2,,381.0,71.8,79.4,免费评估
42,班戈大学Bangor University,88.5,26.7,298.0,50.1,79.3,免费评估
43,蒂赛德大学Teesside University,90.0,23.3,296.0,48.6,79.2,免费评估
44,赫尔大学The University of Hull,81.9,31.7,354.0,52.1,78.8,免费评估
45,University of Lincoln,87.6,13.3,335.0,57.8,78.7,免费评估
46,朴茨茅斯大学University of Portsmouth,84.0,25.0,312.0,58.0,78.5,免费评估
47,温切斯特大学University of Winchester,85.3,28.3,315.0,48.1,78.0,免费评估
48,布鲁内尔大学Brunel University,94.7,,352.0,44.5,77.7,免费评估
49,西英格兰大学University of the West of England,88.7,16.7,335.0,44.0,77.2,免费评估
50,赫特福德大学University of Hertfordshire,73.4,40.0,344.0,59.1,76.7,免费评估
