Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,牛津大学University of Oxford,85.8,45.0,594,77.6,100.0,免费评估
2,剑桥大学University of Cambridge,80.8,42.7,588,83.3,97.6,免费评估
3,伦敦国王学院King's College London,90.3,48.3,455,72.9,97.2,免费评估
4,圣安德鲁斯大学University of St Andrews,85.5,51.7,505,68.3,95.9,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,80.8,45.0,512,76.6,93.7,免费评估
6,埃克塞特大学University of Exeter,88.4,31.7,445,75.8,92.8,免费评估
7,布拉德福德大学University of Bradford,82.9,41.7,480,70.7,91.8,免费评估
8,伦敦大学学院University College London,71.1,55.0,526,74.3,90.1,免费评估
9,杜伦大学Durham University,81.4,28.3,532,69.9,89.8,免费评估
10,谢菲尔德大学The University of Sheffield,82.9,46.7,439,60.4,89.0,免费评估
11,埃塞克斯大学University of Essex,87.7,38.3,366,65.1,88.5,免费评估
12,南安普顿大学University of Southampton,90.6,16.7,406,69.9,88.2,免费评估
13,约克大学The University of York,83.6,28.3,464,67.7,88.1,免费评估
14,纽卡斯尔大学Newcastle University,87.6,26.7,402,67.4,87.8,免费评估
15,诺丁汉大学University of Nottingham,81.6,36.7,412,68.2,86.9,免费评估
16,伯明翰大学University of Birmingham,84.3,18.3,404,76.0,86.1,免费评估
17,爱丁堡大学The University of Edinburgh,75.3,35.0,488,69.1,85.8,免费评估
18,华威大学The University of Warwick,78.3,28.3,509,63.6,85.7,免费评估
19,西英格兰大学University of the West of England,97.5,5.0,334,61.9,85.3,免费评估
20,利兹大学University of Leeds,82.4,35.0,413,58.2,84.7,免费评估
21,埃塞克斯大学University of Essex,84.4,26.7,426,57.9,84.6,免费评估
22,肯特大学University of Kent,86.8,18.3,381,65.7,84.4,免费评估
23,东英吉利大学University of East Anglia,85.6,15.0,423,64.4,84.2,免费评估
24,兰卡斯特大学Lancaster University,81.9,20.0,413,70.4,84.1,免费评估
25,格拉斯哥大学University of Glasgow,87.8,21.7,460,45.4,84.0,免费评估
26,雷丁大学University of Reading,81.9,45.0,372,50.7,83.4,免费评估
27,斯特林大学University of Stirling,84.0,40.0,375,44.8,82.4,免费评估
28,曼彻斯特大学The University of Manchester,80.2,21.7,428,62.5,82.2,免费评估
29,Cardiff University,80.4,13.3,405,69.8,81.4,免费评估
30,英国女王大学Queen's University Belfast,88.2,25.0,376,41.6,81.0,免费评估
31,基尔大学Keele University,82.7,16.7,369,64.3,80.8,免费评估
32,邓迪大学University of Dundee,90.5,21.7,382,32.6,79.8,免费评估
33,阿伯丁大学University of Aberdeen,84.2,8.3,439,45.8,78.4,免费评估
34,牛津布鲁克斯大学Oxford Brookes University,90.5,0.0,326,49.3,77.0,免费评估
35,赫特福德大学University of Hertfordshire,84.4,11.7,347,48.1,76.3,免费评估
36,赫尔大学The University of Hull,82.7,15.0,310,51.2,75.3,免费评估
37,布莱顿大学University of Brighton,78.9,45.0,256,37.2,74.2,免费评估
38,中央兰开夏大学University of Central Lancashire,86.5,,309,46.0,73.2,免费评估
39,伦敦大学皇家霍洛威学院Royal Holloway University of London,73.6,,393,63.4,72.6,免费评估
40,利物浦大学The University of Liverpool,73.0,8.3,395,50.5,71.2,免费评估
41,Manchester Metropolitan University,78.8,16.7,310,36.2,70.0,免费评估
42,斯塔福德郡大学Staffordshire University,79.0,6.7,258,53.3,69.9,免费评估
43,剑桥安鲁大学Anglia Ruskin University,91.3,,214,33.8,69.8,免费评估
44,罗汉普顿大学Roehampton University,86.4,,268,34.8,69.1,免费评估
45,"特威克南圣玛丽大学St Mary's, Twickenham",78.9,,289,48.1,68.4,免费评估
46,巴斯斯巴大学Bath Spa University,82.2,,308,34.7,68.1,免费评估
47,海斯罗珀学院Heythrop College of the University of London,73.6,1.7,356,42.9,66.9,免费评估
