Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,埃克塞特大学University of Exeter,88.5,30.0,410.0,98.9,100.0,免费评估
2,利兹大学University of Leeds,86.8,36.7,389.0,95.7,98.2,免费评估
3,罗伯特高登大学The Robert Gordon University,93.8,10.0,393.0,97.8,97.4,免费评估
4,朴茨茅斯大学University of Portsmouth,90.5,28.3,362.0,95.9,96.9,免费评估
5,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,83.9,30.0,409.0,93.1,96.0,免费评估
6,谢菲尔德哈莱姆大学Sheffield Hallam University,90.5,8.3,367.0,97.3,94.1,免费评估
7,利物浦大学The University of Liverpool,83.3,20.0,357.0,98.7,93.1,免费评估
8,西英格兰大学University of the West of England,81.6,31.7,343.0,95.9,92.7,免费评估
9,蒂赛德大学Teesside University,91.5,6.7,354.0,89.4,90.7,免费评估
10,伦敦城市大学City University London,88.0,18.3,349.0,87.6,90.4,免费评估
10,Cardiff University,75.8,31.7,341.0,96.6,90.4,免费评估
12,班戈大学Bangor University,76.4,,403.0,100.0,89.7,免费评估
13,哥比亚大学University of Cumbria,87.0,0.0,351.0,93.0,88.8,免费评估
14,阿尔斯特大学University of Ulster,86.5,27.2,375.0,74.5,88.1,免费评估
15,布拉德福德大学University of Bradford,80.0,16.7,332.0,91.2,87.1,免费评估
16,玛格丽特女王大学Queen Margaret University,82.5,1.7,349.0,92.7,87.0,免费评估
17,德比大学University of Derby,82.7,,353.0,91.3,86.5,免费评估
18,索尔福德大学University of Salford,81.8,15.0,,87.2,86.2,免费评估
19,赫特福德大学University of Hertfordshire,83.3,,339.0,89.8,85.5,免费评估
20,"Kingston/St George's, University of London",87.9,11.7,280.0,87.5,85.4,免费评估
21,伯明翰城市大学Birmingham City University,79.0,,344.0,92.6,84.9,免费评估
22,伦敦南岸大学London South Bank University,79.5,15.0,323.0,85.9,84.2,免费评估
23,坎特伯雷大学Canterbury Christ Church University,84.5,1.7,260.0,90.2,82.1,免费评估
