Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,牛津大学University of Oxford,85.7,43.3,582.0,79.7,100.0,免费评估
2,剑桥大学University of Cambridge,85.6,30.0,546.0,81.7,95.9,免费评估
3,伦敦大学学院University College London,84.1,35.0,551.0,78.2,95.6,免费评估
4,谢菲尔德大学The University of Sheffield,82.9,55.0,448.0,73.2,95.0,免费评估
5,埃克塞特大学University of Exeter,87.5,31.7,462.0,82.2,94.5,免费评估
6,杜伦大学Durham University,84.6,26.7,518.0,84.6,94.2,免费评估
7,华威大学The University of Warwick,85.0,33.3,504.0,78.0,94.0,免费评估
8,圣安德鲁斯大学University of St Andrews,86.4,21.7,542.0,76.3,92.7,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,74.9,40.0,545.0,79.3,91.6,免费评估
10,巴斯大学University of Bath,84.4,21.7,463.0,83.4,90.6,免费评估
11,埃塞克斯大学University of Essex,84.8,55.0,349.0,63.5,90.3,免费评估
12,约克大学The University of York,82.0,25.0,453.0,78.9,88.6,免费评估
13,伦敦大学亚非学院SOAS University of London,81.5,30.0,492.0,67.8,88.2,免费评估
14,纽卡斯尔大学Newcastle University,86.9,23.3,411.0,71.1,87.6,免费评估
15,诺丁汉大学University of Nottingham,80.4,26.7,425.0,75.4,86.3,免费评估
16,格拉斯哥大学University of Glasgow,83.3,25.0,486.0,61.1,86.2,免费评估
17,布拉德福德大学University of Bradford,78.0,20.0,461.0,78.5,85.2,免费评估
18,伯明翰大学University of Birmingham,79.2,18.3,410.0,83.8,85.0,免费评估
19,拉夫堡大学Loughborough University,84.3,20.0,369.0,74.9,84.8,免费评估
20,兰卡斯特大学Lancaster University,85.1,10.0,424.0,74.4,84.5,免费评估
21,Cardiff University,78.8,25.0,392.0,77.4,84.2,免费评估
22,肯特大学University of Kent,87.0,11.7,360.0,75.8,84.1,免费评估
23,曼彻斯特大学The University of Manchester,77.4,30.0,420.0,67.2,83.2,免费评估
24,伦敦大学玛丽女王学院Queen Mary University of London,81.9,18.3,418.0,67.4,82.9,免费评估
25,雷丁大学University of Reading,85.9,18.3,347.0,67.7,82.8,免费评估
26,布鲁内尔大学Brunel University,90.6,11.7,358.0,61.1,82.6,免费评估
27,埃塞克斯大学University of Essex,82.1,29.1,396.0,56.7,82.3,免费评估
27,萨里大学University of Surrey,89.1,13.3,386.0,57.9,82.3,免费评估
27,基尔大学Keele University,89.5,16.7,366.0,56.4,82.3,免费评估
30,哈德斯菲尔德大学University of Huddersfield,90.5,0.0,325.0,74.8,81.8,免费评估
