Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,84.8,58.3,665.0,86.6,100.0,免费评估
2,帝国理工学院Imperial College London,86.1,31.7,542.0,88.5,90.2,免费评估
3,牛津大学University of Oxford,81.3,43.3,608.0,75.0,89.9,免费评估
4,拉夫堡大学Loughborough University,89.0,36.7,376.0,89.8,87.7,免费评估
5,斯旺西大学Swansea University,89.6,30.0,316.0,100.0,86.6,免费评估
6,谢菲尔德大学The University of Sheffield,82.0,31.7,418.0,80.6,82.2,免费评估
7,伦敦大学玛丽女王学院Queen Mary University of London,88.6,28.3,381.0,69.6,81.1,免费评估
8,埃克塞特大学University of Exeter,76.6,15.0,416.0,91.2,77.5,免费评估
9,曼彻斯特大学The University of Manchester,74.0,40.0,416.0,64.3,76.5,免费评估
10,伯明翰大学University of Birmingham,67.9,35.0,407.0,84.8,76.3,免费评估
11,利兹大学University of Leeds,72.7,40.0,,66.2,75.5,免费评估
12,德蒙福特大学De Montfort University,86.2,13.3,331.0,67.3,74.0,免费评估
13,Manchester Metropolitan University,75.7,10.0,,83.3,72.7,免费评估
14,谢菲尔德哈莱姆大学Sheffield Hallam University,77.1,15.0,278.0,,66.3,免费评估
15,哈德斯菲尔德大学University of Huddersfield,72.1,,365.0,47.3,60.0,免费评估
16,白金汉大学The University of Buckingham,69.8,,317.0,42.4,56.1,免费评估
17,伦敦都市大学London Metropolitan University,70.2,0.0,,47.2,54.9,免费评估
