Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,91.2,36.7,587,87.4,100.0,免费评估
2,牛津大学University of Oxford,86.5,46.7,586,85.2,98.7,免费评估
3,杜伦大学Durham University,85.0,41.7,557,86.0,96.1,免费评估
4,诺丁汉大学University of Nottingham,86.2,41.7,491,83.2,94.2,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,78.9,55.0,552,82.9,94.2,免费评估
6,伦敦大学学院University College London,80.9,48.3,549,81.6,93.7,免费评估
7,爱丁堡大学The University of Edinburgh,80.7,38.3,521,86.2,91.7,免费评估
8,伦敦大学玛丽女王学院Queen Mary University of London,85.2,33.3,499,74.1,90.1,免费评估
8,格拉斯哥大学University of Glasgow,80.1,28.3,535,87.8,90.1,免费评估
10,肯特大学University of Kent,85.3,41.7,393,79.1,89.9,免费评估
11,布拉德福德大学University of Bradford,83.8,28.3,485,80.7,89.3,免费评估
12,阿伯丁大学University of Aberdeen,86.1,15.0,482,84.5,88.8,免费评估
13,纽卡斯尔大学Newcastle University,87.0,13.3,481,82.2,88.4,免费评估
13,伦敦国王学院King's College London,79.9,26.7,555,79.8,88.4,免费评估
15,东英吉利大学University of East Anglia,90.1,16.7,429,76.6,88.2,免费评估
16,利兹大学University of Leeds,84.0,28.3,467,76.3,87.9,免费评估
16,Cardiff University,83.6,36.7,420,76.1,87.9,免费评估
18,雷丁大学University of Reading,85.0,33.3,432,73.2,87.8,免费评估
19,英国女王大学Queen's University Belfast,83.1,36.7,423,74.5,87.4,免费评估
20,思克莱德大学University of Strathclyde,77.6,33.3,523,78.4,87.1,免费评估
21,兰卡斯特大学Lancaster University,86.3,18.3,445,75.9,86.5,免费评估
22,萨里大学University of Surrey,87.9,13.3,409,78.1,86.0,免费评估
22,曼彻斯特大学The University of Manchester,83.6,23.3,436,77.5,86.0,免费评估
22,伯明翰大学University of Birmingham,81.2,30.0,428,79.1,86.0,免费评估
25,伦敦大学亚非学院SOAS University of London,85.8,18.3,434,71.7,85.0,免费评估
26,华威大学The University of Warwick,78.7,21.7,505,76.5,84.5,免费评估
26,莱斯特大学University of Leicester,83.1,16.7,398,83.1,84.5,免费评估
28,牛津布鲁克斯大学Oxford Brookes University,88.0,21.7,379,67.4,84.4,免费评估
29,埃塞克斯大学University of Essex,86.0,21.7,409,68.0,84.2,免费评估
30,邓迪大学University of Dundee,83.3,20.0,439,71.1,83.8,免费评估
31,约克大学The University of York,85.0,,476,79.1,83.7,免费评估
32,埃克塞特大学University of Exeter,76.4,21.7,484,79.4,83.1,免费评估
33,基尔大学Keele University,82.6,23.3,379,74.6,83.0,免费评估
34,南安普顿大学University of Southampton,80.9,20.0,443,73.1,82.9,免费评估
35,朴茨茅斯大学University of Portsmouth,84.9,15.0,329,80.8,82.7,免费评估
36,阿斯顿大学Aston University,81.2,30.0,386,69.2,82.6,免费评估
37,谢菲尔德大学The University of Sheffield,79.7,26.7,427,69.4,82.3,免费评估
38,罗伯特高登大学The Robert Gordon University,84.2,1.7,402,82.2,82.0,免费评估
39,赫瑞瓦特大学Heriot Watt University,86.1,,409,76.8,81.9,免费评估
40,布鲁内尔大学Brunel University,85.3,20.0,381,64.4,81.8,免费评估
41,索尔福德大学University of Salford,89.5,6.7,344,68.6,81.5,免费评估
42,龙比亚大学Napier University,91.0,1.7,377,63.5,81.2,免费评估
43,利物浦大学The University of Liverpool,77.5,25.0,412,74.0,81.1,免费评估
44,斯旺西大学Swansea University,80.0,18.3,346,80.7,80.9,免费评估
45,哈德斯菲尔德大学University of Huddersfield,88.2,,378,70.7,80.8,免费评估
46,切斯特大学University of Chester,90.8,,310,72.2,80.7,免费评估
46,布莱顿大学University of Brighton,80.6,28.3,322,72.4,80.7,免费评估
48,埃塞克斯大学University of Essex,83.9,20.0,343,66.3,80.2,免费评估
49,斯特林大学University of Stirling,79.0,16.7,407,72.0,79.8,免费评估
50,白金汉大学The University of Buckingham,83.3,,324,85.9,79.7,免费评估
51,University of Lincoln,87.0,3.3,332,71.6,79.6,免费评估
52,Manchester Metropolitan University,81.7,15.0,348,71.7,79.3,免费评估
53,阿伯泰邓迪大学University of Abertay Dundee,85.9,6.7,328,68.2,78.8,免费评估
54,诺丁汉特伦特大学Nottingham Trent University,84.6,3.3,329,71.9,78.1,免费评估
55,阿尔斯特大学University of Ulster,85.0,31.7,325,45.4,78.0,免费评估
56,中央兰开夏大学University of Central Lancashire,83.4,5.0,320,72.7,77.6,免费评估
57,西英格兰大学University of the West of England,80.8,10.0,331,73.2,77.5,免费评估
57,德蒙福特大学De Montfort University,87.0,6.7,322,60.5,77.5,免费评估
59,Coventry University,85.0,1.7,291,73.6,77.3,免费评估
60,剑桥安鲁大学Anglia Ruskin University,93.8,,253,55.8,77.2,免费评估
61,伦敦城市大学City University London,77.8,15.0,360,70.3,76.9,免费评估
61,班戈大学Bangor University,87.1,,286,68.0,76.9,免费评估
63,赫尔大学The University of Hull,79.0,18.3,370,62.2,76.8,免费评估
64,诺桑比亚大学Northumbria University,83.0,,376,66.5,76.7,免费评估
65,蒂赛德大学Teesside University,88.7,,323,58.1,76.6,免费评估
66,格林威治大学The University of Greenwich,91.0,1.7,325,48.5,76.3,免费评估
67,布拉德福德大学University of Bradford,76.4,25.0,320,67.0,76.1,免费评估
68,米德塞斯大学Middlesex University,84.3,5.0,282,66.9,75.8,免费评估
68,格罗斯特大学University of Gloucestershire,88.3,,288,60.0,75.8,免费评估
70,赫特福德大学University of Hertfordshire,76.2,15.0,347,69.9,75.4,免费评估
71,亚伯大学Aberystwyth University,75.5,15.0,340,69.7,74.8,免费评估
72,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,80.8,5.0,426,53.0,74.7,免费评估
73,利物浦约翰摩尔斯大学Liverpool John Moores University,83.9,,338,59.4,74.5,免费评估
73,德比大学University of Derby,82.2,,310,67.9,74.5,免费评估
75,伯恩茅斯大学Bournemouth University,78.0,0.0,339,72.9,74.0,免费评估
76,普利茅斯大学University of Plymouth,83.8,15.0,316,46.6,73.9,免费评估
77,威斯敏斯特大学University of Westminster,75.6,11.7,329,69.3,73.8,免费评估
78,北安普顿大学The University of Northampton,86.3,,265,55.8,73.0,免费评估
79,伯明翰城市大学Birmingham City University,80.8,,286,65.9,72.5,免费评估
79,贝德福德大学University of Bedfordshire,88.9,,198,55.8,72.5,免费评估
81,谢菲尔德哈莱姆大学Sheffield Hallam University,80.6,1.7,323,56.1,71.6,免费评估
82,白金汉大学The University of Buckingham,85.5,,236,52.8,71.0,免费评估
83,伦敦南岸大学London South Bank University,86.3,,214,53.5,70.9,免费评估
84,哥比亚大学University of Cumbria,83.3,,239,57.8,70.8,免费评估
85,东伦敦大学University of East London,79.1,15.0,258,52.7,70.7,免费评估
86,温切斯特大学University of Winchester,80.1,,342,52.1,70.6,免费评估
86,艾芝西尔大学Edge Hill University,85.2,,280,46.4,70.6,免费评估
88,斯塔福德郡大学Staffordshire University,78.6,,283,60.9,70.0,免费评估
89,"特威克南圣玛丽大学St Mary's, Twickenham",78.7,,260,59.7,69.1,免费评估
90,利兹贝克特大学Leeds Beckett University,77.3,,272,61.7,69.0,免费评估
91,伦敦都市大学London Metropolitan University,78.6,3.3,216,60.5,68.6,免费评估
92,罗汉普顿大学Roehampton University,85.0,,260,40.0,68.5,免费评估
93,金斯顿大学Kingston University,74.0,3.3,303,56.2,67.4,免费评估
93,波尔顿大学University of Bolton,75.8,,258,60.5,67.4,免费评估
95,南威尔士大学The University of South Wales,75.5,5.0,306,50.3,67.3,免费评估
96,泰晤士河谷大学Thames Valley University,76.3,,261,57.8,67.2,免费评估
97,南安普顿索伦特大学Southampton Solent University,75.0,0.0,227,55.8,64.9,免费评估
98,坎特伯雷大学Canterbury Christ Church University,77.7,,269,39.2,64.1,免费评估
98,桑德兰大学University of Sunderland,75.6,0.0,288,42.1,64.1,免费评估
100,西苏格兰大学University of the West of Scotland,72.6,0.0,287,34.4,60.4,免费评估
