Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.4,38.3,665,86.6,100.0,免费评估
2,伯明翰大学University of Birmingham,91.1,33.3,555,87.9,97.0,免费评估
3,巴斯大学University of Bath,89.7,36.7,512,90.1,96.9,免费评估
4,圣安德鲁斯大学University of St Andrews,90.2,38.3,555,82.0,96.7,免费评估
4,兰卡斯特大学Lancaster University,94.7,40.0,521,76.4,96.7,免费评估
6,杜伦大学Durham University,85.8,33.3,621,84.4,95.5,免费评估
7,牛津大学University of Oxford,84.2,31.7,631,86.7,95.1,免费评估
8,帝国理工学院Imperial College London,81.9,35.0,603,87.7,94.6,免费评估
9,诺丁汉大学University of Nottingham,87.0,38.3,501,78.0,92.4,免费评估
10,曼彻斯特大学The University of Manchester,86.8,31.7,560,80.0,92.2,免费评估
11,华威大学The University of Warwick,82.9,26.7,551,88.5,90.8,免费评估
12,埃克塞特大学University of Exeter,84.2,30.0,476,89.3,90.6,免费评估
13,谢菲尔德大学The University of Sheffield,89.1,33.3,457,78.2,90.3,免费评估
14,格拉斯哥大学University of Glasgow,84.2,33.3,492,81.9,90.1,免费评估
15,埃塞克斯大学University of Essex,87.8,30.0,436,85.3,89.9,免费评估
16,布拉德福德大学University of Bradford,83.1,31.7,490,82.5,89.1,免费评估
17,萨里大学University of Surrey,81.2,25.0,435,95.5,87.9,免费评估
18,爱丁堡大学The University of Edinburgh,76.1,35.0,523,80.5,87.4,免费评估
19,莱斯特大学University of Leicester,88.2,28.3,407,80.4,87.2,免费评估
20,南安普顿大学University of Southampton,84.4,28.3,455,81.2,87.1,免费评估
21,Cardiff University,87.1,20.0,461,85.3,86.7,免费评估
22,利物浦大学The University of Liverpool,84.3,31.7,425,77.4,86.2,免费评估
23,伦敦大学学院University College London,77.5,33.3,513,75.7,85.8,免费评估
24,赫特福德大学University of Hertfordshire,88.4,28.3,374,76.5,85.1,免费评估
25,英国女王大学Queen's University Belfast,85.0,23.3,418,83.2,85.0,免费评估
26,约克大学The University of York,84.1,28.3,443,71.9,83.9,免费评估
27,赫瑞瓦特大学Heriot Watt University,83.7,28.3,425,72.2,83.2,免费评估
28,利兹大学University of Leeds,80.0,26.7,447,77.7,83.1,免费评估
29,阿伯丁大学University of Aberdeen,72.9,31.7,423,83.8,82.7,免费评估
30,思克莱德大学University of Strathclyde,87.5,16.7,423,74.2,81.3,免费评估
31,诺丁汉特伦特大学Nottingham Trent University,94.1,28.3,313,59.7,81.1,免费评估
32,肯特大学University of Kent,87.3,26.5,325,70.0,80.6,免费评估
33,伦敦大学玛丽女王学院Queen Mary University of London,85.5,27.4,401,62.3,80.1,免费评估
34,伦敦国王学院King's College London,80.0,23.3,466,68.5,79.9,免费评估
35,伦敦大学皇家霍洛威学院Royal Holloway University of London,82.0,25.0,414,65.9,79.0,免费评估
36,拉夫堡大学Loughborough University,79.9,26.7,390,68.5,78.7,免费评估
37,基尔大学Keele University,88.8,16.7,354,66.0,77.4,免费评估
38,斯旺西大学Swansea University,77.8,23.3,363,73.0,77.0,免费评估
39,赫尔大学The University of Hull,89.8,20.0,344,57.4,76.3,免费评估
40,中央兰开夏大学University of Central Lancashire,73.2,16.7,365,80.0,74.5,免费评估
41,索尔福德大学University of Salford,82.7,23.3,333,58.5,74.2,免费评估
42,亚伯大学Aberystwyth University,78.8,10.0,330,75.6,72.4,免费评估
43,邓迪大学University of Dundee,89.7,,383,62.1,71.5,免费评估
44,西苏格兰大学University of the West of Scotland,65.4,6.7,332,,58.7,免费评估
