Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,Cardiff University,94.5,31.7,461.0,97.0,100.0,免费评估
2,基尔大学Keele University,91.7,23.3,424.0,100.0,95.7,免费评估
3,罗伯特高登大学The Robert Gordon University,96.4,10.0,479.0,93.6,95.4,免费评估
4,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,90.0,30.0,424.0,90.3,93.6,免费评估
5,牛津布鲁克斯大学Oxford Brookes University,88.2,16.7,431.0,95.3,91.8,免费评估
6,诺丁汉大学University of Nottingham,86.9,20.0,422.0,95.0,91.5,免费评估
7,诺桑比亚大学Northumbria University,88.5,13.3,436.0,93.4,90.7,免费评估
8,西英格兰大学University of the West of England,82.2,31.7,415.0,88.9,90.3,免费评估
9,东伦敦大学University of East London,85.1,16.7,,95.2,90.0,免费评估
10,利物浦大学The University of Liverpool,86.5,20.0,416.0,91.7,89.9,免费评估
11,伦敦国王学院King's College London,82.1,15.0,475.0,88.5,89.7,免费评估
11,布鲁内尔大学Brunel University,94.4,15.0,416.0,86.3,89.7,免费评估
13,东英吉利大学University of East Anglia,94.8,5.0,425.0,91.7,89.6,免费评估
14,谢菲尔德哈莱姆大学Sheffield Hallam University,89.8,8.3,424.0,94.2,89.5,免费评估
15,布拉德福德大学University of Bradford,93.6,16.7,366.0,93.8,89.2,免费评估
16,玛格丽特女王大学Queen Margaret University,85.4,1.7,472.0,92.0,88.5,免费评估
17,伯明翰大学University of Birmingham,87.2,,435.0,96.6,88.0,免费评估
18,Coventry University,92.9,6.7,402.0,90.3,87.5,免费评估
19,利兹贝克特大学Leeds Beckett University,98.7,3.3,,83.7,87.0,免费评估
20,哈德斯菲尔德大学University of Huddersfield,88.3,,444.0,88.5,86.3,免费评估
21,蒂赛德大学Teesside University,90.7,6.7,384.0,91.9,86.2,免费评估
22,Manchester Metropolitan University,82.6,13.5,416.0,83.6,84.3,免费评估
23,赫特福德大学University of Hertfordshire,88.1,,395.0,89.9,83.7,免费评估
24,布莱顿大学University of Brighton,89.2,5.0,356.0,91.3,83.4,免费评估
25,索尔福德大学University of Salford,87.8,15.0,388.0,78.7,83.2,免费评估
26,约克圣约翰大学York St John University,89.0,1.7,375.0,88.7,82.8,免费评估
27,普利茅斯大学University of Plymouth,79.8,3.3,377.0,91.8,81.1,免费评估
28,伯恩茅斯大学Bournemouth University,83.9,,365.0,90.0,80.5,免费评估
29,中央兰开夏大学University of Central Lancashire,85.2,13.3,355.0,79.3,80.1,免费评估
30,"Kingston/St George's, University of London",71.5,11.7,390.0,86.3,79.3,免费评估
31,阿尔斯特大学University of Ulster,77.9,31.0,385.0,65.3,79.2,免费评估
32,南安普顿大学University of Southampton,67.5,8.3,430.0,82.8,78.4,免费评估
33,哥比亚大学University of Cumbria,84.2,0.0,320.0,73.9,72.6,免费评估
