Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.9,48.3,565,81.6,100.0,免费评估
2,杜伦大学Durham University,87.6,40.0,572,81.5,98.5,免费评估
3,牛津大学University of Oxford,89.5,48.3,551,72.6,98.3,免费评估
4,埃克塞特大学University of Exeter,89.9,51.7,479,68.7,95.8,免费评估
5,圣安德鲁斯大学University of St Andrews,84.5,46.7,524,78.3,95.5,免费评估
6,伦敦大学学院University College London,82.1,41.7,527,70.9,91.4,免费评估
7,南安普顿大学University of Southampton,89.2,38.3,430,68.9,91.3,免费评估
7,诺丁汉大学University of Nottingham,83.2,46.7,466,72.1,91.3,免费评估
9,利兹大学University of Leeds,84.7,45.0,465,66.9,90.6,免费评估
10,纽卡斯尔大学Newcastle University,85.3,40.0,455,70.5,90.5,免费评估
11,约克大学The University of York,78.1,55.0,494,69.9,90.2,免费评估
12,谢菲尔德大学The University of Sheffield,87.9,38.3,446,64.8,90.1,免费评估
13,伦敦大学皇家霍洛威学院Royal Holloway University of London,87.0,41.7,421,66.2,89.7,免费评估
14,爱丁堡大学The University of Edinburgh,81.3,50.0,495,62.8,89.5,免费评估
15,曼彻斯特大学The University of Manchester,86.5,45.0,439,61.5,89.4,免费评估
16,兰卡斯特大学Lancaster University,84.0,33.3,459,72.3,89.0,免费评估
17,格拉斯哥大学University of Glasgow,82.7,46.7,472,62.3,88.8,免费评估
17,东英吉利大学University of East Anglia,88.0,35.0,460,60.1,88.8,免费评估
19,伯明翰大学University of Birmingham,82.9,36.7,419,75.2,88.4,免费评估
20,伦敦大学玛丽女王学院Queen Mary University of London,82.4,50.0,444,62.4,88.3,免费评估
21,Cardiff University,84.4,43.3,423,65.1,88.2,免费评估
22,埃塞克斯大学University of Essex,88.1,31.7,423,64.2,88.0,免费评估
22,肯特大学University of Kent,86.4,41.7,384,65.8,88.0,免费评估
24,华威大学The University of Warwick,78.1,45.0,512,65.6,87.9,免费评估
25,拉夫堡大学Loughborough University,88.0,23.3,403,68.3,86.7,免费评估
26,莱斯特大学University of Leicester,84.5,30.0,411,69.8,86.5,免费评估
27,英国女王大学Queen's University Belfast,87.4,45.0,383,53.4,86.2,免费评估
28,阿伯丁大学University of Aberdeen,83.5,41.7,445,54.4,85.5,免费评估
29,布拉德福德大学University of Bradford,74.8,36.7,485,72.9,85.2,免费评估
30,雷丁大学University of Reading,86.5,38.3,371,55.2,84.4,免费评估
31,基尔大学Keele University,87.1,23.3,398,61.3,84.3,免费评估
32,邓迪大学University of Dundee,90.0,21.7,421,51.9,84.2,免费评估
33,利物浦大学The University of Liverpool,79.5,41.7,417,59.9,83.5,免费评估
34,斯旺西大学Swansea University,81.5,26.7,345,76.2,83.4,免费评估
35,伦敦国王学院King's College London,76.4,33.3,484,60.8,82.6,免费评估
36,Coventry University,93.9,6.7,288,61.4,81.5,免费评估
37,阿斯顿大学Aston University,85.2,10.0,353,69.7,81.2,免费评估
38,德蒙福特大学De Montfort University,84.5,46.7,293,50.6,81.1,免费评估
39,白金汉大学The University of Buckingham,89.5,,325,69.2,80.7,免费评估
40,思克莱德大学University of Strathclyde,83.9,25.0,446,43.8,80.1,免费评估
41,布鲁内尔大学Brunel University,86.2,25.0,346,51.7,80.0,免费评估
42,龙比亚大学Napier University,89.0,10.0,368,52.9,79.9,免费评估
43,班戈大学Bangor University,84.0,25.0,296,62.2,79.6,免费评估
44,斯特林大学University of Stirling,84.5,25.0,377,48.1,79.2,免费评估
45,西英格兰大学University of the West of England,88.0,13.3,340,53.7,79.1,免费评估
45,罗汉普顿大学Roehampton University,88.7,18.3,288,55.2,79.1,免费评估
47,朴茨茅斯大学University of Portsmouth,85.6,25.0,311,53.2,78.9,免费评估
48,University of Lincoln,87.5,,331,63.7,78.5,免费评估
49,埃塞克斯大学University of Essex,82.4,25.0,347,54.0,78.4,免费评估
50,切斯特大学University of Chester,88.0,10.0,319,55.9,78.3,免费评估
51,北安普顿大学The University of Northampton,93.9,5.0,281,49.0,78.0,免费评估
52,蒂赛德大学Teesside University,96.2,,289,46.0,77.9,免费评估
53,桑德兰大学University of Sunderland,89.0,20.0,303,43.3,77.3,免费评估
54,哥比亚大学University of Cumbria,95.2,3.3,240,49.0,77.1,免费评估
55,萨里大学University of Surrey,79.9,,424,61.7,76.6,免费评估
56,巴斯斯巴大学Bath Spa University,85.2,13.3,335,49.5,76.3,免费评估
57,牛津布鲁克斯大学Oxford Brookes University,83.6,16.7,353,47.9,76.2,免费评估
58,诺桑比亚大学Northumbria University,84.1,11.7,358,49.4,76.1,免费评估
58,赫尔大学The University of Hull,82.2,25.0,332,47.0,76.1,免费评估
58,赫特福德大学University of Hertfordshire,82.0,21.7,349,48.3,76.1,免费评估
61,艾芝西尔大学Edge Hill University,87.8,6.7,327,48.3,76.0,免费评估
62,法尔茅斯大学Falmouth University,90.1,,302,50.6,75.9,免费评估
63,伦敦大学金史密斯学院Goldsmiths University of London,75.4,31.7,368,51.9,75.7,免费评估
64,南安普顿索伦特大学Southampton Solent University,91.7,,272,49.6,75.5,免费评估
65,普利茅斯大学University of Plymouth,83.6,16.7,309,50.7,75.4,免费评估
65,纽曼大学Newman University,83.5,,293,66.3,75.4,免费评估
67,利物浦约翰摩尔斯大学Liverpool John Moores University,87.3,13.3,316,42.2,75.1,免费评估
68,亚伯大学Aberystwyth University,79.9,20.0,340,50.3,74.8,免费评估
69,格罗斯特大学University of Gloucestershire,84.6,15.0,301,47.8,74.7,免费评估
70,格罗斯泰斯特主教大学Bishop Grosseteste University,86.3,0.0,237,62.9,74.4,免费评估
71,波尔顿大学University of Bolton,88.3,3.3,238,54.7,74.3,免费评估
71,剑桥安鲁大学Anglia Ruskin University,83.9,30.0,261,41.5,74.3,免费评估
73,Manchester Metropolitan University,79.4,21.7,334,48.6,74.2,免费评估
74,中央兰开夏大学University of Central Lancashire,84.6,6.7,353,44.7,74.1,免费评估
75,诺丁汉特伦特大学Nottingham Trent University,81.9,25.0,292,44.6,74.0,免费评估
76,约克圣约翰大学York St John University,85.5,3.3,305,49.4,73.5,免费评估
77,卡迪夫都市大学Cardiff Metropolitan University,85.5,,302,51.9,73.4,免费评估
77,格林威治大学The University of Greenwich,87.0,8.3,299,42.0,73.4,免费评估
79,"特威克南圣玛丽大学St Mary's, Twickenham",83.7,13.3,288,46.6,73.2,免费评估
80,谢菲尔德哈莱姆大学Sheffield Hallam University,82.3,13.3,328,44.2,73.1,免费评估
81,伯明翰城市大学Birmingham City University,81.1,10.0,298,53.3,72.9,免费评估
82,伯恩茅斯大学Bournemouth University,85.9,,353,40.3,72.6,免费评估
83,奇切斯特大学University of Chichester,84.4,8.3,297,44.3,72.4,免费评估
84,伍斯特大学University of Worcester,82.6,11.7,296,46.2,72.3,免费评估
84,哈德斯菲尔德大学University of Huddersfield,75.5,10.0,343,58.0,72.3,免费评估
86,贝德福德大学University of Bedfordshire,90.0,23.3,207,30.6,72.2,免费评估
87,温切斯特大学University of Winchester,79.9,,334,54.5,71.8,免费评估
88,威斯敏斯特大学University of Westminster,82.1,6.7,306,47.4,71.7,免费评估
89,坎特伯雷大学Canterbury Christ Church University,85.1,6.7,270,43.1,71.3,免费评估
90,利兹圣三一大学Leeds Trinity University,83.3,11.7,249,45.7,71.1,免费评估
90,金斯顿大学Kingston University,75.4,20.0,286,53.5,71.1,免费评估
92,米德塞斯大学Middlesex University,80.0,15.0,247,49.8,70.7,免费评估
93,东伦敦大学University of East London,86.8,,248,43.7,70.4,免费评估
94,南威尔士大学The University of South Wales,76.7,23.3,308,41.3,70.3,免费评估
95,阿尔斯特大学University of Ulster,83.4,15.0,300,31.2,70.0,免费评估
96,格林多大学Glyndwr University,,,271,51.5,69.7,免费评估
97,布莱顿大学University of Brighton,76.6,15.0,323,42.2,69.4,免费评估
97,布拉德福德大学University of Bradford,74.6,11.7,296,53.9,69.4,免费评估
99,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",88.3,0.0,267,32.6,69.3,免费评估
100,利兹贝克特大学Leeds Beckett University,82.7,,256,45.4,68.7,免费评估
101,德比大学University of Derby,83.3,,343,22.5,66.4,免费评估
102,索尔福德大学University of Salford,68.5,18.3,333,45.0,66.2,免费评估
103,斯塔福德郡大学Staffordshire University,77.5,11.7,215,42.7,65.8,免费评估
104,伦敦都市大学London Metropolitan University,77.8,,234,46.4,65.2,免费评估
105,伦敦南岸大学London South Bank University,74.0,,241,31.5,59.6,免费评估
