Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.4,33.3,665.0,86.6,100.0,免费评估
2,英国女王大学Queen's University Belfast,95.5,28.3,429.0,99.1,94.9,免费评估
3,诺丁汉大学University of Nottingham,78.3,50.0,488.0,96.6,93.9,免费评估
4,东英吉利大学University of East Anglia,90.6,28.3,471.0,96.9,93.7,免费评估
5,巴斯大学University of Bath,82.8,33.3,481.0,97.4,91.5,免费评估
6,曼彻斯特大学The University of Manchester,81.6,43.3,444.0,93.2,91.3,免费评估
7,Cardiff University,87.2,28.3,452.0,97.8,91.2,免费评估
8,利兹大学University of Leeds,94.1,30.0,405.0,83.3,90.8,免费评估
9,阿斯顿大学Aston University,87.6,26.7,438.0,99.4,90.7,免费评估
10,伦敦国王学院King's College London,88.1,28.3,431.0,90.3,89.5,免费评估
11,思克莱德大学University of Strathclyde,78.8,28.3,511.0,95.4,88.9,免费评估
12,伦敦大学学院University College London,76.8,36.1,474.0,94.3,88.2,免费评估
13,邓迪大学University of Dundee,84.4,38.3,493.0,58.1,87.3,免费评估
13,肯特大学University of Kent,91.8,15.5,379.0,100.0,87.3,免费评估
13,布拉德福德大学University of Bradford,82.8,28.3,452.0,88.6,87.3,免费评估
16,雷丁大学University of Reading,86.1,21.7,393.0,100.0,86.6,免费评估
16,纽卡斯尔大学Newcastle University,87.0,33.3,375.0,83.3,86.6,免费评估
16,基尔大学Keele University,92.5,5.0,425.0,99.0,86.6,免费评估
19,罗伯特高登大学The Robert Gordon University,90.0,,480.0,99.1,86.2,免费评估
20,阿尔斯特大学University of Ulster,98.3,,392.0,90.0,85.2,免费评估
20,布莱顿大学University of Brighton,88.3,18.3,365.0,97.7,85.2,免费评估
22,德蒙福特大学De Montfort University,86.2,18.3,394.0,90.5,84.1,免费评估
23,朴茨茅斯大学University of Portsmouth,84.0,28.3,351.0,89.3,83.7,免费评估
23,布拉德福德大学University of Bradford,79.0,28.3,390.0,94.8,83.7,免费评估
25,利物浦大学The University of Liverpool,82.1,30.2,413.0,73.2,83.0,免费评估
26,莱斯特大学University of Leicester,86.8,16.7,437.0,73.5,82.8,免费评估
27,格拉斯哥大学University of Glasgow,74.8,28.3,452.0,85.2,82.4,免费评估
28,爱丁堡大学The University of Edinburgh,77.9,43.3,,62.5,81.8,免费评估
29,利物浦约翰摩尔斯大学Liverpool John Moores University,81.1,11.7,393.0,98.1,80.8,免费评估
30,哈德斯菲尔德大学University of Huddersfield,81.9,8.3,403.0,97.9,80.7,免费评估
31,中央兰开夏大学University of Central Lancashire,76.7,13.3,406.0,100.0,79.8,免费评估
32,阿伯丁大学University of Aberdeen,82.2,16.7,424.0,71.4,79.5,免费评估
33,赫特福德大学University of Hertfordshire,77.5,15.0,364.0,94.6,78.0,免费评估
34,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,89.5,13.3,358.0,53.3,76.3,免费评估
35,桑德兰大学University of Sunderland,74.4,6.7,345.0,97.7,73.7,免费评估
36,格林威治大学The University of Greenwich,82.0,11.7,333.0,65.8,73.0,免费评估
37,金斯顿大学Kingston University,75.4,11.7,302.0,78.5,70.4,免费评估
38,玛格丽特女王大学Queen Margaret University,86.1,,341.0,45.5,68.6,免费评估
39,东伦敦大学University of East London,87.4,,282.0,46.2,66.9,免费评估
40,伦敦都市大学London Metropolitan University,85.1,,258.0,34.3,62.5,免费评估
