Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,伯明翰大学University of Birmingham,88.5,36.7,398.0,77.8,100.0,免费评估
2,巴斯大学University of Bath,92.6,21.7,437.0,75.2,99.8,免费评估
3,杜伦大学Durham University,89.7,30.0,434.0,73.3,99.6,免费评估
4,拉夫堡大学Loughborough University,86.0,36.7,424.0,76.6,99.5,免费评估
5,埃克塞特大学University of Exeter,91.5,18.3,426.0,75.4,97.9,免费评估
6,朴茨茅斯大学University of Portsmouth,89.4,28.3,353.0,68.4,93.7,免费评估
7,爱丁堡大学The University of Edinburgh,79.7,25.0,412.0,80.6,93.5,免费评估
8,利兹大学University of Leeds,88.4,16.7,416.0,62.6,91.8,免费评估
9,班戈大学Bangor University,93.8,18.3,308.0,65.6,90.8,免费评估
10,肯特大学University of Kent,80.9,25.0,379.0,72.0,90.3,免费评估
10,罗伯特高登大学The Robert Gordon University,92.6,,357.0,74.3,90.3,免费评估
12,赫特福德大学University of Hertfordshire,87.2,15.0,361.0,66.7,89.1,免费评估
13,格拉斯哥大学University of Glasgow,82.0,31.7,429.0,48.5,88.8,免费评估
14,利物浦约翰摩尔斯大学Liverpool John Moores University,83.2,33.3,358.0,56.9,88.6,免费评估
15,切斯特大学University of Chester,91.5,11.7,287.0,71.9,88.5,免费评估
16,卡迪夫都市大学Cardiff Metropolitan University,88.5,11.7,362.0,64.3,88.4,免费评估
17,University of Lincoln,91.4,,338.0,70.8,87.8,免费评估
18,斯特林大学University of Stirling,80.9,23.3,391.0,61.0,87.5,免费评估
19,利兹贝克特大学Leeds Beckett University,85.2,23.3,343.0,60.2,87.4,免费评估
20,埃塞克斯大学University of Essex,82.8,16.7,391.0,60.9,86.9,免费评估
21,东英吉利大学University of East Anglia,84.7,,427.0,64.3,86.6,免费评估
22,哈德斯菲尔德大学University of Huddersfield,86.4,,303.0,82.9,86.4,免费评估
23,布鲁内尔大学Brunel University,82.6,21.7,359.0,59.3,86.0,免费评估
24,Coventry University,86.7,5.0,317.0,71.4,85.5,免费评估
25,米德塞斯大学Middlesex University,90.6,,280.0,74.5,85.4,免费评估
26,布莱顿大学University of Brighton,80.6,18.3,347.0,66.0,85.3,免费评估
27,谢菲尔德哈莱姆大学Sheffield Hallam University,82.8,18.3,368.0,57.2,85.2,免费评估
27,奇切斯特大学University of Chichester,87.5,10.0,317.0,64.4,85.2,免费评估
29,格林多大学Glyndwr University,88.7,,329.0,63.1,83.7,免费评估
30,索尔福德大学University of Salford,81.1,15.0,347.0,61.4,83.5,免费评估
31,赫尔大学The University of Hull,88.8,3.3,347.0,54.8,83.3,免费评估
32,牛津布鲁克斯大学Oxford Brookes University,89.9,,343.0,55.0,82.9,免费评估
33,德比大学University of Derby,89.3,,338.0,55.0,82.4,免费评估
33,阿伯丁大学University of Aberdeen,81.8,13.3,403.0,47.0,82.4,免费评估
35,阿尔斯特大学University of Ulster,84.5,13.3,342.0,51.1,82.0,免费评估
36,斯塔福德郡大学Staffordshire University,89.2,6.7,276.0,55.7,81.1,免费评估
36,诺丁汉特伦特大学Nottingham Trent University,81.9,0.0,353.0,63.2,81.1,免费评估
38,纽曼大学Newman University,85.2,0.0,336.0,58.9,81.0,免费评估
39,格罗斯特大学University of Gloucestershire,83.2,3.3,326.0,59.5,80.3,免费评估
40,斯旺西大学Swansea University,80.9,0.0,290.0,73.0,80.0,免费评估
40,中央兰开夏大学University of Central Lancashire,87.0,,358.0,47.7,80.0,免费评估
42,伯恩茅斯大学Bournemouth University,81.1,,330.0,64.4,79.8,免费评估
43,诺桑比亚大学Northumbria University,79.1,10.0,383.0,49.2,79.7,免费评估
43,赫瑞瓦特大学Heriot Watt University,79.1,15.0,,58.5,79.7,免费评估
45,北安普顿大学The University of Northampton,87.1,,277.0,59.9,79.3,免费评估
45,南安普顿索伦特大学Southampton Solent University,84.6,,305.0,59.8,79.3,免费评估
47,东伦敦大学University of East London,84.8,,327.0,54.9,79.2,免费评估
48,伍斯特大学University of Worcester,80.9,,319.0,63.3,78.8,免费评估
48,贝德福德大学University of Bedfordshire,83.5,10.0,247.0,61.5,78.8,免费评估
50,格林威治大学The University of Greenwich,83.1,,338.0,54.3,78.6,免费评估
51,哥比亚大学University of Cumbria,86.1,,267.0,60.7,78.5,免费评估
52,"特威克南圣玛丽大学St Mary's, Twickenham",79.9,3.3,297.0,64.5,78.3,免费评估
53,南威尔士大学The University of South Wales,80.3,10.0,315.0,53.7,78.2,免费评估
54,金斯顿大学Kingston University,88.4,,277.0,52.1,78.1,免费评估
55,阿伯泰邓迪大学University of Abertay Dundee,81.1,,300.0,62.0,77.7,免费评估
56,格罗斯泰斯特主教大学Bishop Grosseteste University,81.0,,287.0,64.4,77.5,免费评估
57,罗汉普顿大学Roehampton University,80.0,0.0,277.0,67.2,77.3,免费评估
57,波尔顿大学University of Bolton,80.8,,297.0,61.9,77.3,免费评估
59,艾芝西尔大学Edge Hill University,87.6,,335.0,39.4,77.1,免费评估
60,亚伯大学Aberystwyth University,84.5,5.0,307.0,46.4,77.0,免费评估
61,约克圣约翰大学York St John University,77.0,0.0,311.0,63.7,76.3,免费评估
61,利兹圣三一大学Leeds Trinity University,82.6,,305.0,52.9,76.3,免费评估
63,桑德兰大学University of Sunderland,79.8,13.3,327.0,42.2,76.2,免费评估
64,西英格兰大学University of the West of England,77.3,,307.0,63.1,76.1,免费评估
65,坎特伯雷大学Canterbury Christ Church University,85.7,6.7,265.0,46.2,76.0,免费评估
66,Manchester Metropolitan University,74.9,12.7,320.0,53.0,75.9,免费评估
67,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",81.3,0.0,288.0,56.5,75.7,免费评估
68,龙比亚大学Napier University,80.5,,341.0,46.0,75.0,免费评估
69,西苏格兰大学University of the West of Scotland,81.9,,286.0,52.6,74.9,免费评估
70,伦敦南岸大学London South Bank University,84.1,11.7,214.0,50.0,74.8,免费评估
71,温切斯特大学University of Winchester,79.1,,292.0,55.8,74.5,免费评估
71,普利茅斯大学University of Plymouth,86.7,,302.0,37.7,74.5,免费评估
73,剑桥安鲁大学Anglia Ruskin University,86.3,,192.0,55.4,73.5,免费评估
74,蒂赛德大学Teesside University,76.5,,328.0,50.3,73.3,免费评估
75,伦敦都市大学London Metropolitan University,74.7,,283.0,62.0,73.1,免费评估
76,白金汉大学The University of Buckingham,75.9,1.7,226.0,52.1,68.8,免费评估
