Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,86.0%,86.3%,70.3%,648,87.4%,100.0,免费评估
2,牛津大学University of Oxford,80.6%,85.3%,63.1%,585,89.1%,96.8,免费评估
3,杜伦大学Durham University,84.7%,90.8%,49.1%,594,83.2%,95.4,免费评估
4,爱丁堡大学The University of Edinburgh,82.0%,86.2%,48.4%,502,88.1%,93.3,免费评估
5,约克大学The University of York,86.0%,90.8%,44.6%,482,85.2%,93.0,免费评估
6,圣安德鲁斯大学University of St Andrews,79.1%,89.9%,50.3%,502,86.0%,92.8,免费评估
7,华威大学The University of Warwick,88.7%,89.9%,50.8%,431,82.2%,92.5,免费评估
8,埃塞克斯大学University of Essex,92.7%,92.8%,25.8%,408,91.1%,92.1,免费评估
9,布拉德福德大学University of Bradford,84.0%,87.2%,56.6%,494,76.0%,91.8,免费评估
9,巴斯大学University of Bath,87.5%,87.6%,43.0%,444,84.4%,91.8,免费评估
11,诺丁汉大学University of Nottingham,83.6%,89.7%,48.5%,440,84.1%,91.7,免费评估
12,帝国理工学院Imperial College London,71.9%,77.3%,54.6%,540,85.4%,91.0,免费评估
13,Cardiff University,85.2%,91.3%,30.9%,404,89.7%,90.5,免费评估
14,谢菲尔德大学The University of Sheffield,86.9%,92.3%,38.9%,428,80.6%,90.4,免费评估
14,格拉斯哥大学University of Glasgow,83.9%,88.3%,41.1%,484,78.8%,90.4,免费评估
16,拉夫堡大学Loughborough University,94.8%,96.3%,23.9%,347,86.3%,90.2,免费评估
17,南安普顿大学University of Southampton,81.3%,90.5%,50.7%,408,80.9%,90.1,免费评估
18,伯明翰大学University of Birmingham,83.8%,88.0%,37.3%,423,83.3%,89.6,免费评估
19,萨里大学University of Surrey,86.1%,91.8%,30.8%,377,86.8%,89.5,免费评估
20,赫瑞瓦特大学Heriot Watt University,91.3%,92.2%,34.2%,417,75.5%,89.4,免费评估
21,曼彻斯特大学The University of Manchester,79.6%,88.8%,46.0%,444,78.9%,89.3,免费评估
22,利物浦大学The University of Liverpool,78.7%,83.9%,55.6%,384,82.3%,89.2,免费评估
23,利兹大学University of Leeds,82.8%,86.0%,35.9%,429,80.6%,88.5,免费评估
24,伦敦大学学院University College London,68.8%,79.7%,56.0%,498,79.1%,88.4,免费评估
25,思克莱德大学University of Strathclyde,75.2%,84.9%,40.1%,446,82.3%,88.0,免费评估
26,基尔大学Keele University,86.9%,93.2%,41.1%,368,72.0%,87.5,免费评估
27,兰卡斯特大学Lancaster University,83.2%,83.5%,37.5%,397,,87.1,免费评估
28,英国女王大学Queen's University Belfast,74.2%,81.3%,34.7%,411,87.2%,87.0,免费评估
29,莱斯特大学University of Leicester,86.8%,89.1%,32.8%,377,70.2%,85.8,免费评估
30,诺丁汉特伦特大学Nottingham Trent University,90.6%,96.8%,24.1%,290,75.0%,85.5,免费评估
31,布拉德福德大学University of Bradford,92.4%,93.9%,9.5%,261,84.9%,85.4,免费评估
32,西苏格兰大学University of the West of Scotland,84.6%,83.9%,29.0%,290,83.3%,85.3,免费评估
33,东英吉利大学University of East Anglia,79.6%,84.8%,39.2%,367,74.3%,85.2,免费评估
34,纽卡斯尔大学Newcastle University,80.4%,88.8%,28.5%,405,72.6%,85.0,免费评估
35,肯特大学University of Kent,81.4%,82.8%,27.5%,352,72.2%,83.1,免费评估
36,班戈大学Bangor University,76.3%,87.2%,19.1%,314,82.6%,83.0,免费评估
37,雷丁大学University of Reading,82.6%,82.8%,27.3%,326,69.5%,82.1,免费评估
38,南威尔士大学The University of South Wales,84.4%,87.8%,,305,80.7%,81.8,免费评估
39,阿伯丁大学University of Aberdeen,76.1%,73.3%,31.6%,420,65.9%,81.5,免费评估
40,谢菲尔德哈莱姆大学Sheffield Hallam University,88.9%,88.7%,,296,73.7%,81.1,免费评估
41,赫尔大学The University of Hull,74.4%,87.3%,24.2%,316,72.6%,80.9,免费评估
42,阿斯顿大学Aston University,84.0%,76.8%,20.6%,320,68.3%,80.5,免费评估
43,哈德斯菲尔德大学University of Huddersfield,78.5%,83.6%,11.0%,296,75.8%,80.1,免费评估
44,伦敦大学玛丽女王学院Queen Mary University of London,72.2%,72.9%,37.0%,361,65.2%,79.8,免费评估
44,利物浦约翰摩尔斯大学Liverpool John Moores University,79.7%,79.8%,6.0%,342,73.6%,79.8,免费评估
46,诺桑比亚大学Northumbria University,84.2%,84.8%,14.0%,336,62.2%,79.6,免费评估
47,Manchester Metropolitan University,77.8%,83.8%,16.3%,326,67.5%,79.4,免费评估
48,布莱顿大学University of Brighton,73.7%,82.8%,4.8%,328,70.8%,77.7,免费评估
49,中央兰开夏大学University of Central Lancashire,72.2%,72.3%,11.7%,307,71.9%,76.9,免费评估
50,金斯顿大学Kingston University,73.8%,73.1%,2.6%,265,75.8%,76.1,免费评估
51,普利茅斯大学University of Plymouth,82.5%,83.3%,,291,56.4%,75.0,免费评估
52,格林威治大学The University of Greenwich,75.7%,83.5%,7.4%,287,58.3%,74.8,免费评估
53,伦敦都市大学London Metropolitan University,86.6%,86.6%,,233,53.8%,74.3,免费评估
54,伦敦艺术大学University of the Arts London,67.7%,70.3%,,291,69.2%,73.2,免费评估
