Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,帝国理工学院Imperial College London,99.9%,99.2%,59.6%,553,90.8%,100.0,免费评估
2,剑桥大学University of Cambridge,86.0%,86.3%,58.0%,648,87.4%,96.8,免费评估
3,圣安德鲁斯大学University of St Andrews,79.3%,89.2%,44.2%,514,93.5%,91.7,免费评估
4,牛津大学University of Oxford,70.9%,88.4%,52.1%,582,85.1%,90.9,免费评估
5,布拉德福德大学University of Bradford,84.9%,90.3%,55.8%,464,71.3%,89.4,免费评估
6,杜伦大学Durham University,82.9%,90.8%,42.2%,489,77.2%,88.7,免费评估
7,伦敦大学学院University College London,84.2%,86.1%,47.9%,447,78.1%,88.5,免费评估
8,利兹大学University of Leeds,81.4%,87.3%,41.9%,430,82.5%,87.6,免费评估
9,东英吉利大学University of East Anglia,83.9%,88.9%,47.4%,377,80.0%,87.5,免费评估
10,南安普顿大学University of Southampton,75.4%,87.6%,58.3%,391,77.1%,86.8,免费评估
10,埃克塞特大学University of Exeter,78.9%,87.3%,45.7%,392,82.8%,86.8,免费评估
12,莱斯特大学University of Leicester,91.2%,93.1%,37.2%,393,71.3%,86.7,免费评估
13,格拉斯哥大学University of Glasgow,77.9%,89.3%,38.5%,470,76.5%,86.3,免费评估
14,爱丁堡大学The University of Edinburgh,80.8%,80.7%,38.2%,464,78.6%,86.2,免费评估
15,利物浦大学The University of Liverpool,84.0%,85.3%,30.3%,393,80.1%,85.0,免费评估
16,曼彻斯特大学The University of Manchester,79.6%,84.1%,44.5%,427,70.5%,84.9,免费评估
17,伦敦大学皇家霍洛威学院Royal Holloway University of London,78.0%,87.2%,43.4%,364,76.8%,84.5,免费评估
18,伯明翰大学University of Birmingham,78.5%,72.9%,38.6%,390,76.7%,82.9,免费评估
19,阿伯丁大学University of Aberdeen,66.6%,75.3%,38.2%,415,79.6%,81.6,免费评估
20,Cardiff University,80.0%,87.1%,21.3%,368,69.9%,80.4,免费评估
21,普利茅斯大学University of Plymouth,86.2%,94.0%,25.3%,301,62.6%,80.2,免费评估
22,赫尔大学The University of Hull,78.6%,89.0%,31.7%,296,,79.3,免费评估
23,班戈大学Bangor University,87.1%,86.8%,31.5%,285,56.3%,78.9,免费评估
24,基尔大学Keele University,91.8%,93.2%,12.2%,337,55.2%,78.8,免费评估
25,亚伯大学Aberystwyth University,85.3%,82.9%,34.9%,269,54.8%,78.0,免费评估
26,德比大学University of Derby,92.8%,92.7%,3.6%,272,54.9%,76.2,免费评估
27,朴茨茅斯大学University of Portsmouth,80.5%,80.2%,19.8%,299,58.6%,75.8,免费评估
28,布莱顿大学University of Brighton,80.5%,80.9%,5.1%,272,65.9%,74.5,免费评估
29,艾芝西尔大学Edge Hill University,92.4%,92.4%,,275,48.5%,74.4,免费评估
30,金斯顿大学Kingston University,72.7%,67.3%,6.9%,274,68.3%,72.1,免费评估
31,南威尔士大学The University of South Wales,74.0%,73.0%,,256,55.3%,69.1,免费评估
