Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,82.9%,90.7%,49.0%,561,90.2%,100.0,免费评估
2,Cardiff University,85.3%,90.6%,36.8%,398,91.4%,93.1,免费评估
3,拉夫堡大学Loughborough University,81.4%,83.9%,58.3%,365,87.9%,92.8,免费评估
4,谢菲尔德大学The University of Sheffield,88.6%,89.6%,36.6%,405,84.5%,92.2,免费评估
5,格罗斯特大学University of Gloucestershire,98.9%,96.6%,20.6%,309,91.3%,90.8,免费评估
6,英国女王大学Queen's University Belfast,95.4%,95.6%,35.2%,314,84.3%,90.7,免费评估
6,纽卡斯尔大学Newcastle University,84.7%,84.7%,43.7%,347,87.9%,90.7,免费评估
8,雷丁大学University of Reading,83.4%,86.0%,40.0%,393,,90.6,免费评估
9,伦敦大学学院University College London,67.2%,76.0%,54.1%,493,74.2%,89.9,免费评估
10,伯明翰大学University of Birmingham,75.5%,74.5%,42.0%,385,89.1%,89.2,免费评估
11,利物浦大学The University of Liverpool,86.0%,88.6%,26.3%,,79.4%,87.9,免费评估
12,曼彻斯特大学The University of Manchester,87.1%,88.3%,36.5%,355,74.7%,87.7,免费评估
13,赫瑞瓦特大学Heriot Watt University,79.1%,83.2%,38.1%,376,78.0%,87.4,免费评估
14,皇家农学院Royal Agricultural University,88.8%,89.5%,,336*,90.5%,85.9,免费评估
15,邓迪大学University of Dundee,77.6%,84.6%,8.7%,,89.2%,85.7,免费评估
16,牛津布鲁克斯大学Oxford Brookes University,79.1%,83.7%,17.6%,335,86.7%,85.0,免费评估
17,西英格兰大学University of the West of England,81.4%,85.0%,10.6%,323,84.8%,83.7,免费评估
18,爱丁堡大学The University of Edinburgh,64.5%,63.6%,35.1%,426,76.9%,83.6,免费评估
19,诺桑比亚大学Northumbria University,81.6%,83.6%,5.9%,334*,82.4%,82.7,免费评估
20,阿尔斯特大学University of Ulster,91.7%,92.5%,28.6%,260,64.5%,82.1,免费评估
21,诺丁汉特伦特大学Nottingham Trent University,77.5%,80.3%,3.4%,298,82.5%,79.9,免费评估
22,Manchester Metropolitan University,75.8%,80.0%,9.7%,334,73.3%,79.7,免费评估
22,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,80.0%,87.9%,9.1%,322,68.8%,79.7,免费评估
24,利兹贝克特大学Leeds Beckett University,87.2%,88.2%,5.6%,271,70.4%,79.2,免费评估
25,阿伯丁大学University of Aberdeen,63.2%,74.8%,40.6%,,73.3%,79.0,免费评估
26,谢菲尔德哈莱姆大学Sheffield Hallam University,78.2%,85.5%,13.4%,298,67.6%,78.6,免费评估
27,伯明翰城市大学Birmingham City University,84.3%,76.1%,2.7%,247,70.0%,75.9,免费评估
28,威斯敏斯特大学University of Westminster,64.7%,77.6%,10.7%,312,52.7%,71.8,免费评估
29,格林威治大学The University of Greenwich,71.4%,67.3%,2.0%,,54.5%,67.9,免费评估
