Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,89.9%,89.8%,54.0%,566.0,83.9%,100.0,免费评估
2,杜伦大学Durham University,80.3%,83.8%,34.6%,537.0,86.4%,93.3,免费评估
3,埃克塞特大学University of Exeter,85.7%,89.4%,35.1%,470.0,76.8%,91.9,免费评估
4,华威大学The University of Warwick,89.9%,86.1%,45.2%,456.0,63.5%,91.3,免费评估
5,巴斯大学University of Bath,92.0%,89.7%,27.4%,437.0,76.0%,90.9,免费评估
6,布拉德福德大学University of Bradford,83.6%,83.4%,36.0%,485.0,73.3%,90.5,免费评估
7,牛津大学University of Oxford,71.4%,71.0%,41.3%,531.0,83.3%,90.4,免费评估
7,伦敦大学学院University College London,79.3%,82.5%,43.7%,496.0,69.2%,90.4,免费评估
9,爱丁堡大学The University of Edinburgh,81.5%,86.7%,30.3%,458.0,77.6%,89.6,免费评估
10,雷丁大学University of Reading,89.6%,90.7%,41.7%,354.0,64.6%*,89.1,免费评估
11,圣安德鲁斯大学University of St Andrews,74.5%,78.8%,26.4%,552.0,78.2%*,88.7,免费评估
12,利兹大学University of Leeds,88.8%,94.8%,30.6%,425.0,61.7%,88.3,免费评估
13,格拉斯哥大学University of Glasgow,82.3%,88.5%,26.3%,462.0,,88.1,免费评估
14,曼彻斯特大学The University of Manchester,77.2%,78.8%,48.9%,384.0,67.2%,87.5,免费评估
15,伯明翰大学University of Birmingham,81.6%,81.0%,33.7%,,68.3%,86.5,免费评估
16,伦敦大学皇家霍洛威学院Royal Holloway University of London,82.9%,81.8%,48.3%,388.0,46.2%,84.9,免费评估
16,肯特大学University of Kent,83.8%,79.9%,41.9%,314.0,,84.9,免费评估
18,Manchester Metropolitan University,96.8%,89.6%,29.0%,302.0,54.1%,84.8,免费评估
19,朴茨茅斯大学University of Portsmouth,84.1%,88.8%,32.2%,268.0,67.8%,84.5,免费评估
20,Cardiff University,73.9%,78.4%,32.5%,366.0,61.4%,82.1,免费评估
21,中央兰开夏大学University of Central Lancashire,83.1%,83.3%,15.2%,,60.0%,81.4,免费评估
22,诺丁汉特伦特大学Nottingham Trent University,91.5%,90.7%,7.6%,294.0,60.2%,80.8,免费评估
