Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,牛津大学University of Oxford,79.8%,85.4%,61.1%,593.0,84.4%,100.0,免费评估
2,剑桥大学University of Cambridge,86.2%,86.8%,38.2%,551.0,82.8%,96.9,免费评估
3,华威大学The University of Warwick,84.3%,89.3%,52.7%,487.0,79.5%,96.8,免费评估
4,圣安德鲁斯大学University of St Andrews,83.6%,83.7%,38.4%,535.0,81.9%,95.4,免费评估
5,谢菲尔德大学The University of Sheffield,84.8%,86.3%,48.3%,438.0,78.3%,94.4,免费评估
6,兰卡斯特大学Lancaster University,81.3%,81.3%,53.0%,432.0,82.6%,94.2,免费评估
7,埃克塞特大学University of Exeter,84.8%,87.1%,29.8%,460.0,86.1%,93.6,免费评估
8,埃塞克斯大学University of Essex,82.3%,88.4%,69.6%,332.0,68.6%,92.9,免费评估
9,约克大学The University of York,85.4%,88.7%,36.9%,434.0,77.0%,92.8,免费评估
10,伦敦大学学院University College London,70.4%,78.2%,57.0%,510.0,74.3%,92.4,免费评估
11,杜伦大学Durham University,80.2%,82.0%,27.0%,504.0,83.2%,92.1,免费评估
12,伦敦政治经济学院The London School of Economics and Political Science,67.0%,69.1%,54.6%,527.0,76.4%,90.9,免费评估
13,埃塞克斯大学University of Essex,82.4%,87.5%,33.6%,385.0,75.8%,90.0,免费评估
13,阿斯顿大学Aston University,88.0%,87.8%,38.6%,329.0,71.7%,90.0,免费评估
15,拉夫堡大学Loughborough University,87.1%,90.5%,22.5%,356.0,79.8%,89.8,免费评估
15,伦敦大学亚非学院SOAS University of London,80.7%,82.6%,30.5%,445.0,74.2%,89.8,免费评估
17,诺丁汉大学University of Nottingham,77.4%,80.8%,30.8%,419.0,82.7%,89.6,免费评估
17,格拉斯哥大学University of Glasgow,82.8%,86.8%,30.5%,444.0,67.5%,89.6,免费评估
19,雷丁大学University of Reading,83.4%,90.0%,37.0%,359.0,69.8%,89.4,免费评估
20,肯特大学University of Kent,84.3%,88.1%,27.8%,344.0,79.6%,89.3,免费评估
21,南安普顿大学University of Southampton,82.7%,85.3%,37.0%,375.0,70.6%,89.2,免费评估
22,萨里大学University of Surrey,91.6%,95.7%,12.5%,412.0,65.3%,89.0,免费评估
23,利兹大学University of Leeds,81.1%,85.1%,25.1%,398.0,75.5%,88.4,免费评估
24,东英吉利大学University of East Anglia,80.2%,89.6%,35.5%,394.0,63.3%,88.2,免费评估
25,伦敦大学玛丽女王学院Queen Mary University of London,84.2%,85.3%,28.1%,400.0,66.3%,88.1,免费评估
26,爱丁堡大学The University of Edinburgh,65.4%,80.0%,44.5%,480.0,69.3%,88.0,免费评估
27,纽卡斯尔大学Newcastle University,84.9%,86.2%,22.0%,404.0,68.5%,87.9,免费评估
28,Cardiff University,79.1%,83.6%,30.4%,399.0,70.9%,87.8,免费评估
29,思克莱德大学University of Strathclyde,82.1%,87.4%,41.6%,463.0,43.5%,87.6,免费评估
29,米德塞斯大学Middlesex University,89.0%,89.3%,14.9%,,63.6%,87.6,免费评估
31,伯明翰大学University of Birmingham,73.3%,73.6%,31.1%,391.0,84.1%,87.3,免费评估
31,伦敦大学皇家霍洛威学院Royal Holloway University of London,80.0%,81.3%,30.5%,374.0,72.3%,87.3,免费评估
33,伦敦国王学院King's College London,74.3%,73.7%,29.0%,469.0,72.8%,87.2,免费评估
33,伦敦城市大学City University London,81.9%,82.8%,24.6%,359.0,75.3%,87.2,免费评估
33,布拉德福德大学University of Bradford,72.0%,70.3%,30.4%,456.0,78.9%,87.2,免费评估
36,英国女王大学Queen's University Belfast,82.7%,87.7%,35.0%,374.0,57.6%,86.9,免费评估
37,曼彻斯特大学The University of Manchester,75.3%,81.8%,28.4%,422.0,68.5%,86.6,免费评估
38,巴斯大学University of Bath,67.8%,77.4%,27.4%,454.0,77.6%,86.4,免费评估
39,斯特林大学University of Stirling,79.3%,81.3%,33.8%,387.0,62.3%,86.3,免费评估
40,基尔大学Keele University,87.7%,89.3%,24.0%,334.0,60.5%,86.2,免费评估
41,哈德斯菲尔德大学University of Huddersfield,92.0%,84.7%,9.5%,329.0,67.8%,85.5,免费评估
41,邓迪大学University of Dundee,88.0%,91.6%,10.8%,424.0,52.3%,85.5,免费评估
43,德蒙福特大学De Montfort University,89.2%,87.7%,10.7%,293.0,72.5%,85.3,免费评估
44,Coventry University,90.7%,91.9%,5.6%,283.0,72.6%,85.2,免费评估
45,朴茨茅斯大学University of Portsmouth,88.9%,86.3%,32.2%,287.0,54.4%,85.0,免费评估
46,亚伯大学Aberystwyth University,79.5%,77.8%,40.2%,318.0,58.5%,84.4,免费评估
47,西英格兰大学University of the West of England,88.4%,90.8%,13.8%,311.0,58.2%,84.0,免费评估
48,莱斯特大学University of Leicester,78.9%,83.2%,20.0%,347.0,63.8%,83.6,免费评估
49,布鲁内尔大学Brunel University,81.8%,77.9%,32.4%,314.0,57.3%,83.5,免费评估
50,赫尔大学The University of Hull,79.9%,84.9%,10.8%,334.0,68.3%,83.1,免费评估
51,阿伯丁大学University of Aberdeen,68.6%,78.3%,18.4%,439.0,66.3%,83.0,免费评估
52,牛津布鲁克斯大学Oxford Brookes University,86.0%,85.8%,17.8%,312.0,52.7%,82.5,免费评估
53,University of Lincoln,83.2%,88.3%,7.7%,295.0,65.7%,82.4,免费评估
54,利物浦霍普大学Liverpool Hope University,93.2%,88.0%,7.0%,267.0,56.4%,82.3,免费评估
55,利物浦大学The University of Liverpool,73.8%,80.8%,12.0%,392.0,64.8%,82.2,免费评估
56,斯旺西大学Swansea University,72.6%,80.8%,18.5%,278.0,75.0%,81.7,免费评估
57,Manchester Metropolitan University,85.2%,79.4%,18.0%,331.0,50.6%,81.6,免费评估
58,诺桑比亚大学Northumbria University,80.4%,75.6%,12.7%,342.0,57.6%,80.7,免费评估
59,布拉德福德大学University of Bradford,76.3%,78.9%,12.7%,266.0,69.2%,80.2,免费评估
60,伯恩茅斯大学Bournemouth University,76.8%,76.5%,15.1%,329.0,,79.7,免费评估
60,温切斯特大学University of Winchester,89.4%,85.7%,,282.0,51.8%,79.7,免费评估
62,格林威治大学The University of Greenwich,86.5%,82.3%,8.6%,301.0,47.0%,79.5,免费评估
63,阿尔斯特大学University of Ulster,87.9%,80.3%,20.9%,278.0,38.0%,79.3,免费评估
64,诺丁汉特伦特大学Nottingham Trent University,87.6%,85.7%,,272.0,52.9%,79.2,免费评估
65,东伦敦大学University of East London,84.5%,88.2%,13.7%,166.0,58.3%,79.1,免费评估
66,威斯敏斯特大学University of Westminster,81.7%,83.0%,14.3%,267.0,47.7%,78.6,免费评估
67,布莱顿大学University of Brighton,74.9%,87.5%,13.1%,294.0,50.0%,78.5,免费评估
