Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,89.9%,89.8%,54.0%,566,83.9%,100.0,免费评估
2,英国女王大学Queen's University Belfast,93.8%,95.8%,53.6%,402,75.4%,96.0,免费评估
3,牛津大学University of Oxford,83.0%,86.5%,41.3%,553,81.6%,95.2,免费评估
4,杜伦大学Durham University,80.3%,83.8%,34.6%,537,86.4%,93.5,免费评估
5,南安普顿大学University of Southampton,86.4%,94.8%,42.7%,417,77.8%,93.1,免费评估
6,兰卡斯特大学Lancaster University,81.0%,74.0%,47.0%,436,90.2%,92.6,免费评估
7,纽卡斯尔大学Newcastle University,88.1%,91.5%,36.3%,412,81.1%,92.5,免费评估
8,伯明翰大学University of Birmingham,90.1%,88.5%,33.7%,403,82.8%,92.3,免费评估
9,埃克塞特大学University of Exeter,85.7%,89.4%,35.1%,470,76.8%,92.2,免费评估
10,约克大学The University of York,85.4%,90.3%,37.3%,409,80.4%,91.7,免费评估
11,华威大学The University of Warwick,83.4%,80.7%,45.2%,455,73.5%,91.3,免费评估
11,谢菲尔德大学The University of Sheffield,83.7%,89.1%,41.2%,420,75.7%,91.3,免费评估
13,诺丁汉大学University of Nottingham,84.4%,91.3%,39.4%,420,74.1%,91.1,免费评估
14,曼彻斯特大学The University of Manchester,80.8%,83.5%,48.9%,428,73.2%,90.9,免费评估
15,圣安德鲁斯大学University of St Andrews,83.4%,84.1%,26.4%,505,78.5%,90.8,免费评估
16,伦敦大学学院University College London,79.1%,83.4%,43.7%,490,69.6%,90.6,免费评估
17,巴斯大学University of Bath,82.0%,89.0%,27.4%,441,82.0%,90.2,免费评估
18,利兹大学University of Leeds,85.2%,89.1%,30.6%,425,75.8%,90.0,免费评估
19,伦敦国王学院King's College London,77.7%,76.1%,42.1%,442,81.3%,89.9,免费评估
20,利物浦大学The University of Liverpool,88.1%,92.8%,33.4%,387,69.6%,89.6,免费评估
21,伦敦大学皇家霍洛威学院Royal Holloway University of London,86.2%,89.2%,48.3%,388,58.0%,89.2,免费评估
22,斯特林大学University of Stirling,81.4%,87.4%,29.8%,423,78.0%,89.1,免费评估
23,格拉斯哥大学University of Glasgow,82.8%,85.0%,26.3%,490,65.3%,88.2,免费评估
24,布拉德福德大学University of Bradford,77.9%,81.6%,36.0%,476,67.3%,88.1,免费评估
25,伦敦大学玛丽女王学院Queen Mary University of London,92.2%,88.5%,35.1%,338,61.0%,87.7,免费评估
25,阿斯顿大学Aston University,91.9%,92.0%,23.4%,346,69.1%,87.7,免费评估
27,肯特大学University of Kent,78.9%,88.1%,41.9%,341,72.5%,87.5,免费评估
28,莱斯特大学University of Leicester,89.2%,93.3%,16.9%,381,71.3%,87.4,免费评估
29,Cardiff University,77.0%,81.1%,32.5%,399,78.3%,87.1,免费评估
30,雷丁大学University of Reading,81.2%,81.0%,41.7%,391,60.5%,86.5,免费评估
31,赫瑞瓦特大学Heriot Watt University,77.3%,81.5%,26.3%,450,68.6%,86.0,免费评估
31,爱丁堡大学The University of Edinburgh,73.4%,76.1%,30.3%,476,70.4%,86.0,免费评估
33,阿伯丁大学University of Aberdeen,80.2%,85.0%,29.3%,456,56.6%,85.7,免费评估
34,斯旺西大学Swansea University,81.7%,87.8%,22.8%,321,78.1%,85.5,免费评估
35,埃塞克斯大学University of Essex,81.9%,90.0%,,392,79.9%,84.2,免费评估
36,赫尔大学The University of Hull,85.4%,87.6%,22.7%,317,64.8%,84.0,免费评估
37,Manchester Metropolitan University,88.7%,87.3%,29.0%,321,52.9%,83.9,免费评估
38,思克莱德大学University of Strathclyde,72.6%,81.1%,42.0%,489,41.5%,83.7,免费评估
39,中央兰开夏大学University of Central Lancashire,83.1%,83.3%,15.2%,,65.7%,83.4,免费评估
40,诺丁汉特伦特大学Nottingham Trent University,91.7%,97.6%,7.6%,289,60.5%,82.8,免费评估
41,阿尔斯特大学University of Ulster,88.2%,88.4%,22.4%,276,56.6%,82.3,免费评估
42,亚伯大学Aberystwyth University,73.2%,80.0%,16.6%,338,79.5%,82.2,免费评估
43,牛津布鲁克斯大学Oxford Brookes University,94.5%,92.9%,,315,55.8%,81.6,免费评估
44,Coventry University,91.5%,95.7%,,257*,66.7%,81.5,免费评估
45,班戈大学Bangor University,79.6%,83.1%,39.6%,280,49.6%,81.3,免费评估
46,朴茨茅斯大学University of Portsmouth,84.7%,93.2%,32.2%,318*,33.3%,80.8,免费评估
47,龙比亚大学Napier University,81.9%,89.1%,,347,65.8%,80.6,免费评估
48,切斯特大学University of Chester,76.5%,78.0%,17.3%,271,72.4%,80.0,免费评估
49,索尔福德大学University of Salford,82.8%,77.0%,4.8%,,58.7%,78.7,免费评估
50,威斯敏斯特大学University of Westminster,77.2%,81.1%,2.0%,297,54.8%,75.7,免费评估
