Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,格拉斯哥大学University of Glasgow,93.5%,86.8%,41.8%,,93.3%,100.0,免费评估
2,兰卡斯特大学Lancaster University,83.3%,85.1%,51.4%,405,90.0%,99.5,免费评估
3,爱丁堡大学The University of Edinburgh,87.7%,86.3%,53.4%,396,76.9%,97.8,免费评估
4,巴斯大学University of Bath,85.9%,86.8%,43.4%,398,83.5%,97.3,免费评估
5,邓迪大学University of Dundee,86.8%,93.8%,31.1%,393,81.0%,95.7,免费评估
6,英国女王大学Queen's University Belfast,74.0%,81.6%,39.3%,387,87.5%,93.8,免费评估
7,利兹大学University of Leeds,84.3%,86.6%,47.6%,381,67.9%,93.6,免费评估
7,伯明翰大学University of Birmingham,70.7%,80.8%,40.1%,384,90.3%,93.6,免费评估
9,东英吉利大学University of East Anglia,83.7%,80.1%,45.8%,409,64.3%,93.4,免费评估
10,斯旺西大学Swansea University,78.6%,86.2%,22.7%,,96.9%,93.3,免费评估
11,斯特林大学University of Stirling,78.8%,90.6%,33.8%,373,81.5%,93.1,免费评估
12,米德塞斯大学Middlesex University,96.9%,93.6%,14.9%,301,91.8%,92.6,免费评估
13,肯特大学University of Kent,76.7%,81.7%,59.0%,309,82.2%,92.1,免费评估
14,谢菲尔德大学The University of Sheffield,81.4%,85.6%,26.8%,,87.5%,92.0,免费评估
15,罗伯特高登大学The Robert Gordon University,83.9%,85.5%,18.0%,352,90.4%,91.9,免费评估
15,西英格兰大学University of the West of England,83.7%,83.8%,10.9%,353,96.8%,91.9,免费评估
17,曼彻斯特大学The University of Manchester,81.8%,92.5%,57.1%,,64.7%,91.0,免费评估
18,思克莱德大学University of Strathclyde,80.2%,89.5%,31.9%,380,66.7%,90.5,免费评估
19,埃塞克斯大学University of Essex,72.9%,70.2%,27.9%,378,86.2%,90.0,免费评估
19,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,84.0%,92.1%,8.1%,,84.0%,90.0,免费评估
21,波尔顿大学University of Bolton,90.5%,87.9%,1.0%,,81.3%,89.6,免费评估
22,阿尔斯特大学University of Ulster,84.4%,89.8%,39.2%,309,70.2%,89.3,免费评估
23,基尔大学Keele University,77.4%,80.8%,25.0%,326,88.5%,89.2,免费评估
24,朴茨茅斯大学University of Portsmouth,83.2%,80.3%,12.1%,334,89.4%,89.1,免费评估
24,利物浦霍普大学Liverpool Hope University,81.3%,88.2%,8.6%,335,89.5%,89.1,免费评估
26,贝德福德大学University of Bedfordshire,80.1%,80.8%,16.3%,,84.7%,88.4,免费评估
27,索尔福德大学University of Salford,78.5%,76.8%,27.7%,355,74.1%,88.2,免费评估
28,伯恩茅斯大学Bournemouth University,92.6%,94.3%,4.7%,330,71.2%,87.8,免费评估
29,约克大学The University of York,67.6%,55.6%,47.5%,344,81.8%,87.5,免费评估
29,哈德斯菲尔德大学University of Huddersfield,81.2%,84.5%,9.5%,345,80.2%,87.5,免费评估
31,诺丁汉大学University of Nottingham,61.6%,56.4%,43.5%,362,85.2%,87.3,免费评估
32,西苏格兰大学University of the West of Scotland,86.1%,77.9%,9.4%,339,78.4%,87.2,免费评估
33,蒂赛德大学Teesside University,84.3%,84.5%,15.0%,288,84.5%,86.8,免费评估
34,牛津布鲁克斯大学Oxford Brookes University,65.8%,77.2%,,387,92.5%,86.7,免费评估
35,温切斯特大学University of Winchester,88.7%,89.5%,,322,76.8%,86.4,免费评估
36,"Kingston/St George's, London",81.9%,81.7%,,317,89.3%,86.3,免费评估
37,赫尔大学The University of Hull,75.6%,76.7%,14.3%,342,80.2%,86.1,免费评估
