Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.1%,87.9%,44.6%,515,84.7%,100.0,免费评估
2,杜伦大学Durham University,84.9%,89.8%,56.6%,475,80.1%,99.5,免费评估
3,圣安德鲁斯大学University of St Andrews,92.4%,93.3%,28.9%,502,83.2%,98.8,免费评估
4,牛津大学University of Oxford,82.6%,88.3%,46.7%,499,82.3%,98.4,免费评估
4,埃克塞特大学University of Exeter,98.6%,97.6%,38.9%,430,74.3%,98.4,免费评估
6,爱丁堡大学The University of Edinburgh,87.3%,89.0%,43.2%,424,84.0%,97.1,免费评估
7,诺丁汉大学University of Nottingham,85.5%,84.3%,43.9%,400,83.1%,95.3,免费评估
8,阿伯丁大学University of Aberdeen,83.6%,94.1%,39.9%,418,72.0%,93.9,免费评估
9,伯明翰大学University of Birmingham,89.0%,91.0%,36.2%,364,73.0%,92.7,免费评估
10,格拉斯哥大学University of Glasgow,89.6%,89.1%,21.4%,464,66.7%,92.2,免费评估
11,谢菲尔德大学The University of Sheffield,81.2%,79.4%,25.3%,434,81.1%,91.5,免费评估
12,兰卡斯特大学Lancaster University,72.5%,75.3%,53.0%,422,73.1%,91.4,免费评估
13,利兹大学University of Leeds,87.3%,89.0%,44.4%,370,60.9%,91.2,免费评估
14,伦敦国王学院King's College London,84.7%,80.3%,37.1%,412,66.2%,90.7,免费评估
15,布拉德福德大学University of Bradford,77.0%,74.6%,36.0%,402,77.0%,89.8,免费评估
16,曼彻斯特大学The University of Manchester,82.7%,82.7%,37.2%,397,62.2%,89.4,免费评估
17,Cardiff University,81.8%,75.2%,33.5%,370,72.5%,88.8,免费评估
18,肯特大学University of Kent,84.8%,84.0%,44.1%,341,58.1%,88.6,免费评估
19,切斯特大学University of Chester,96.9%,90.5%,11.1%,287,72.3%,88.1,免费评估
20,利物浦霍普大学Liverpool Hope University,92.3%,87.6%,17.7%,324,64.9%,87.4,免费评估
21,牛津布鲁克斯大学Oxford Brookes University,91.5%,80.8%,,311,73.1%,84.9,免费评估
22,海斯罗珀学院Heythrop College of the University of London,86.8%,86.8%,14.0%,287,63.7%,84.2,免费评估
23,伦敦大学亚非学院SOAS University of London,76.0%,77.3%,34.1%,357,55.2%,84.1,免费评估
24,格罗斯特大学University of Gloucestershire,90.6%,91.8%,6.9%,296,57.7%,83.7,免费评估
25,哥比亚大学University of Cumbria,88.7%,89.5%,,256,70.5%,83.2,免费评估
25,斯特林大学University of Stirling,83.8%,81.5%,29.8%,,50.7%,83.2,免费评估
27,罗汉普顿大学Roehampton University,81.5%,77.5%,24.3%,290,60.4%,82.9,免费评估
27,坎特伯雷大学Canterbury Christ Church University,85.7%,80.5%,16.3%,281,61.5%,82.9,免费评估
29,巴斯斯巴大学Bath Spa University,98.4%,88.2%,8.3%,309,43.1%,82.8,免费评估
30,纽曼大学Newman University,90.8%,84.8%,3.5%,261,61.1%,81.9,免费评估
31,温切斯特大学University of Winchester,78.5%,72.2%,18.0%,301,63.7%,81.5,免费评估
32,奇切斯特大学University of Chichester,95.2%,92.8%,,273,48.9%,81.4,免费评估
33,约克圣约翰大学York St John University,89.0%,86.7%,4.8%,274,52.5%,80.7,免费评估
34,"特威克南圣玛丽大学St Mary's, Twickenham",82.8%,81.0%,9.4%,259,57.3%,79.8,免费评估
35,英国女王大学Queen's University Belfast,75.0%,73.2%,,343,58.7%,78.3,免费评估
36,赫尔大学The University of Hull,74.5%,85.8%,14.3%,,42.0%,75.9,免费评估
37,南威尔士大学The University of South Wales,76.2%,78.5%,,280*,50.0%,75.7,免费评估
38,利兹圣三一大学Leeds Trinity University,73.4%,81.5%,9.9%,275,40.7%,75.1,免费评估
